Details,+ve Membership Query,-ve Membership Query,Total Membership Query,+ve Equivalence Query,-ve Equivalence Query,Total Equivalence Query,Total count
No. of queries asked,17.0,92.0,109.0,967.0,1766.0,2733.0,2842.0
No. of queries answered correctly,5.0,92.0,97.0,659.0,1766.0,2425.0,2522.0
No. of queries answered incorrectly,12.0,0.0,12.0,308.0,0.0,308.0,320.0
Accuracy,0.2941,1.0,0.8899,0.6815,1.0,0.8873,0.8874032371569317
