Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(52/1, 48/1)",0.002,1,1,Y
"(8/1, 39/1)",0.009,9,9,Y
"(58/1, 29/1)",0.013,14,14,Y
"(9/1, 1/1)",0.029,26,26,Y
"(2/1, 25/1)",0.031,28,28,Y
"(3/1, 19/1)",0.032,29,29,Y
"(30/1, 7/1)",0.035,32,32,Y
"(6/1, 12/1)",0.041,39,39,Y
"(41/1, 16/1)",0.044,43,43,Y
"(22/1, 45/1)",0.053,50,50,Y
"(31/1, 39/1)",0.066,62,62,Y
"(44/1, 53/1)",0.071,69,69,Y
"(14/1, 29/1)",0.08,78,78,Y
"(30/1, 30/1, 56/1)",0.094,88,88,Y
"(33/1, 53/1)",0.095,89,89,Y
"(9/1, 36/1)",0.098,91,91,Y
"(13/1, 13/1, 52/1)",0.101,92,92,Y
"(55/1, 59/1)",0.104,93,93,Y
"(38/1, 34/1)",0.109,96,96,Y
"(17/1, 36/1)",0.116,100,100,Y
"(26/1, 17/1)",0.123,103,103,Y
"(33/1, 6/1)",0.128,105,105,Y
"(31/1, 48/1)",0.132,106,106,Y
"(4/1, 60/1)",0.136,110,110,Y
"(33/1, 19/1)",0.151,125,125,Y
"(55/1, 40/1)",0.153,128,128,Y
"(54/1, 24/1)",0.155,130,130,Y
"(2/1, 52/1)",0.156,131,131,Y
"(33/1, 30/1)",0.167,144,144,Y
"(51/1, 16/1)",0.17,147,147,Y
"(46/1, 39/1)",0.177,151,151,Y
"(59/1, 31/1)",0.181,153,153,Y
"(58/1, 9/1)",0.185,158,158,Y
"(39/1, 15/1)",0.186,159,159,Y
"(52/1, 42/1)",0.19,164,164,Y
"(10/1, 49/1)",0.193,168,168,Y
"(47/1, 26/1)",0.198,173,173,Y
"(36/1, 24/1)",0.198,174,174,Y
"(24/1, 55/1)",0.208,180,180,Y
"(39/1, 24/1)",0.212,183,183,Y
"(13/1, 58/1)",0.218,190,190,Y
"(34/1, 43/1)",0.219,191,191,Y
"(47/1, 24/1)",0.243,212,212,Y
"(42/1, 50/1)",0.246,216,216,Y
"(42/1, 49/1)",0.256,229,229,Y
"(20/1, 60/1)",0.261,235,235,Y
"(52/1, 22/1)",0.265,237,237,Y
"(5/1, 5/1, 60/1)",0.276,246,246,Y
"(28/1, 54/1)",0.286,258,258,Y
"(5/1, 6/1)",0.288,260,260,Y
"(7/1, 19/1)",0.293,265,265,Y
"(1/1, 32/1)",0.302,269,269,Y
"(27/1, 5/1)",0.303,270,270,Y
"(26/1, 52/1)",0.31,279,279,Y
"(21/1, 33/1)",0.317,288,288,Y
"(15/1, 12/1, 15/1)",0.333,299,299,Y
"(50/1, 6/1)",0.336,303,303,Y
"(19/1, 8/1)",0.348,318,318,Y
"(26/1, 10/1)",0.35,320,320,Y
"(59/1, 38/1)",0.353,323,323,Y
"(30/1, 41/1)",0.365,330,330,Y
"(18/1, 9/1)",0.378,347,347,Y
"(9/1, 12/1)",0.379,348,348,Y
"(46/1, 48/1)",0.384,353,353,Y
"(23/1, 54/1)",0.403,369,369,Y
"(47/1, 1/1)",0.412,380,380,Y
"(18/1, 1/1)",0.421,386,386,Y
"(59/1, 24/1)",0.426,391,391,Y
"(15/1, 15/1, 21/1, 21/1)",0.431,396,396,Y
"(1/1, 23/1)",0.443,411,411,Y
"(32/1, 20/1)",0.445,413,413,Y
"(11/1, 18/1)",0.448,417,417,Y
"(45/1, 19/1)",0.453,420,420,Y
"(27/1, 35/1)",0.488,439,439,Y
"(12/1, 21/1)",0.49,441,441,Y
"(48/1, 9/1)",0.491,442,442,Y
"(1/1, 39/1)",0.493,445,445,Y
"(2/1, 57/1)",0.495,446,446,Y
"(42/1, 39/1)",0.514,458,458,Y
"(49/1, 7/1)",0.517,461,461,Y
"(34/1, 55/1)",0.519,463,463,Y
"(58/1, 42/1)",0.541,478,478,Y
"(1/1, 34/1)",0.542,479,479,Y
"(54/1, 17/1)",0.543,480,480,Y
"(22/1, 49/1)",0.551,489,489,Y
"(3/1, 15/1)",0.553,490,490,Y
"(51/1, 28/1)",0.558,492,492,Y
"(10/1, 38/1)",0.573,505,505,Y
"(6/1, 50/1)",0.577,509,509,Y
"(50/1, 45/1)",0.578,511,511,Y
"(20/1, 16/1)",0.583,516,516,Y
"(8/1, 37/1)",0.597,532,532,Y
"(10/1, 6/1)",0.602,537,537,Y
"(8/1, 43/1)",0.603,538,538,Y
"(14/1, 16/1)",0.604,539,539,Y
"(28/1, 11/1)",0.608,544,544,Y
"(49/1, 55/1)",0.61,546,546,Y
"(37/1, 10/1)",0.612,548,548,Y
"(18/1, 51/1)",0.618,554,554,Y
"(31/1, 37/1)",0.634,566,566,Y
"(6/1, 7/1)",0.636,568,568,Y
"(32/1, 44/1)",0.643,572,572,Y
"(17/1, 59/1)",0.653,580,580,Y
"(47/1, 27/1)",0.658,587,587,Y
"(44/1, 42/1)",0.665,595,595,Y
"(5/1, 58/1)",0.681,606,606,Y
"(43/1, 30/1)",0.684,609,609,Y
"(26/1, 59/1)",0.684,610,610,Y
"(14/1, 6/1)",0.699,628,628,Y
"(19/1, 27/1)",0.718,644,644,Y
"(22/1, 7/1)",0.738,661,661,Y
"(10/1, 3/1, 10/1, 10/1)",0.74,662,662,Y
"(58/1, 54/1, 58/1, 54/1)",0.743,666,666,Y
"(44/1, 16/1)",0.746,669,669,Y
"(38/1, 54/1)",0.752,677,677,Y
"(32/1, 50/1)",0.762,687,687,Y
"(25/1, 39/1)",0.765,688,688,Y
"(8/1, 34/1)",0.797,718,718,Y
"(48/1, 41/1)",0.801,721,721,Y
"(46/1, 43/1)",0.802,722,722,Y
"(22/1, 48/1)",0.805,725,725,Y
"(32/1, 53/1)",0.807,728,728,Y
"(14/1, 11/1)",0.809,730,730,Y
"(25/1, 41/1)",0.832,751,751,Y
"(16/1, 50/1)",0.837,757,757,Y
"(57/1, 19/1)",0.845,767,767,Y
"(31/1, 38/1)",0.859,776,776,Y
"(52/1, 58/1)",0.861,778,778,Y
"(58/1, 22/1)",0.872,791,791,Y
"(4/1, 45/1)",0.875,795,795,Y
"(26/1, 46/1)",0.876,796,796,Y
"(25/1, 45/1)",0.891,807,807,Y
"(30/1, 23/1)",0.894,810,810,Y
"(33/1, 2/1)",0.899,816,816,Y
"(24/1, 46/1)",0.905,824,824,Y
"(4/1, 2/1)",0.925,840,840,Y
"(27/1, 39/1)",0.929,845,845,Y
"(17/1, 23/1)",0.933,850,850,Y
"(50/1, 31/1)",0.94,859,859,Y
"(51/1, 3/1)",0.943,861,861,Y
"(51/1, 42/1)",0.956,871,871,Y
"(42/1, 4/1)",0.962,878,878,Y
"(24/1, 34/1)",0.968,885,885,Y
"(16/1, 13/1)",0.978,892,892,Y
"(46/1, 16/1)",0.987,900,900,Y
"(41/1, 45/1)",0.992,907,907,Y
"(2/1, 12/1)",0.993,908,908,Y
"(38/1, 22/1)",0.997,912,912,Y
"(51/1, 9/1)",1.0,916,916,Y
"(1/1, 15/1)",1.004,919,919,Y
"(30/1, 42/1)",1.012,923,923,Y
"(52/1, 17/1)",1.026,940,940,Y
"(5/1, 33/1)",1.027,941,941,Y
"(51/1, 22/1)",1.028,942,942,Y
"(30/1, 33/1)",1.032,946,946,Y
"(34/1, 29/1)",1.054,965,965,Y
"(45/1, 47/1)",1.075,984,984,Y
"(59/1, 6/1)",1.076,985,985,Y
"(11/1, 2/1)",1.078,987,987,Y
"(13/1, 47/1)",1.079,988,988,Y
"(14/1, 14/1, 9/1)",1.088,999,999,Y
"(26/1, 43/1, 26/1)",1.103,1010,1010,Y
"(39/1, 42/1)",1.138,1046,1046,Y
"(21/1, 34/1)",1.196,1102,1102,Y
"(59/1, 20/1)",1.198,1104,1104,Y
"(44/1, 11/1)",1.205,1114,1114,Y
"(53/1, 28/1)",1.215,1121,1121,Y
"(10/1, 53/1)",1.261,1167,1167,Y
"(7/1, 57/1)",1.281,1184,1184,Y
"(1/1, 19/1)",1.284,1188,1188,Y
"(31/1, 9/1)",1.325,1231,1231,Y
"(15/1, 51/1)",1.35,1254,1254,Y
"(35/1, 31/1)",1.352,1257,1257,Y
"(21/1, 59/1)",1.379,1282,1282,Y
"(6/1, 35/1)",1.403,1304,1304,Y
"(42/1, 59/1)",1.404,1306,1306,Y
"(18/1, 39/1)",1.426,1329,1329,Y
"(51/1, 12/1)",1.465,1365,1365,Y
"(2/1, 58/1)",1.502,1404,1404,Y
"(16/1, 7/1)",1.523,1423,1423,Y
"(58/1, 51/1)",1.564,1466,1466,Y
"(38/1, 32/1)",1.574,1476,1476,Y
"(23/1, 57/1)",1.582,1481,1481,Y
"(16/1, 18/1)",1.592,1492,1492,Y
"(16/1, 21/1)",1.6,1503,1503,Y
"(49/1, 51/1)",1.611,1509,1509,Y
"(36/1, 12/1)",1.619,1519,1519,Y
"(33/1, 56/1)",1.639,1535,1535,Y
"(21/1, 39/1)",1.65,1550,1550,Y
"(44/1, 5/1)",1.666,1561,1561,Y
"(55/1, 45/1, 55/1)",1.67,1565,1565,Y
"(21/1, 37/1)",1.673,1569,1569,Y
"(54/1, 4/1)",1.688,1584,1584,Y
"(8/1, 1/1)",1.7,1594,1594,Y
"(4/1, 4/1, 10/1)",1.7,1595,1595,Y
"(29/1, 53/1)",1.701,1596,1596,Y
"(42/1, 6/1)",1.71,1606,1606,Y
"(57/1, 41/1)",1.713,1610,1610,Y
"(7/1, 14/1)",1.734,1628,1628,Y
"(52/1, 56/1)",1.747,1645,1645,Y
"(57/1, 54/1)",1.768,1664,1664,Y
"(17/1, 38/1)",1.78,1677,1677,Y
"(25/1, 3/1)",1.787,1680,1680,Y
"(26/1, 44/1)",1.808,1699,1699,Y
"(44/1, 37/1)",1.809,1701,1701,Y
"(25/1, 48/1)",1.814,1705,1705,Y
"(16/1, 51/1)",1.815,1706,1706,Y
"(44/1, 14/1)",1.821,1711,1711,Y
"(5/1, 45/1)",1.829,1719,1719,Y
"(6/1, 40/1)",1.838,1730,1730,Y
"(56/1, 30/1)",1.877,1763,1763,Y
"(46/1, 27/1)",1.887,1776,1776,Y
"(57/1, 33/1)",1.9,1783,1783,Y
"(27/1, 58/1)",1.907,1786,1786,Y
"(31/1, 53/1)",1.917,1796,1796,Y
"(37/1, 30/1)",1.92,1799,1799,Y
"(25/1, 44/1)",1.923,1802,1802,Y
"(14/1, 58/1)",1.924,1804,1804,Y
"(11/1, 55/1)",1.936,1818,1818,Y
"(55/1, 22/1)",1.962,1842,1842,Y
"(46/1, 46/1, 2/1)",1.967,1848,1848,Y
"(54/1, 19/1)",1.969,1850,1850,Y
"(30/1, 56/1)",1.983,1860,1860,Y
"(49/1, 50/1)",1.984,1861,1861,Y
"(29/1, 11/1)",1.998,1878,1878,Y
"(41/1, 52/1, 52/1)",2.004,1885,1885,Y
"(47/1, 17/1)",2.006,1886,1886,Y
"(20/1, 41/1)",2.024,1903,1903,Y
"(20/1, 28/1)",2.028,1908,1908,Y
"(1/1, 60/1)",2.031,1911,1911,Y
"(37/1, 55/1)",2.098,1970,1970,Y
"(53/1, 6/1)",2.116,1983,1983,Y
"(35/1, 25/1)",2.121,1990,1990,Y
"(47/1, 48/1)",2.128,1998,1998,Y
"(28/1, 38/1)",2.133,2004,2004,Y
"(33/1, 31/1)",2.136,2007,2007,Y
"(32/1, 41/1)",2.142,2016,2016,Y
"(27/1, 18/1)",2.147,2019,2019,Y
"(5/1, 14/1)",2.163,2032,2032,Y
"(37/1, 35/1)",2.172,2044,2044,Y
"(23/1, 9/1)",2.191,2059,2059,Y
"(26/1, 43/1)",2.197,2066,2066,Y
"(18/1, 3/1)",2.198,2067,2067,Y
"(42/1, 52/1)",2.213,2078,2078,Y
"(9/1, 20/1)",2.215,2079,2079,Y
"(29/1, 10/1)",2.216,2080,2080,Y
"(28/1, 39/1)",2.223,2088,2088,Y
"(49/1, 39/1)",2.225,2090,2090,Y
"(24/1, 13/1)",2.23,2096,2096,Y
"(47/1, 36/1)",2.257,2121,2121,Y
"(10/1, 50/1)",2.29,2154,2154,Y
"(30/1, 15/1)",2.293,2157,2157,Y
"(17/1, 33/1)",2.305,2164,2164,Y
"(12/1, 46/1)",2.31,2166,2166,Y
"(1/1, 12/1)",2.318,2171,2171,Y
"(54/1, 45/1)",2.342,2191,2191,Y
"(4/1, 31/1)",2.343,2193,2193,Y
"(12/1, 35/1)",2.345,2195,2195,Y
"(17/1, 31/1)",2.347,2196,2196,Y
"(41/1, 36/1)",2.351,2201,2201,Y
