Adversarial Examples,Time(s),Length of Adversarial Examples
"(55/1, 10/1, 32/1, 57/1, 58/1, 59/1, 40/1, 39/1, 24/1, 22/1, 10/1, 11/1, 60/1, 1/1, 57/1, 10/1, 21/1, 24/1, 35/1, 41/1)",33.334,20
"(38/1, 46/1, 45/1, 45/1, 57/1, 22/1)",35.958,6
"(48/1, 50/1, 51/1, 58/1, 30/1, 58/1, 9/1, 11/1, 40/1, 21/1, 17/1)",36.641,11
"(50/1, 42/1, 34/1, 26/1, 29/1, 15/1, 43/1, 39/1, 35/1, 37/1, 38/1, 42/1)",36.767,12
"(35/1, 35/1, 36/1, 37/1, 23/1, 9/1, 34/1, 10/1, 8/1, 9/1, 11/1, 36/1, 32/1)",37.352,13
"(25/1, 9/1, 38/1, 49/1, 57/1, 58/1, 59/1, 4/1, 43/1, 10/1, 33/1, 39/1, 28/1, 20/1, 18/1, 55/1, 18/1, 26/1)",37.58,18
"(56/1, 46/1, 38/1, 39/1, 40/1, 40/1)",37.653,6
"(17/1, 17/1, 43/1, 45/1, 46/1, 49/1, 8/1, 8/1, 16/1, 24/1, 22/1, 18/1)",37.717,12
"(48/1, 12/1, 44/1, 46/1, 55/1, 53/1, 26/1, 34/1, 21/1, 52/1, 42/1, 35/1, 9/1, 58/1, 39/1, 55/1, 27/1, 28/1, 29/1, 16/1)",41.576,20
"(59/1, 33/1, 37/1, 38/1, 38/1, 22/1, 60/1, 27/1, 46/1, 50/1, 21/1, 11/1, 46/1, 37/1, 43/1, 40/1, 50/1, 41/1, 2/1, 58/1)",43.07,20
"(50/1, 37/1, 35/1, 56/1, 36/1, 46/1, 37/1, 19/1, 55/1, 57/1, 58/1, 55/1, 12/1, 57/1, 28/1, 31/1, 10/1, 31/1)",45.226,18
"(47/1, 45/1, 2/1, 25/1, 2/1, 35/1, 39/1, 7/1, 32/1, 57/1, 58/1, 59/1, 59/1, 27/1, 25/1, 45/1, 49/1, 46/1)",45.424,18
"(57/1, 58/1, 59/1, 44/1, 14/1, 15/1, 31/1, 23/1, 59/1, 56/1, 17/1, 9/1, 29/1, 37/1, 44/1, 57/1, 40/1, 17/1, 25/1)",46.051,19
"(33/1, 23/1, 9/1, 54/1, 42/1, 43/1, 44/1, 15/1, 41/1, 31/1, 41/1, 4/1)",46.753,12
"(49/1, 44/1, 8/1, 20/1, 7/1, 51/1, 53/1, 54/1, 46/1, 48/1)",46.788,10
"(14/1, 60/1, 9/1, 18/1, 49/1, 51/1, 52/1, 5/1, 33/1, 25/1, 9/1, 7/1, 47/1, 31/1, 11/1, 42/1, 34/1, 15/1, 15/1, 40/1)",48.408,20
"(51/1, 50/1, 18/1, 38/1, 58/1, 25/1, 50/1, 51/1, 52/1, 42/1, 24/1, 56/1, 2/1)",48.946,13
"(58/1, 23/1, 59/1, 57/1, 2/1, 25/1, 3/1, 49/1, 40/1, 41/1, 42/1, 17/1, 50/1, 3/1, 54/1, 30/1, 22/1, 43/1, 13/1, 25/1)",49.171,20
"(56/1, 49/1, 39/1, 3/1, 30/1, 1/1, 52/1, 42/1, 56/1, 58/1, 59/1, 44/1, 40/1, 3/1, 7/1, 32/1)",50.831,16
"(5/1, 5/1, 57/1, 58/1, 59/1, 32/1, 39/1, 52/1, 26/1, 5/1, 45/1, 18/1, 35/1, 39/1, 59/1, 40/1, 55/1, 37/1, 56/1, 14/1)",50.933,20
"(50/1, 59/1, 17/1, 7/1, 6/1, 3/1, 36/1, 3/1, 35/1, 7/1, 50/1, 9/1, 2/1, 55/1, 40/1, 41/1, 42/1, 29/1)",51.426,18
"(18/1, 11/1, 25/1, 40/1, 41/1, 52/1, 55/1, 29/1, 30/1, 31/1, 35/1, 57/1, 34/1, 49/1, 60/1, 16/1, 56/1, 22/1, 17/1)",52.089,19
"(3/1, 56/1, 17/1, 54/1, 56/1, 57/1, 22/1, 60/1, 47/1)",53.237,9
"(50/1, 22/1, 42/1, 33/1, 36/1, 38/1, 21/1, 57/1, 20/1, 8/1, 13/1, 37/1, 18/1, 44/1, 46/1, 47/1, 4/1)",54.744,17
"(57/1, 59/1, 60/1, 59/1, 16/1, 40/1, 51/1, 23/1, 22/1, 16/1, 53/1, 34/1, 1/1, 49/1)",55.098,14
"(11/1, 19/1, 36/1, 7/1, 59/1, 53/1, 54/1, 55/1, 60/1, 26/1, 41/1, 7/1, 9/1, 32/1, 43/1, 6/1, 2/1, 30/1, 22/1, 11/1)",55.244,20
"(58/1, 11/1, 19/1, 29/1, 33/1, 32/1, 30/1, 40/1, 41/1, 41/1, 4/1, 12/1, 44/1, 13/1, 60/1, 10/1, 52/1, 36/1, 41/1)",55.292,19
"(17/1, 53/1, 54/1, 55/1, 23/1, 11/1, 11/1, 32/1, 34/1, 32/1, 32/1, 21/1, 53/1, 12/1, 50/1, 14/1, 40/1, 32/1, 19/1)",55.368,19
"(3/1, 23/1, 26/1, 6/1, 60/1, 59/1, 59/1, 46/1, 48/1, 35/1, 19/1, 28/1)",55.656,12
"(42/1, 27/1, 48/1, 45/1, 46/1, 47/1, 49/1, 45/1, 6/1, 48/1, 33/1, 5/1, 59/1, 26/1, 2/1, 37/1, 45/1, 49/1, 39/1)",56.882,19
"(33/1, 16/1, 14/1, 43/1, 53/1, 53/1, 52/1, 53/1, 53/1, 11/1, 44/1, 56/1, 57/1)",56.949,13
"(31/1, 46/1, 56/1, 57/1, 58/1, 44/1, 16/1, 16/1, 30/1, 51/1, 25/1, 45/1, 15/1)",58.842,13
"(38/1, 58/1, 46/1, 4/1, 54/1, 55/1, 56/1, 41/1, 38/1, 30/1, 55/1, 4/1, 29/1, 41/1, 12/1, 29/1, 14/1, 25/1)",59.534,18
"(26/1, 34/1, 36/1, 38/1, 39/1, 40/1, 48/1, 15/1, 4/1, 48/1, 30/1, 5/1, 14/1)",61.808,13
"(52/1, 36/1, 13/1, 55/1, 28/1, 56/1, 57/1, 58/1, 29/1, 9/1, 52/1, 29/1, 4/1, 58/1)",63.0,14
"(44/1, 23/1, 3/1, 5/1, 51/1, 42/1, 31/1, 53/1, 54/1, 55/1, 5/1, 60/1, 54/1, 23/1, 13/1, 42/1, 33/1)",63.251,17
"(53/1, 36/1, 54/1, 18/1, 44/1, 13/1, 59/1, 28/1, 39/1, 37/1, 1/1, 8/1, 20/1, 19/1, 19/1, 53/1, 25/1, 1/1)",64.588,18
"(52/1, 36/1, 56/1, 56/1, 41/1, 27/1, 27/1, 54/1, 54/1, 6/1, 54/1, 55/1, 56/1, 31/1, 19/1, 54/1)",64.605,16
"(23/1, 52/1, 29/1, 55/1, 42/1, 13/1, 57/1, 46/1, 42/1, 51/1, 32/1, 33/1, 34/1, 53/1)",66.646,14
"(39/1, 54/1, 41/1, 51/1, 39/1, 41/1, 42/1, 48/1, 24/1, 55/1, 38/1, 22/1)",66.901,12
"(48/1, 50/1, 51/1, 53/1, 39/1, 41/1, 21/1, 57/1, 59/1, 13/1, 16/1, 60/1)",67.337,12
"(35/1, 19/1, 52/1, 32/1, 8/1, 34/1, 45/1, 44/1, 44/1, 24/1, 57/1, 38/1, 25/1, 15/1, 37/1, 56/1)",68.416,16
"(32/1, 46/1, 50/1, 52/1, 22/1, 24/1, 25/1, 25/1, 33/1, 35/1, 38/1, 13/1, 39/1, 19/1, 8/1)",69.12,15
"(13/1, 56/1, 43/1, 45/1, 36/1, 23/1, 43/1, 33/1, 34/1, 35/1, 28/1, 30/1, 18/1)",69.28,13
"(13/1, 3/1, 46/1, 4/1, 34/1, 34/1, 37/1, 50/1, 52/1, 14/1, 32/1, 35/1, 45/1, 47/1, 48/1, 28/1)",69.514,16
"(9/1, 7/1, 50/1, 22/1, 51/1, 53/1, 17/1, 1/1, 5/1, 23/1, 9/1, 15/1, 55/1, 53/1, 18/1, 53/1, 55/1, 56/1, 15/1)",70.333,19
"(51/1, 57/1, 29/1, 52/1, 54/1, 55/1, 50/1, 2/1, 22/1, 42/1)",70.408,10
"(60/1, 16/1, 7/1, 56/1, 54/1, 55/1, 56/1, 48/1, 13/1, 33/1)",70.54,10
"(31/1, 52/1, 54/1, 55/1, 19/1, 12/1, 59/1)",70.66,7
"(38/1, 31/1, 20/1, 21/1, 22/1, 23/1, 41/1, 47/1, 16/1, 11/1, 24/1, 22/1, 12/1, 12/1, 21/1, 13/1)",73.16,16
"(24/1, 55/1, 57/1, 58/1, 51/1)",74.128,5
"(46/1, 51/1, 14/1, 57/1, 45/1, 13/1, 40/1, 45/1, 46/1, 47/1, 23/1, 35/1, 24/1, 4/1, 45/1, 48/1, 35/1)",76.438,17
"(5/1, 38/1, 31/1, 59/1, 52/1, 10/1, 48/1, 55/1, 56/1, 57/1, 36/1, 53/1)",76.55,12
"(58/1, 6/1, 26/1, 46/1, 16/1, 58/1, 59/1, 47/1, 49/1, 50/1, 39/1, 25/1, 44/1, 23/1, 5/1, 7/1, 27/1, 33/1)",76.659,18
"(29/1, 45/1, 53/1, 55/1, 56/1, 2/1)",80.709,6
"(50/1, 51/1, 52/1, 19/1, 19/1)",82.953,5
"(3/1, 37/1, 24/1, 30/1, 2/1, 55/1, 36/1, 35/1, 35/1, 29/1, 29/1, 51/1)",85.21,12
"(22/1, 13/1, 35/1, 8/1, 46/1, 60/1, 3/1, 29/1, 47/1, 42/1, 43/1, 44/1, 37/1, 28/1, 27/1, 37/1, 48/1)",87.301,17
"(5/1, 44/1, 43/1, 43/1, 44/1, 11/1, 47/1, 47/1)",88.622,8
"(54/1, 56/1, 57/1, 52/1, 22/1, 12/1, 45/1, 6/1, 17/1)",91.548,9
"(51/1, 3/1, 58/1, 48/1, 44/1, 35/1, 36/1, 37/1, 43/1, 42/1, 4/1)",92.425,11
"(47/1, 8/1, 46/1, 48/1, 49/1, 8/1, 4/1, 19/1, 53/1, 45/1, 60/1, 46/1, 53/1, 37/1, 46/1, 50/1)",93.684,16
"(5/1, 46/1, 36/1, 46/1, 45/1, 49/1, 36/1, 20/1, 45/1, 10/1, 23/1, 54/1, 56/1, 57/1, 57/1, 55/1, 21/1)",94.582,17
"(26/1, 57/1, 59/1, 60/1, 28/1, 49/1, 22/1, 16/1, 23/1, 7/1, 44/1, 46/1, 33/1)",94.759,13
