Adversarial Examples,Time(s),Length of Adversarial Examples
"(29.0, 52.0, 33.0)",0.1,3
"(19.0, 46.0, 60.0, 19.0, 19.0)",1.57,5
"(12.0, 24.0, 24.0, 38.0, 24.0)",1.628,5
"(46.0, 44.0, 44.0, 30.0, 30.0)",1.634,5
"(20.0, 53.0, 53.0, 20.0, 19.0)",1.656,5
"(56.0, 2.0, 2.0, 56.0, 56.0)",1.657,5
"(6.0, 10.0, 10.0, 31.0, 6.0, 0.0)",4.161,6
"(30.0, 1.0, 1.0, 30.0, 30.0, 1.0)",7.038,6
"(57.0, 23.0, 23.0, 54.0, 57.0, 32.0, 57.0)",13.189,7
"(33.0, 16.0, 16.0, 58.0, 33.0, 33.0, 55.0)",13.224,7
"(10.0, 25.0, 25.0, 6.0, 10.0, 25.0, 43.0)",13.259,7
"(13.0, 45.0, 45.0, 35.0, 13.0, 45.0, 45.0)",13.262,7
"(50.0, 4.0, 4.0, 61.0, 50.0, 61.0, 50.0)",13.3,7
"(21.0, 18.0, 18.0, 57.0, 21.0, 57.0, 57.0)",13.303,7
"(44.0, 6.0, 6.0, 44.0, 44.0, 41.0, 41.0)",19.271,7
"(39.0, 44.0, 44.0, 39.0, 39.0, 39.0, 39.0)",19.301,7
"(41.0, 17.0, 17.0, 41.0, 41.0, 17.0, 7.0)",19.339,7
"(26.0, 27.0, 27.0, 26.0, 26.0, 27.0, 27.0)",19.341,7
"(3.0, 2.0, 3.0, 47.0, 47.0)",52.014,5
"(61.0, 41.0, 61.0, 41.0, 41.0)",52.017,5
"(6.0, 15.0, 15.0, 57.0, 5.0, 27.0, 27.0)",52.241,7
"(29.0, 40.0, 40.0, 56.0, 1.0, 56.0, 56.0)",52.246,7
"(12.0, 25.0, 25.0, 54.0, 25.0, 33.0, 33.0)",52.314,7
"(57.0, 24.0, 24.0, 26.0, 24.0, 57.0, 57.0)",52.316,7
"(9.0, 44.0, 44.0, 51.0, 44.0, 44.0, 44.0)",52.317,7
"(39.0, 30.0, 30.0, 43.0, 43.0, 9.0, 9.0)",52.341,7
"(21.0, 45.0, 45.0, 23.0, 23.0, 21.0, 21.0)",52.343,7
"(44.0, 38.0, 38.0, 36.0, 36.0, 38.0, 38.0)",52.345,7
"(19.0, 2.0, 2.0, 39.0, 39.0, 39.0, 39.0)",52.346,7
"(37.0, 4.0, 4.0, 37.0, 29.0, 37.0, 37.0)",52.37,7
"(61.0, 32.0, 32.0, 61.0, 32.0, 61.0, 61.0)",52.441,7
"(51.0, 6.0, 6.0, 10.0, 51.0, 10.0, 44.0, 5.0, 5.0)",52.643,9
"(55.0, 41.0, 41.0, 31.0, 55.0, 31.0, 21.0, 55.0, 55.0)",52.645,9
"(18.0, 54.0, 54.0, 26.0, 18.0, 26.0, 7.0, 54.0, 54.0)",52.647,9
"(61.0, 41.0, 41.0, 36.0, 61.0, 36.0, 61.0, 43.0, 43.0)",52.675,9
"(12.0, 40.0, 40.0, 11.0, 12.0, 11.0, 12.0, 40.0, 40.0)",52.677,9
"(41.0, 21.0, 21.0, 22.0, 41.0, 22.0, 41.0, 22.0, 22.0)",52.679,9
