Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(29.0, 52.0, 33.0)",0.1,1,6,N
"(19.0, 46.0, 60.0, 19.0, 19.0)",1.57,25,30,Y
"(12.0, 24.0, 24.0, 38.0, 24.0)",1.628,36,41,Y
"(46.0, 44.0, 44.0, 30.0, 30.0)",1.634,39,44,Y
"(20.0, 53.0, 53.0, 20.0, 19.0)",1.656,40,45,Y
"(56.0, 2.0, 2.0, 56.0, 56.0)",1.657,41,46,Y
"(6.0, 10.0, 10.0, 31.0, 6.0, 0.0)",4.161,51,56,Y
"(30.0, 1.0, 1.0, 30.0, 30.0, 1.0)",7.038,69,74,Y
"(57.0, 23.0, 23.0, 54.0, 57.0, 32.0, 57.0)",13.189,74,79,Y
"(33.0, 16.0, 16.0, 58.0, 33.0, 33.0, 55.0)",13.224,78,83,Y
"(10.0, 25.0, 25.0, 6.0, 10.0, 25.0, 43.0)",13.259,82,87,Y
"(13.0, 45.0, 45.0, 35.0, 13.0, 45.0, 45.0)",13.262,84,89,Y
"(50.0, 4.0, 4.0, 61.0, 50.0, 61.0, 50.0)",13.3,87,92,Y
"(21.0, 18.0, 18.0, 57.0, 21.0, 57.0, 57.0)",13.303,89,94,Y
"(44.0, 6.0, 6.0, 44.0, 44.0, 41.0, 41.0)",19.271,93,98,Y
"(39.0, 44.0, 44.0, 39.0, 39.0, 39.0, 39.0)",19.301,95,100,Y
"(41.0, 17.0, 17.0, 41.0, 41.0, 17.0, 7.0)",19.339,97,102,Y
"(26.0, 27.0, 27.0, 26.0, 26.0, 27.0, 27.0)",19.341,99,104,Y
"(3.0, 2.0, 3.0, 47.0, 47.0)",52.014,129,134,Y
"(61.0, 41.0, 61.0, 41.0, 41.0)",52.017,131,136,Y
"(6.0, 15.0, 15.0, 57.0, 5.0, 27.0, 27.0)",52.241,152,157,Y
"(29.0, 40.0, 40.0, 56.0, 1.0, 56.0, 56.0)",52.246,156,161,Y
"(12.0, 25.0, 25.0, 54.0, 25.0, 33.0, 33.0)",52.314,157,162,Y
"(57.0, 24.0, 24.0, 26.0, 24.0, 57.0, 57.0)",52.316,158,163,Y
"(9.0, 44.0, 44.0, 51.0, 44.0, 44.0, 44.0)",52.317,159,164,Y
"(39.0, 30.0, 30.0, 43.0, 43.0, 9.0, 9.0)",52.341,161,166,Y
"(21.0, 45.0, 45.0, 23.0, 23.0, 21.0, 21.0)",52.343,162,167,Y
"(44.0, 38.0, 38.0, 36.0, 36.0, 38.0, 38.0)",52.345,163,168,Y
"(19.0, 2.0, 2.0, 39.0, 39.0, 39.0, 39.0)",52.346,164,169,Y
"(37.0, 4.0, 4.0, 37.0, 29.0, 37.0, 37.0)",52.37,166,171,Y
"(61.0, 32.0, 32.0, 61.0, 32.0, 61.0, 61.0)",52.441,170,175,Y
"(51.0, 6.0, 6.0, 10.0, 51.0, 10.0, 44.0, 5.0, 5.0)",52.643,192,197,Y
"(55.0, 41.0, 41.0, 31.0, 55.0, 31.0, 21.0, 55.0, 55.0)",52.645,193,198,Y
"(18.0, 54.0, 54.0, 26.0, 18.0, 26.0, 7.0, 54.0, 54.0)",52.647,195,200,Y
"(61.0, 41.0, 41.0, 36.0, 61.0, 36.0, 61.0, 43.0, 43.0)",52.675,197,202,Y
"(12.0, 40.0, 40.0, 11.0, 12.0, 11.0, 12.0, 40.0, 40.0)",52.677,199,204,Y
"(41.0, 21.0, 21.0, 22.0, 41.0, 22.0, 41.0, 22.0, 22.0)",52.679,200,205,Y
"(49.0, 11.0, 11.0, 36.0, 49.0, 36.0, 11.0, 8.0, 8.0)",52.702,201,206,Y
"(53.0, 11.0, 11.0, 13.0, 53.0, 13.0, 11.0, 13.0, 13.0)",52.707,204,209,Y
"(4.0, 16.0, 16.0, 47.0, 4.0, 47.0, 47.0, 43.0, 43.0)",52.73,205,210,Y
"(41.0, 42.0, 42.0, 58.0, 41.0, 58.0, 58.0, 41.0, 41.0)",52.732,206,211,Y
"(3.0, 34.0, 34.0, 44.0, 3.0, 44.0, 44.0, 34.0, 34.0)",52.733,207,212,Y
"(39.0, 48.0, 48.0, 8.0, 39.0, 8.0, 8.0, 8.0, 8.0)",52.735,208,213,Y
"(21.0, 31.0, 31.0, 21.0, 21.0, 31.0, 52.0, 21.0, 21.0)",52.765,210,215,Y
"(9.0, 2.0, 2.0, 9.0, 9.0, 2.0, 31.0, 2.0, 2.0)",52.766,211,216,Y
"(4.0, 52.0, 52.0, 4.0, 4.0, 52.0, 44.0, 44.0, 44.0)",52.768,212,217,Y
"(12.0, 23.0, 23.0, 12.0, 12.0, 23.0, 12.0, 27.0, 27.0)",52.787,213,218,Y
"(13.0, 12.0, 12.0, 13.0, 13.0, 12.0, 12.0, 43.0, 43.0)",52.819,216,221,Y
"(61.0, 9.0, 9.0, 36.0, 45.0, 27.0, 35.0)",62.29,219,224,Y
"(22.0, 19.0, 19.0, 41.0, 6.0, 56.0, 19.0)",62.295,221,226,Y
"(29.0, 56.0, 56.0, 24.0, 34.0, 56.0, 34.0)",62.489,250,255,Y
"(56.0, 38.0, 38.0, 31.0, 27.0, 31.0, 15.0)",62.558,257,262,Y
"(24.0, 21.0, 21.0, 49.0, 21.0, 17.0, 21.0)",78.282,268,273,Y
"(22.0, 12.0, 12.0, 46.0, 12.0, 57.0, 46.0)",78.283,269,274,Y
"(28.0, 2.0, 2.0, 24.0, 2.0, 28.0, 24.0)",78.351,277,282,Y
"(45.0, 44.0, 44.0, 47.0, 44.0, 44.0, 48.0)",78.405,282,287,Y
"(52.0, 13.0, 13.0, 24.0, 13.0, 13.0, 24.0)",78.41,284,289,Y
"(20.0, 15.0, 15.0, 22.0, 15.0, 22.0, 43.0)",78.463,289,294,Y
"(44.0, 14.0, 14.0, 12.0, 14.0, 12.0, 44.0)",78.465,290,295,Y
"(44.0, 26.0, 26.0, 44.0, 41.0, 61.0, 44.0)",96.87,297,302,Y
"(51.0, 60.0, 60.0, 51.0, 56.0, 51.0, 55.0)",96.925,305,310,Y
"(43.0, 43.0, 43.0, 43.0, 0.0, 43.0, 22.0)",96.984,312,317,Y
"(31.0, 1.0, 1.0, 31.0, 31.0, 31.0, 31.0)",97.044,320,325,Y
"(40.0, 32.0, 32.0, 9.0, 40.0, 24.0, 5.0, 60.0, 60.0)",120.779,331,336,Y
"(47.0, 8.0, 8.0, 3.0, 47.0, 10.0, 14.0, 8.0, 8.0)",120.783,334,339,Y
"(33.0, 56.0, 56.0, 7.0, 33.0, 17.0, 26.0, 7.0, 7.0)",120.784,335,340,Y
"(60.0, 41.0, 41.0, 29.0, 60.0, 7.0, 17.0, 7.0, 7.0)",120.785,336,341,Y
"(50.0, 13.0, 13.0, 54.0, 50.0, 48.0, 50.0, 18.0, 18.0)",120.857,341,346,Y
"(7.0, 25.0, 25.0, 11.0, 7.0, 4.0, 7.0, 7.0, 7.0)",120.859,342,347,Y
"(53.0, 25.0, 25.0, 54.0, 53.0, 43.0, 53.0, 43.0, 43.0)",120.86,343,348,Y
"(23.0, 30.0, 30.0, 15.0, 23.0, 12.0, 23.0, 15.0, 15.0)",120.863,345,350,Y
"(31.0, 48.0, 48.0, 36.0, 31.0, 41.0, 41.0, 36.0, 36.0)",120.926,350,355,Y
"(10.0, 43.0, 43.0, 16.0, 10.0, 25.0, 25.0, 10.0, 10.0)",120.927,351,356,Y
"(3.0, 1.0, 1.0, 55.0, 3.0, 15.0, 15.0, 15.0, 15.0)",120.929,352,357,Y
"(17.0, 43.0, 43.0, 8.0, 17.0, 47.0, 47.0, 43.0, 43.0)",120.93,353,358,Y
"(41.0, 13.0, 13.0, 43.0, 41.0, 31.0, 31.0, 43.0, 43.0)",120.932,354,359,Y
"(1.0, 21.0, 21.0, 6.0, 1.0, 53.0, 21.0, 1.0)",120.972,356,361,Y
"(19.0, 28.0, 28.0, 21.0, 19.0, 39.0, 28.0, 28.0, 28.0)",121.002,359,364,Y
"(34.0, 5.0, 5.0, 41.0, 34.0, 37.0, 5.0, 34.0, 34.0)",121.003,360,365,Y
"(6.0, 50.0, 50.0, 31.0, 6.0, 54.0, 50.0, 54.0, 54.0)",121.005,361,366,Y
"(4.0, 7.0, 7.0, 16.0, 4.0, 34.0, 7.0, 7.0, 7.0)",121.006,362,367,Y
"(19.0, 40.0, 40.0, 20.0, 19.0, 60.0, 20.0, 60.0, 60.0)",121.075,370,375,Y
"(0.0, 10.0, 10.0, 11.0, 0.0, 0.0, 57.0, 0.0)",150.494,374,379,Y
"(34.0, 54.0, 54.0, 49.0, 34.0, 34.0, 46.0, 49.0, 49.0)",150.533,381,386,Y
"(19.0, 12.0, 12.0, 53.0, 19.0, 19.0, 19.0, 12.0, 12.0)",150.593,387,392,Y
"(1.0, 42.0, 42.0, 1.0, 1.0, 1.0, 42.0, 1.0)",150.625,390,395,Y
"(41.0, 38.0, 38.0, 27.0, 41.0, 41.0, 38.0, 58.0, 58.0)",150.655,392,397,Y
"(17.0, 55.0, 55.0, 11.0, 17.0, 17.0, 55.0, 17.0, 17.0)",150.656,393,398,Y
