Adversarial Examples,Time(s),Length of Adversarial Examples
"(51/1, 6/1, 48/1, 5/1)",0.051,4
"(34/1, 34/1)",0.141,2
"(54/1, 45/1, 53/1, 47/1)",0.23,4
"(12/1, 12/1)",0.355,2
"(31/1, 48/1, 32/1, 49/1)",0.924,4
"(3/1, 3/1)",1.006,2
"(41/1, 41/1)",1.256,2
"(8/1, 8/1)",2.483,2
"(29/1, 29/1)",2.562,2
"(5/1, 5/1)",2.873,2
"(48/1, 50/1, 46/1, 49/1)",5.413,4
"(10/1, 10/1)",6.059,2
"(32/1, 25/1, 36/1, 28/1)",7.722,4
"(1/1, 1/1)",8.559,2
"(54/1, 54/1)",9.837,2
"(15/1, 47/1, 15/1, 46/1)",10.384,4
"(52/1, 32/1, 51/1, 28/1)",11.73,4
"(50/1, 50/1)",11.913,2
"(52/1, 4/1, 49/1, 4/1, 51/1, 1/1)",12.295,6
"(4/1, 20/1, 2/1, 21/1)",12.992,4
"(50/1, 10/1, 52/1, 12/1)",15.995,4
"(59/1, 5/1, 58/1, 5/1)",16.02,4
"(17/1, 17/1)",16.655,2
"(55/1, 55/1)",20.115,2
"(14/1, 14/1)",20.43,2
"(44/1, 44/1)",21.24,2
"(36/1, 36/1)",22.091,2
"(43/1, 43/1)",24.597,2
"(34/1, 53/1, 36/1, 57/1)",25.663,4
"(20/1, 35/1, 18/1, 32/1, 15/1, 31/1)",25.82,6
"(47/1, 47/1)",26.254,2
"(52/1, 17/1, 60/1, 17/1)",26.289,4
"(7/1, 55/1, 9/1, 56/1)",27.393,4
"(50/1, 11/1, 56/1, 9/1)",28.98,4
"(28/1, 20/1, 29/1, 21/1)",29.167,4
"(57/1, 57/1)",29.319,2
"(42/1, 42/1)",30.303,2
"(24/1, 18/1, 27/1, 20/1)",30.727,4
"(57/1, 37/1, 54/1, 36/1)",32.08,4
"(34/1, 15/1, 35/1, 17/1)",32.953,4
"(37/1, 55/1, 43/1, 59/1)",33.28,4
"(49/1, 48/1, 47/1, 49/1)",33.597,4
"(60/1, 23/1, 57/1, 24/1)",33.767,4
"(18/1, 18/1)",33.93,2
"(42/1, 23/1, 45/1, 25/1)",34.369,4
"(53/1, 48/1, 57/1, 45/1)",34.386,4
"(21/1, 21/1)",34.462,2
"(13/1, 6/1, 16/1, 3/1)",36.238,4
"(51/1, 51/1)",36.754,2
"(22/1, 42/1, 21/1, 41/1)",38.061,4
"(53/1, 27/1, 57/1, 24/1)",38.968,4
