Adversarial Examples,Time(s),Length of Adversarial Examples
"(49/1, 49/1)",40.345,2
"(39/1, 34/1, 44/1, 36/1)",41.119,4
"(47/1, 44/1, 44/1, 43/1)",41.922,4
"(51/1, 31/1, 56/1, 33/1)",43.013,4
"(60/1, 27/1, 55/1, 28/1)",43.329,4
"(54/1, 11/1, 53/1, 9/1)",43.486,4
"(13/1, 13/1)",43.6,2
"(53/1, 17/1, 58/1, 14/1)",44.476,4
"(35/1, 35/1)",44.982,2
"(10/1, 50/1, 10/1, 57/1)",45.824,4
"(33/1, 33/1)",46.505,2
"(39/1, 39/1)",48.111,2
"(29/1, 29/1, 27/1, 31/1)",49.324,4
"(40/1, 40/1)",49.469,2
"(6/1, 6/1, 6/1, 7/1)",50.197,4
"(53/1, 49/1, 50/1, 51/1)",51.911,4
"(20/1, 20/1)",52.988,2
"(28/1, 28/1)",52.996,2
"(26/1, 38/1, 26/1, 42/1)",53.063,4
"(49/1, 37/1, 55/1, 36/1)",53.48,4
"(15/1, 6/1, 17/1, 3/1)",53.693,4
"(27/1, 52/1, 32/1, 59/1)",53.827,4
"(56/1, 56/1)",54.724,2
"(4/1, 4/1)",55.277,2
"(49/1, 14/1, 45/1, 12/1, 51/1, 11/1)",55.507,6
"(2/1, 5/1, 5/1, 7/1)",55.846,4
"(10/1, 36/1, 10/1, 35/1)",56.176,4
"(36/1, 59/1, 38/1, 58/1)",56.667,4
"(22/1, 22/1)",57.214,2
"(58/1, 58/1)",57.821,2
"(42/1, 23/1, 37/1, 22/1, 31/1, 22/1)",57.825,6
"(5/1, 42/1, 5/1, 41/1)",58.572,4
"(15/1, 15/1)",58.701,2
"(31/1, 21/1, 29/1, 22/1)",61.374,4
"(25/1, 25/1)",62.009,2
"(51/1, 35/1, 60/1, 36/1)",63.078,4
"(13/1, 48/1, 13/1, 50/1)",63.091,4
"(45/1, 2/1, 55/1, 2/1)",63.117,4
"(23/1, 23/1)",63.247,2
"(40/1, 48/1, 40/1, 50/1)",64.546,4
"(38/1, 38/1)",65.058,2
"(54/1, 51/1, 50/1, 47/1)",66.215,4
"(54/1, 25/1, 57/1, 22/1)",66.718,4
"(16/1, 16/1)",67.277,2
"(35/1, 26/1, 37/1, 24/1)",69.388,4
"(31/1, 31/1)",69.983,2
"(52/1, 52/1)",70.032,2
"(1/1, 28/1, 4/1, 29/1)",70.262,4
"(11/1, 11/1)",70.629,2
"(13/1, 3/1, 16/1, 1/1)",71.112,4
"(14/1, 41/1, 16/1, 42/1)",75.5,4
"(29/1, 29/1, 30/1, 29/1)",75.712,4
"(53/1, 53/1)",76.093,2
"(52/1, 24/1, 56/1, 22/1)",77.558,4
"(26/1, 39/1, 25/1, 43/1)",78.727,4
"(43/1, 55/1, 47/1, 55/1)",79.718,4
"(46/1, 41/1, 48/1, 41/1)",81.315,4
"(37/1, 13/1, 38/1, 11/1)",82.136,4
"(8/1, 8/1, 11/1, 11/1)",82.41,4
"(47/1, 40/1, 47/1, 42/1)",82.524,4
"(14/1, 56/1, 11/1, 55/1)",82.797,4
"(41/1, 16/1, 42/1, 13/1)",83.147,4
"(47/1, 52/1, 52/1, 57/1)",83.685,4
"(5/1, 15/1, 3/1, 15/1)",85.844,4
"(52/1, 49/1, 46/1, 49/1)",87.868,4
"(4/1, 36/1, 3/1, 32/1)",88.657,4
"(7/1, 2/1, 10/1, 2/1)",90.538,4
"(14/1, 24/1, 15/1, 23/1)",90.992,4
"(2/1, 2/1)",91.666,2
"(15/1, 11/1, 15/1, 10/1)",93.127,4
"(19/1, 19/1)",94.829,2
"(9/1, 8/1, 6/1, 4/1)",96.158,4
"(33/1, 34/1, 32/1, 32/1)",96.382,4
"(42/1, 46/1, 45/1, 50/1)",97.811,4
"(49/1, 32/1, 49/1, 30/1)",99.304,4
"(18/1, 31/1, 16/1, 29/1)",105.735,4
"(54/1, 53/1, 48/1, 51/1)",108.508,4
"(32/1, 32/1)",108.793,2
"(60/1, 60/1)",109.655,2
"(42/1, 43/1, 43/1, 42/1)",111.298,4
"(50/1, 21/1, 55/1, 19/1)",112.127,4
"(52/1, 22/1, 49/1, 19/1)",113.26,4
"(54/1, 14/1, 59/1, 10/1)",114.26,4
"(9/1, 9/1)",118.68,2
"(8/1, 4/1, 5/1, 2/1)",119.657,4
"(23/1, 57/1, 26/1, 59/1)",119.89,4
"(40/1, 1/1, 45/1, 1/1)",120.138,4
"(40/1, 52/1, 47/1, 59/1)",122.791,4
"(46/1, 46/1)",123.687,2
"(42/1, 12/1, 43/1, 11/1)",125.088,4
"(17/1, 15/1, 17/1, 16/1)",125.703,4
"(6/1, 6/1, 9/1, 4/1)",127.246,4
"(51/1, 8/1, 48/1, 9/1)",127.286,4
"(57/1, 33/1, 54/1, 29/1)",128.887,4
"(37/1, 45/1, 37/1, 47/1)",129.84,4
"(7/1, 12/1, 9/1, 12/1)",131.312,4
"(9/1, 2/1, 8/1, 4/1)",131.425,4
"(37/1, 46/1, 36/1, 53/1, 40/1, 59/1)",131.626,6
"(49/1, 47/1, 49/1, 43/1)",132.577,4
"(27/1, 38/1, 28/1, 43/1)",133.527,4
"(43/1, 44/1, 39/1, 43/1)",135.559,4
"(59/1, 58/1, 57/1, 58/1)",136.671,4
"(24/1, 18/1, 24/1, 16/1)",136.991,4
"(50/1, 41/1, 51/1, 42/1)",137.935,4
"(54/1, 42/1, 54/1, 44/1)",140.183,4
"(35/1, 60/1, 38/1, 59/1)",140.289,4
"(29/1, 20/1, 33/1, 21/1)",143.193,4
"(28/1, 23/1, 27/1, 27/1)",145.053,4
"(48/1, 30/1, 47/1, 25/1)",145.799,4
"(36/1, 52/1, 40/1, 57/1)",146.876,4
"(45/1, 59/1, 49/1, 58/1)",147.154,4
"(36/1, 24/1, 33/1, 24/1)",147.272,4
"(55/1, 58/1, 56/1, 57/1)",148.344,4
"(5/1, 60/1, 7/1, 59/1)",148.656,4
"(33/1, 30/1, 31/1, 28/1)",149.718,4
"(48/1, 3/1, 47/1, 5/1)",150.421,4
"(37/1, 52/1, 35/1, 55/1)",150.731,4
"(6/1, 6/1)",150.787,2
"(1/1, 57/1, 2/1, 55/1)",154.716,4
"(52/1, 13/1, 58/1, 12/1)",156.513,4
"(54/1, 27/1, 58/1, 24/1)",157.329,4
"(17/1, 30/1, 14/1, 28/1)",158.084,4
"(35/1, 2/1, 41/1, 3/1)",158.126,4
"(60/1, 25/1, 58/1, 23/1)",158.669,4
"(30/1, 30/1)",161.172,2
"(43/1, 7/1, 46/1, 5/1)",163.817,4
"(53/1, 27/1, 50/1, 25/1)",164.188,4
"(7/1, 36/1, 6/1, 34/1)",164.867,4
"(54/1, 39/1, 59/1, 38/1)",169.102,4
"(6/1, 9/1, 6/1, 7/1)",169.116,4
"(38/1, 20/1, 36/1, 19/1)",170.622,4
"(26/1, 37/1, 29/1, 40/1)",174.055,4
"(7/1, 7/1)",176.761,2
"(37/1, 18/1, 36/1, 20/1)",176.827,4
"(26/1, 26/1)",177.365,2
"(47/1, 12/1, 49/1, 11/1)",179.537,4
"(4/1, 22/1, 8/1, 26/1, 9/1, 25/1)",181.203,6
"(6/1, 15/1, 5/1, 11/1)",181.685,4
"(30/1, 52/1, 29/1, 56/1)",187.762,4
"(24/1, 24/1)",188.227,2
"(7/1, 8/1, 8/1, 5/1)",195.939,4
"(58/1, 39/1, 55/1, 40/1)",197.299,4
"(33/1, 10/1, 37/1, 11/1)",199.182,4
"(34/1, 7/1, 37/1, 5/1)",201.585,4
"(48/1, 48/1)",203.605,2
"(59/1, 59/1)",204.4,2
"(51/1, 50/1, 54/1, 53/1)",205.672,4
"(26/1, 29/1, 27/1, 31/1)",206.765,4
"(22/1, 42/1, 22/1, 47/1)",208.114,4
"(27/1, 27/1)",208.98,2
"(52/1, 50/1, 56/1, 53/1)",209.452,4
"(25/1, 9/1, 22/1, 7/1)",210.481,4
"(53/1, 13/1, 49/1, 10/1)",213.132,4
"(37/1, 37/1)",213.904,2
"(39/1, 39/1, 39/1, 40/1)",214.017,4
"(1/1, 37/1, 2/1, 30/1)",214.14,4
"(41/1, 48/1, 43/1, 47/1)",215.468,4
"(21/1, 54/1, 21/1, 60/1)",215.988,4
"(44/1, 21/1, 45/1, 24/1)",216.242,4
"(21/1, 58/1, 18/1, 59/1)",217.617,4
"(49/1, 26/1, 48/1, 28/1)",220.058,4
"(18/1, 13/1, 21/1, 13/1)",222.16,4
"(55/1, 32/1, 56/1, 31/1)",223.1,4
"(51/1, 26/1, 50/1, 23/1)",223.95,4
"(45/1, 17/1, 44/1, 16/1)",224.891,4
"(27/1, 42/1, 29/1, 46/1)",225.42,4
"(12/1, 23/1, 11/1, 21/1)",228.175,4
"(46/1, 55/1, 47/1, 60/1)",234.503,4
"(48/1, 13/1, 47/1, 13/1)",235.982,4
"(37/1, 11/1, 40/1, 13/1)",236.638,4
"(45/1, 34/1, 48/1, 33/1)",237.259,4
"(51/1, 21/1, 51/1, 20/1)",237.932,4
"(58/1, 35/1, 58/1, 37/1)",246.382,4
"(45/1, 45/1)",247.627,2
"(46/1, 13/1, 48/1, 14/1)",249.311,4
"(58/1, 41/1, 53/1, 41/1)",252.635,4
"(7/1, 8/1, 9/1, 10/1)",253.296,4
"(18/1, 28/1, 16/1, 28/1)",253.416,4
"(24/1, 36/1, 23/1, 40/1)",254.236,4
"(45/1, 53/1, 41/1, 53/1)",255.022,4
"(46/1, 50/1, 44/1, 55/1)",255.397,4
"(8/1, 46/1, 7/1, 49/1)",258.685,4
"(16/1, 51/1, 13/1, 49/1)",260.246,4
"(32/1, 28/1, 33/1, 29/1)",266.011,4
"(52/1, 49/1, 52/1, 52/1)",267.054,4
"(4/1, 60/1, 3/1, 58/1)",270.207,4
"(49/1, 59/1, 48/1, 59/1)",270.993,4
"(29/1, 30/1, 30/1, 28/1)",271.004,4
"(26/1, 43/1, 27/1, 43/1)",273.777,4
"(3/1, 58/1, 1/1, 57/1)",276.831,4
"(42/1, 55/1, 45/1, 55/1)",276.86,4
"(13/1, 4/1, 7/1, 2/1)",279.032,4
"(34/1, 34/1, 36/1, 34/1)",280.976,4
"(4/1, 42/1, 5/1, 46/1, 11/1, 48/1)",281.355,6
"(4/1, 7/1, 8/1, 7/1, 12/1, 8/1)",283.139,6
"(42/1, 6/1, 39/1, 6/1)",283.164,4
"(40/1, 50/1, 41/1, 56/1)",284.104,4
"(42/1, 33/1, 41/1, 35/1)",287.357,4
"(20/1, 40/1, 19/1, 43/1)",287.822,4
"(35/1, 52/1, 32/1, 51/1)",291.32,4
"(23/1, 14/1, 23/1, 11/1)",293.136,4
"(9/1, 57/1, 11/1, 56/1)",294.764,4
"(22/1, 17/1, 24/1, 16/1)",296.223,4
"(15/1, 13/1, 18/1, 11/1, 16/1, 11/1, 13/1, 7/1)",297.328,8
"(28/1, 9/1, 27/1, 8/1, 37/1, 8/1, 45/1, 8/1)",302.712,8
"(39/1, 29/1, 37/1, 28/1)",307.991,4
"(10/1, 53/1, 11/1, 60/1)",308.137,4
"(58/1, 7/1, 54/1, 7/1)",312.164,4
"(38/1, 42/1, 40/1, 41/1)",312.288,4
"(35/1, 4/1, 40/1, 5/1)",314.289,4
"(56/1, 24/1, 50/1, 23/1)",314.794,4
"(47/1, 57/1, 50/1, 59/1)",315.692,4
"(53/1, 31/1, 56/1, 31/1)",318.558,4
"(51/1, 45/1, 51/1, 43/1)",318.753,4
"(35/1, 60/1, 36/1, 60/1)",318.78,4
"(11/1, 16/1, 11/1, 13/1)",320.921,4
"(40/1, 6/1, 38/1, 6/1)",321.575,4
"(8/1, 49/1, 7/1, 51/1)",321.849,4
"(4/1, 32/1, 6/1, 34/1)",322.093,4
"(16/1, 50/1, 14/1, 54/1)",324.118,4
"(50/1, 23/1, 53/1, 23/1)",325.6,4
"(2/1, 3/1, 4/1, 5/1)",326.008,4
"(3/1, 31/1, 5/1, 30/1)",330.621,4
"(37/1, 31/1, 41/1, 34/1)",330.795,4
"(34/1, 52/1, 38/1, 53/1)",332.753,4
"(26/1, 37/1, 25/1, 39/1)",342.039,4
"(16/1, 13/1, 17/1, 9/1)",342.906,4
"(46/1, 6/1, 52/1, 7/1)",343.493,4
"(6/1, 15/1, 5/1, 18/1)",344.413,4
"(33/1, 35/1, 35/1, 38/1)",344.938,4
"(49/1, 31/1, 58/1, 32/1)",350.128,4
"(8/1, 22/1, 7/1, 23/1)",351.78,4
"(33/1, 49/1, 31/1, 49/1)",352.26,4
"(35/1, 27/1, 32/1, 26/1)",354.152,4
"(44/1, 52/1, 47/1, 60/1)",356.565,4
"(44/1, 15/1, 44/1, 11/1)",356.722,4
"(51/1, 29/1, 47/1, 29/1)",357.231,4
"(60/1, 57/1, 48/1, 56/1)",357.33,4
"(49/1, 12/1, 56/1, 9/1)",358.683,4
"(6/1, 56/1, 5/1, 55/1)",359.373,4
"(7/1, 31/1, 8/1, 29/1)",364.645,4
"(15/1, 47/1, 16/1, 50/1, 17/1, 44/1)",366.988,6
"(52/1, 47/1, 54/1, 49/1)",368.982,4
"(55/1, 32/1, 57/1, 28/1)",371.915,4
"(32/1, 24/1, 32/1, 25/1)",374.492,4
"(55/1, 53/1, 47/1, 52/1)",376.125,4
"(24/1, 14/1, 27/1, 13/1)",376.837,4
"(41/1, 42/1, 39/1, 42/1)",384.651,4
"(20/1, 38/1, 19/1, 40/1)",388.315,4
"(42/1, 14/1, 41/1, 11/1)",388.853,4
"(6/1, 54/1, 8/1, 54/1)",390.759,4
"(51/1, 47/1, 50/1, 44/1)",392.111,4
"(49/1, 20/1, 50/1, 20/1)",394.112,4
"(46/1, 48/1, 41/1, 47/1)",396.441,4
"(50/1, 12/1, 50/1, 10/1)",396.618,4
"(4/1, 48/1, 3/1, 45/1)",396.869,4
"(12/1, 11/1, 16/1, 10/1)",397.429,4
"(22/1, 30/1, 24/1, 31/1)",397.881,4
"(15/1, 36/1, 12/1, 37/1, 10/1, 40/1)",399.884,6
