Details,+ve Membership Query,-ve Membership Query,Total Membership Query,+ve Equivalence Query,-ve Equivalence Query,Total Equivalence Query,Total count
No. of queries asked,4.0,677.0,681.0,1.0,5.0,6.0,687.0
No. of queries answered correctly,2.0,572.0,574.0,0.0,4.0,4.0,578.0
No. of queries answered incorrectly,2.0,105.0,107.0,1.0,1.0,2.0,109.0
Accuracy,0.5,0.8449,0.8429,0.0,0.8,0.6667,0.8413391557496361
