Adversarial Examples,Time(s),Length of Adversarial Examples
"(33.0, 15.0, 21.0, 55.0, 55.0, 60.0, 60.0, 55.0, 55.0, 55.0)",724.36,10
"(54.0, 59.0, 39.0, 25.0, 25.0, 37.0, 37.0, 53.0, 53.0, 6.0)",724.391,10
"(25.0, 47.0, 22.0, 12.0, 12.0, 41.0, 41.0, 19.0, 19.0, 41.0)",724.393,10
"(8.0, 50.0, 14.0, 56.0, 56.0, 34.0, 34.0, 57.0, 57.0, 57.0)",724.396,10
"(16.0, 20.0, 10.0, 3.0, 3.0, 24.0, 20.0, 24.0, 41.0, 22.0)",1155.987,10
"(29.0, 26.0, 22.0, 32.0, 32.0, 5.0, 26.0, 5.0, 11.0, 22.0)",1155.99,10
"(21.0, 40.0, 57.0, 4.0, 4.0, 60.0, 40.0, 60.0, 58.0, 4.0)",1155.991,10
"(23.0, 13.0, 29.0, 55.0, 55.0, 18.0, 13.0, 18.0, 26.0, 26.0)",1155.992,10
"(27.0, 52.0, 46.0, 14.0, 14.0, 32.0, 52.0, 32.0, 27.0, 27.0)",1156.019,10
"(1.0, 38.0, 14.0, 19.0, 19.0, 33.0, 38.0, 33.0, 1.0, 14.0)",1156.021,10
"(16.0, 40.0, 30.0, 45.0, 45.0, 56.0, 40.0, 56.0, 16.0, 45.0)",1156.022,10
"(16.0, 3.0, 53.0, 30.0, 30.0, 29.0, 3.0, 29.0, 29.0, 16.0)",1156.05,10
"(45.0, 37.0, 49.0, 23.0, 23.0, 14.0, 37.0, 14.0, 14.0, 37.0)",1156.052,10
"(57.0, 27.0, 61.0, 15.0, 15.0, 26.0, 27.0, 26.0, 26.0, 15.0)",1156.054,10
"(15.0, 38.0, 18.0, 1.0, 1.0, 5.0, 38.0, 5.0, 38.0, 38.0)",1156.08,10
"(27.0, 35.0, 1.0, 45.0, 45.0, 8.0, 35.0, 8.0, 35.0, 45.0)",1156.084,10
"(33.0, 29.0, 25.0, 59.0, 59.0, 17.0, 29.0, 17.0, 25.0, 36.0)",1156.111,10
"(1.0, 47.0, 11.0, 25.0, 25.0, 60.0, 47.0, 60.0, 11.0, 1.0)",1156.112,10
"(27.0, 34.0, 52.0, 21.0, 21.0, 10.0, 34.0, 10.0, 52.0, 10.0)",1156.113,10
"(30.0, 23.0, 50.0, 36.0, 36.0, 4.0, 23.0, 4.0, 50.0, 50.0)",1156.115,10
"(58.0, 25.0, 48.0, 9.0, 9.0, 15.0, 25.0, 15.0, 48.0, 9.0)",1156.116,10
"(24.0, 48.0, 18.0, 31.0, 31.0, 49.0, 48.0, 49.0, 31.0, 44.0)",1156.142,10
"(20.0, 0.0, 58.0, 44.0, 44.0, 2.0, 0.0, 2.0, 44.0, 2.0)",1156.144,10
"(23.0, 32.0, 54.0, 24.0, 24.0, 19.0, 32.0, 19.0, 24.0, 32.0)",1156.145,10
"(31.0, 57.0, 58.0, 19.0, 19.0, 46.0, 57.0, 46.0, 19.0, 58.0)",1156.146,10
"(29.0, 35.0, 31.0, 8.0, 8.0, 7.0, 35.0, 7.0, 8.0, 8.0)",1156.147,10
"(9.0, 22.0, 7.0, 17.0, 17.0, 12.0, 12.0, 53.0, 0.0, 12.0, 25.0)",2673.847,11
"(60.0, 0.0, 20.0, 47.0, 47.0, 52.0, 52.0, 18.0, 4.0, 52.0, 52.0)",2673.849,11
"(24.0, 43.0, 0.0, 33.0, 33.0, 61.0, 61.0, 36.0, 7.0, 7.0, 61.0)",2673.94,11
"(29.0, 46.0, 0.0, 52.0, 52.0, 47.0, 47.0, 46.0, 38.0, 52.0, 47.0)",2674.025,11
"(0.0, 20.0, 5.0, 5.0, 5.0, 33.0, 33.0, 22.0, 33.0, 20.0, 0.0)",6746.978,11
"(52.0, 9.0, 61.0, 0.0, 0.0, 43.0, 43.0, 14.0, 43.0, 0.0, 43.0)",6747.059,11
"(2.0, 0.0, 16.0, 32.0, 32.0, 3.0, 3.0, 2.0, 3.0, 32.0, 0.0)",6747.06,11
"(2.0, 4.0, 35.0, 54.0, 54.0, 31.0, 31.0, 51.0, 35.0, 2.0, 0.0)",9710.265,11
"(35.0, 9.0, 0.0, 13.0, 13.0, 24.0, 24.0, 45.0, 0.0, 0.0, 13.0)",9710.371,11
"(38.0, 25.0, 18.0, 42.0, 42.0, 11.0, 11.0, 0.0, 18.0, 42.0, 18.0)",9710.411,11
"(16.0, 18.0, 20.0, 0.0, 0.0, 49.0, 49.0, 1.0, 1.0, 49.0, 0.0)",13063.977,11
"(0.0, 25.0, 14.0, 20.0, 20.0, 10.0, 10.0, 19.0, 19.0, 19.0, 14.0)",13064.106,11
"(61.0, 0.0, 55.0, 37.0, 37.0, 4.0, 0.0, 4.0, 39.0, 0.0, 37.0)",16378.428,11
"(10.0, 8.0, 26.0, 0.0, 0.0, 6.0, 8.0, 6.0, 57.0, 0.0, 57.0)",16378.506,11
