Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(55.0, 25.0)",0.092,2,3,Y
"(57.0, 58.0, 58.0)",0.176,8,9,Y
"(47.0, 47.0, 55.0)",45.774,22,23,Y
"(5.0, 9.0, 5.0, 5.0)",45.807,25,26,Y
"(60.0, 44.0, 60.0, 44.0)",45.809,26,27,Y
"(40.0, 14.0, 14.0, 40.0)",45.819,27,28,Y
"(14.0, 22.0, 22.0, 14.0)",45.82,28,29,Y
"(56.0, 5.0, 5.0, 5.0)",45.821,29,30,Y
"(46.0, 36.0, 46.0, 46.0, 46.0)",55.848,104,105,Y
"(10.0, 15.0, 10.0, 10.0, 15.0)",55.849,105,106,Y
"(40.0, 53.0, 40.0, 53.0, 40.0)",55.868,107,108,Y
"(30.0, 27.0, 30.0, 27.0, 27.0)",55.87,108,109,Y
"(22.0, 27.0)",120.167,108,110,N
"(52.0, 27.0)",120.181,108,117,N
"(34.0, 42.0)",120.183,108,118,N
"(5.0, 3.0)",120.2,108,123,N
"(4.0, 37.0, 37.0)",120.202,108,124,N
"(60.0, 43.0)",120.206,108,125,N
"(42.0, 20.0)",120.223,108,130,N
"(59.0, 27.0)",120.229,108,132,N
"(14.0, 55.0)",120.233,108,134,N
"(26.0, 14.0)",120.256,108,139,N
"(59.0, 20.0)",120.273,108,147,N
"(4.0, 23.0)",120.286,108,150,N
"(1.0, 56.0)",120.294,108,152,N
"(21.0, 2.0)",120.298,108,154,N
"(14.0, 56.0)",120.332,108,164,N
"(12.0, 12.0, 45.0)",120.398,108,182,N
"(8.0, 41.0)",120.43,108,194,N
"(25.0, 36.0, 25.0)",120.491,108,208,N
"(21.0, 16.0)",137.827,108,212,N
"(22.0, 2.0)",137.85,108,220,N
"(9.0, 30.0)",137.852,108,221,N
"(56.0, 60.0)",137.864,108,224,N
"(33.0, 25.0)",137.866,108,225,N
"(20.0, 44.0)",137.871,108,227,N
"(59.0, 6.0)",137.916,108,244,N
"(9.0, 46.0)",137.949,108,253,N
"(14.0, 23.0)",137.998,108,264,N
"(59.0, 53.0)",138.0,108,265,N
"(51.0, 30.0)",138.004,108,267,N
"(60.0, 10.0)",138.047,108,282,N
"(44.0, 47.0)",138.073,108,292,N
"(41.0, 34.0)",138.09,108,297,N
"(41.0, 22.0)",138.104,108,302,N
"(37.0, 32.0)",138.127,108,309,N
"(24.0, 14.0)",138.138,108,313,N
"(3.0, 33.0)",138.14,108,314,N
"(50.0, 30.0)",138.194,108,327,N
"(42.0, 14.0)",138.2,108,329,N
"(7.0, 13.0)",138.249,108,340,N
"(9.0, 52.0)",138.253,108,342,N
"(60.0, 47.0)",138.256,108,344,N
"(50.0, 39.0)",138.268,108,349,N
"(20.0, 32.0)",138.345,108,372,N
"(9.0, 32.0)",138.347,108,373,N
"(13.0, 55.0)",138.35,108,375,N
"(14.0, 53.0)",138.379,108,384,N
"(18.0, 28.0)",138.391,108,388,N
"(8.0, 32.0)",138.409,108,392,N
"(8.0, 38.0)",138.412,108,394,N
"(31.0, 6.0)",138.459,108,409,N
"(1.0, 20.0)",138.482,108,414,N
"(41.0, 12.0)",138.512,108,421,N
"(16.0, 17.0)",138.532,108,426,N
"(51.0, 4.0)",138.534,108,427,N
"(2.0, 56.0)",138.561,108,432,N
"(48.0, 35.0)",138.592,108,445,N
"(43.0, 37.0)",138.623,108,450,N
"(34.0, 41.0)",138.641,108,458,N
"(39.0, 56.0)",138.643,108,459,N
"(34.0, 48.0)",138.65,108,461,N
"(16.0, 9.0)",138.657,108,463,N
"(56.0, 3.0)",138.66,108,464,N
"(38.0, 47.0)",138.696,108,472,N
"(10.0, 33.0)",138.703,108,475,N
"(49.0, 55.0)",138.706,108,477,N
"(55.0, 26.0)",138.726,108,482,N
"(39.0, 44.0)",138.754,108,489,N
"(36.0, 33.0)",138.792,108,496,N
"(3.0, 46.0)",138.809,108,501,N
"(18.0, 7.0)",138.82,108,504,N
"(36.0, 16.0)",138.829,108,508,N
"(39.0, 25.0)",138.864,108,520,N
"(26.0, 11.0)",138.896,108,529,N
"(6.0, 11.0)",138.936,108,541,N
"(43.0, 5.0)",138.96,108,548,N
"(30.0, 54.0)",139.026,108,563,N
"(33.0, 12.0)",139.078,108,579,N
"(3.0, 7.0)",139.125,108,590,N
"(23.0, 39.0)",139.169,108,600,N
"(46.0, 52.0)",139.238,108,621,N
"(29.0, 41.0)",139.24,108,622,N
"(42.0, 16.0)",139.25,108,624,N
"(23.0, 25.0)",139.269,108,629,N
"(33.0, 52.0)",139.328,108,647,N
"(15.0, 38.0)",139.348,108,652,N
"(17.0, 6.0)",139.379,108,661,N
"(36.0, 59.0)",139.411,108,670,N
"(9.0, 17.0)",139.413,108,671,N
"(16.0, 32.0)",139.424,108,675,N
"(12.0, 10.0)",139.443,108,681,N
"(16.0, 19.0)",139.461,108,688,N
"(3.0, 36.0)",139.464,108,690,N
"(11.0, 11.0, 48.0)",139.488,108,697,N
"(32.0, 60.0)",139.575,108,722,N
"(54.0, 60.0)",139.607,108,731,N
"(20.0, 37.0)",139.624,108,735,N
"(35.0, 46.0)",139.666,108,746,N
"(54.0, 38.0)",171.213,108,767,N
"(57.0, 22.0)",171.219,108,769,N
"(51.0, 31.0)",171.235,108,774,N
"(29.0, 8.0)",171.279,108,789,N
"(60.0, 23.0)",171.317,108,800,N
"(45.0, 3.0)",171.379,108,818,N
"(21.0, 26.0)",171.39,108,821,N
"(56.0, 46.0)",171.394,108,823,N
"(5.0, 11.0)",171.429,108,835,N
"(12.0, 58.0)",171.441,108,840,N
"(32.0, 8.0)",171.452,108,843,N
"(9.0, 50.0)",171.468,108,847,N
"(31.0, 15.0)",187.696,108,858,N
"(11.0, 46.0)",187.719,108,864,N
"(29.0, 33.0)",187.731,108,868,N
"(41.0, 20.0)",187.746,108,873,N
"(39.0, 47.0)",187.748,108,874,N
"(36.0, 50.0)",187.799,108,886,N
"(12.0, 28.0)",187.819,108,893,N
"(21.0, 23.0)",187.849,108,902,N
"(56.0, 43.0)",187.852,108,904,N
"(47.0, 23.0)",187.872,108,912,N
"(24.0, 59.0)",187.88,108,915,N
"(33.0, 14.0)",187.882,108,916,N
"(41.0, 58.0)",187.892,108,918,N
"(58.0, 15.0)",187.915,108,925,N
"(3.0, 13.0)",187.926,108,928,N
"(50.0, 58.0)",187.954,108,934,N
"(40.0, 17.0)",187.957,108,935,N
"(51.0, 27.0)",187.977,108,940,N
