Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"('(', '(', '(', ')')",0.93,33,48,Y
"('(', '(', ')', '(', '(', ')')",1.061,82,97,Y
"(')', '(', ')', ')')",2.694,125,140,Y
"('(', ')', ')', ')')",2.709,130,145,Y
"('(', '(', ')', ')', ')', ')')",2.825,164,179,Y
"('(', '(', ')', '(', ')', ')', ')', ')')",2.936,202,217,Y
"('(', ')', ')', '(')",4.002,253,268,Y
"(')', ')', '(', '(', ')', ')')",5.106,296,311,Y
"('(', ')', ')', ')', ')', ')')",11.005,357,372,Y
"('(', ')', ')', '(', ')', ')')",11.074,379,394,Y
"('(', '(', ')', ')', '(', '(', ')', '(', '(', ')')",33.504,395,1398,N
"(')', ')', '(', '(', ')', '(', '(', ')', ')', ')')",33.524,395,1400,N
"('(', ')', ')', ')', ')', '(', ')', ')', ')', ')')",33.542,395,1402,N
"('(', ')', ')', ')', ')', ')', ')', ')')",33.64,410,1418,Y
"('(', ')', ')', ')', ')', ')', ')', '(', ')', ')')",33.708,428,1436,Y
"('(', ')', ')', ')', ')', ')', ')', '(', ')', '(', ')', ')')",33.781,446,1454,Y
"('(', ')', ')', ')', '(', ')')",33.992,464,1472,Y
"('(', ')', ')', ')', ')', '(', ')', ')')",34.257,542,1550,Y
"('(', ')', ')', ')', ')', ')', '(', ')')",34.317,560,1568,Y
"('(', ')', ')', ')', ')', ')', ')', ')', ')', ')')",34.468,599,1607,Y
"('(', ')', ')', ')', ')', ')', ')', '(', '(', ')')",34.698,656,1664,Y
"('(', ')', ')', ')', ')', ')', ')', '(', ')', ')', ')', ')')",34.919,721,1729,Y
"('(', ')', ')', ')', ')', ')', ')', '(', ')', '(', '(', ')')",35.15,774,1782,Y
"('(', '(', ')', '(', '(', ')', ')', '(', '(', ')')",88.217,794,1805,N
"(')', '(', ')', '(', ')', ')')",88.308,809,1821,Y
"(')', '(', ')', '(', '(', ')')",88.329,814,1826,Y
"(')', '(', ')', '(', '(', '(', ')', ')')",88.375,827,1839,Y
"(')', '(', ')', '(', '(', '(', '(', ')', ')', ')')",88.444,845,1857,Y
"(')', '(', ')', '(', '(', '(', '(', ')', ')', '(', ')', ')')",88.521,863,1875,Y
