Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(49.0, 49.0)",0.095,3,3,Y
"(10.0, 10.0, 12.0, 10.0)",0.404,7,11,Y
"(6.0, 18.0, 0.0)",2.203,13,17,Y
"(17.0, 17.0, 17.0, 15.0)",2.294,16,20,Y
"(10.0, 10.0, 10.0, 10.0)",2.295,17,21,Y
"(47.0, 47.0, 47.0, 47.0, 44.0, 53.0)",13.135,164,168,Y
"(46.0, 46.0, 46.0, 46.0, 46.0, 46.0)",22.945,205,209,Y
"(61.0, 61.0, 61.0, 61.0, 52.0, 61.0, 52.0, 61.0)",29.627,230,234,Y
"(54.0, 54.0, 54.0, 54.0, 51.0, 51.0, 51.0, 54.0)",29.71,238,242,Y
"(49.0, 49.0, 49.0, 53.0, 56.0, 56.0, 49.0, 56.0)",67.847,350,358,Y
"(11.0, 11.0, 10.0, 11.0, 10.0, 6.0, 10.0, 6.0)",67.985,376,384,Y
"(28.0, 61.0, 28.0, 61.0, 27.0, 61.0)",68.167,405,413,Y
"(50.0, 48.0, 48.0, 50.0, 43.0, 50.0)",68.204,410,418,Y
"(61.0, 61.0, 57.0, 61.0, 46.0, 57.0, 46.0, 57.0)",68.368,430,438,Y
"(30.0, 30.0, 30.0, 30.0, 31.0, 30.0, 30.0, 30.0, 31.0, 30.0)",68.813,488,496,Y
"(27.0, 27.0, 27.0, 27.0, 46.0, 27.0, 46.0, 21.0, 46.0, 21.0)",68.863,493,501,Y
"(8.0, 15.0, 8.0, 21.0, 8.0, 27.0)",128.503,887,895,Y
"(22.0, 13.0, 22.0, 13.0, 22.0, 9.0)",128.757,923,931,Y
"(10.0, 5.0, 5.0, 5.0, 5.0, 10.0)",158.294,975,983,Y
"(3.0, 3.0, 3.0, 3.0, 2.0, 3.0, 2.0, 8.0, 2.0, 3.0)",200.275,990,998,Y
"(58.0, 45.0, 58.0, 56.0, 61.0, 58.0, 56.0, 58.0)",290.736,1059,1067,Y
"(48.0, 19.0, 48.0, 15.0, 48.0, 19.0, 48.0, 19.0)",290.913,1084,1092,Y
"(36.0, 60.0, 36.0, 60.0, 36.0, 60.0, 45.0, 60.0)",290.923,1090,1098,Y
"(27.0, 27.0, 27.0, 30.0, 27.0, 30.0, 27.0, 30.0)",290.933,1095,1103,Y
"(9.0, 11.0, 9.0, 34.0, 11.0, 34.0, 11.0, 34.0)",291.108,1119,1127,Y
"(36.0, 14.0, 36.0, 14.0, 33.0, 14.0, 33.0, 14.0)",340.212,1164,1172,Y
"(55.0, 59.0, 55.0, 59.0, 55.0, 55.0)",340.255,1168,1176,Y
"(36.0, 54.0, 36.0, 54.0, 36.0, 48.0, 32.0, 48.0)",340.331,1174,1182,Y
"(1.0, 13.0, 1.0, 13.0, 1.0, 1.0, 3.0, 1.0)",340.338,1177,1185,Y
"(46.0, 10.0, 46.0, 10.0, 46.0, 10.0, 39.0, 10.0)",340.341,1179,1187,Y
"(3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0)",340.343,1180,1188,Y
"(55.0, 52.0, 55.0, 52.0, 52.0, 52.0)",340.384,1181,1189,Y
"(9.0, 11.0, 11.0, 9.0, 11.0, 9.0, 0.0)",394.824,1234,1242,Y
"(13.0, 13.0, 13.0, 13.0, 9.0, 13.0, 9.0, 11.0, 28.0, 13.0, 28.0, 13.0)",454.746,1268,1276,Y
"(2.0, 2.0, 2.0, 2.0, 5.0, 2.0, 5.0, 5.0, 2.0, 5.0, 2.0, 5.0)",454.986,1302,1310,Y
"(57.0, 53.0, 57.0, 53.0, 57.0, 57.0, 57.0, 53.0)",695.897,1605,1613,Y
"(42.0, 45.0, 42.0, 45.0, 42.0, 45.0, 42.0, 58.0)",696.036,1617,1625,Y
"(8.0, 12.0, 8.0, 7.0, 8.0, 4.0, 8.0, 12.0, 8.0, 12.0)",1022.742,1878,1886,Y
