Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(46/1, 4/1, 54/1, 55/1, 56/1, 47/1, 36/1, 41/1, 15/1)",5.186,4157,4157,Y
"(5/1, 49/1, 34/1, 9/1, 18/1, 13/1, 26/1, 49/1, 50/1, 51/1, 1/1, 26/1, 25/1, 58/1, 42/1)",7.264,5830,5830,Y
"(45/1, 46/1, 7/1, 18/1, 46/1, 18/1, 41/1, 11/1, 39/1, 4/1, 9/1, 37/1, 42/1, 15/1, 16/1, 12/1, 42/1, 15/1, 15/1, 15/1)",7.492,6014,6014,Y
"(46/1, 48/1, 49/1, 14/1, 33/1, 23/1, 8/1, 10/1)",7.9,6341,6341,Y
"(13/1, 34/1, 54/1, 42/1, 45/1, 44/1, 43/1, 43/1, 59/1, 18/1, 51/1, 7/1, 7/1, 59/1, 44/1, 43/1, 41/1, 56/1, 58/1, 42/1)",8.184,6567,6567,Y
"(51/1, 53/1, 54/1, 23/1, 57/1, 15/1, 49/1, 16/1)",8.395,6739,6739,Y
"(60/1, 59/1, 59/1, 10/1, 6/1, 1/1, 31/1, 37/1, 60/1, 38/1)",8.528,6847,6847,Y
"(19/1, 11/1, 10/1, 26/1, 14/1, 7/1, 56/1, 21/1, 60/1, 9/1, 44/1, 45/1, 46/1, 10/1, 52/1, 59/1, 52/1, 5/1, 46/1)",8.654,6949,6949,Y
"(5/1, 52/1, 54/1, 55/1, 4/1, 2/1, 6/1, 12/1, 3/1, 17/1, 36/1, 6/1)",9.276,7460,7460,Y
"(20/1, 18/1, 43/1, 49/1, 51/1, 52/1, 47/1, 34/1, 51/1, 33/1, 38/1, 51/1, 52/1, 28/1, 40/1, 35/1)",10.382,8342,8342,Y
"(7/1, 43/1, 45/1, 46/1, 13/1)",13.101,10459,10459,Y
"(24/1, 55/1, 55/1, 56/1, 57/1, 11/1)",13.897,11086,11086,Y
"(34/1, 57/1, 13/1, 17/1, 47/1, 11/1, 31/1, 30/1, 53/1, 49/1, 43/1, 44/1, 45/1, 17/1, 53/1, 53/1)",14.261,11355,11355,Y
"(51/1, 53/1, 54/1, 11/1, 16/1, 11/1, 22/1, 55/1, 38/1, 13/1, 44/1, 2/1, 58/1)",14.602,11620,11620,Y
