Adversarial Examples,Time(s),Length of Adversarial Examples
"(15.0, 15.0)",0.142,2
"(24.0, 24.0, 24.0)",2.38,3
"(4.0,)",4.36,1
"(57.0,)",6.644,1
"(1.0,)",8.712,1
"(3.0,)",12.575,1
"(2.0,)",19.44,1
"(59.0, 59.0)",21.514,2
"(9.0,)",25.884,1
"(10.0,)",31.582,1
"(32.0, 32.0, 31.0)",37.688,3
"(27.0, 27.0, 28.0, 27.0, 28.0)",37.9,5
"(43.0, 43.0, 43.0, 43.0, 43.0, 47.0)",43.482,6
"(15.0, 14.0, 14.0, 15.0, 15.0)",46.41,5
"(41.0, 41.0, 49.0, 49.0, 49.0, 49.0)",46.631,6
"(54.0, 54.0, 54.0, 50.0, 54.0, 54.0)",46.655,6
"(11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.0)",55.625,7
"(23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 19.0, 19.0)",55.645,8
"(54.0, 54.0, 54.0, 54.0, 54.0, 13.0, 18.0, 18.0, 18.0)",61.34,9
"(54.0, 54.0, 54.0, 54.0, 54.0, 55.0, 32.0, 55.0, 55.0)",61.342,9
"(8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 46.0)",61.38,8
"(40.0, 40.0, 40.0, 40.0, 40.0, 37.0, 40.0, 40.0, 40.0)",61.415,9
"(51.0, 51.0, 51.0, 51.0, 51.0, 43.0, 43.0, 43.0, 43.0)",61.496,9
"(50.0, 50.0, 50.0, 50.0, 50.0, 57.0, 57.0, 27.0, 50.0, 50.0)",69.891,10
"(61.0, 61.0, 61.0, 61.0, 61.0, 49.0, 37.0, 49.0, 49.0, 49.0)",70.043,10
"(9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 7.0, 7.0, 7.0)",89.209,10
"(28.0, 28.0, 28.0, 28.0, 28.0, 24.0, 24.0, 24.0, 28.0)",89.319,9
"(5.0, 5.0, 5.0, 5.0, 5.0, 2.0, 2.0, 2.0, 51.0, 51.0)",89.348,10
"(9.0, 9.0, 9.0, 9.0, 9.0, 12.0, 12.0, 12.0, 9.0, 9.0)",89.349,10
"(43.0, 43.0, 43.0, 43.0, 43.0, 59.0, 59.0, 59.0, 59.0, 59.0)",89.351,10
"(31.0, 31.0, 31.0, 31.0, 31.0, 35.0, 39.0, 46.0, 42.0, 30.0, 30.0)",110.025,11
"(54.0, 54.0, 54.0, 54.0, 54.0, 56.0, 28.0, 0.0, 61.0, 56.0, 56.0)",110.03,11
"(29.0, 29.0, 29.0, 29.0, 29.0, 17.0, 25.0, 23.0, 23.0, 25.0)",110.193,10
"(1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 5.0, 26.0, 1.0)",138.626,10
"(31.0, 31.0, 31.0, 31.0, 31.0, 30.0, 30.0, 30.0, 41.0, 23.0, 23.0)",138.666,11
"(43.0, 43.0, 43.0, 43.0, 43.0, 38.0, 38.0, 38.0, 38.0, 44.0)",138.791,10
"(15.0, 15.0, 15.0, 15.0, 15.0, 13.0, 13.0, 13.0, 13.0, 15.0)",138.792,10
"(48.0, 48.0, 48.0, 48.0, 48.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0)",138.825,11
"(45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 17.0, 52.0, 55.0, 55.0, 55.0, 55.0)",241.294,12
"(46.0, 46.0, 46.0, 46.0, 46.0, 39.0, 39.0, 39.0, 31.0, 46.0, 39.0, 39.0)",367.305,12
"(37.0, 37.0, 37.0, 37.0, 37.0, 38.0, 38.0, 38.0, 45.0, 37.0, 45.0, 45.0)",367.307,12
"(39.0, 39.0, 39.0, 39.0, 39.0, 36.0, 36.0, 36.0, 52.0, 36.0, 36.0, 36.0)",367.383,12
"(9.0, 9.0, 9.0, 9.0, 9.0, 45.0, 45.0, 45.0, 46.0, 46.0, 39.0, 39.0)",367.463,12
"(51.0, 51.0, 51.0, 51.0, 51.0, 54.0, 54.0, 54.0, 54.0, 18.0, 54.0)",467.218,11
"(13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 7.0, 13.0, 13.0)",467.258,12
"(56.0, 56.0, 56.0, 56.0, 56.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",467.373,12
"(53.0, 53.0, 53.0, 53.0, 53.0, 49.0, 49.0, 49.0, 60.0, 53.0, 53.0, 60.0)",795.088,12
"(30.0, 30.0, 30.0, 30.0, 30.0, 0.0, 0.0, 0.0, 20.0, 30.0, 30.0, 0.0, 0.0)",795.117,13
"(22.0, 22.0, 22.0, 22.0, 22.0, 20.0, 20.0, 20.0, 11.0, 22.0, 20.0, 11.0)",795.165,12
"(30.0, 30.0, 30.0, 30.0, 30.0, 27.0, 27.0, 27.0, 45.0, 30.0, 27.0, 30.0, 30.0)",795.196,13
"(2.0, 2.0, 2.0, 2.0, 2.0, 9.0, 9.0, 9.0, 29.0, 2.0, 9.0, 9.0, 9.0)",795.198,13
"(33.0, 33.0, 33.0, 33.0, 33.0, 37.0, 37.0, 37.0, 34.0, 34.0, 38.0, 26.0)",911.287,12
"(40.0, 40.0, 40.0, 40.0, 40.0, 53.0, 53.0, 53.0, 46.0, 46.0, 40.0, 40.0, 40.0)",911.401,13
"(50.0, 50.0, 50.0, 50.0, 50.0, 44.0, 44.0, 44.0, 53.0, 53.0, 50.0, 44.0, 44.0)",911.403,13
"(53.0, 53.0, 53.0, 53.0, 53.0, 44.0, 44.0, 44.0, 55.0, 55.0, 44.0, 60.0, 60.0)",911.473,13
