Adversarial Examples,Time(s),Length of Adversarial Examples
"(52/1, 48/1)",0.002,2
"(8/1, 39/1)",0.009,2
"(58/1, 29/1)",0.013,2
"(9/1, 1/1)",0.029,2
"(2/1, 25/1)",0.031,2
"(3/1, 19/1)",0.032,2
"(30/1, 7/1)",0.035,2
"(6/1, 12/1)",0.041,2
"(41/1, 16/1)",0.044,2
"(22/1, 45/1)",0.053,2
"(31/1, 39/1)",0.066,2
"(44/1, 53/1)",0.071,2
"(14/1, 29/1)",0.08,2
"(30/1, 30/1, 56/1)",0.094,3
"(33/1, 53/1)",0.095,2
"(9/1, 36/1)",0.098,2
"(13/1, 13/1, 52/1)",0.101,3
"(55/1, 59/1)",0.104,2
"(38/1, 34/1)",0.109,2
"(17/1, 36/1)",0.116,2
"(26/1, 17/1)",0.123,2
"(33/1, 6/1)",0.128,2
"(31/1, 48/1)",0.132,2
"(4/1, 60/1)",0.136,2
"(33/1, 19/1)",0.151,2
"(55/1, 40/1)",0.153,2
"(54/1, 24/1)",0.155,2
"(2/1, 52/1)",0.156,2
"(33/1, 30/1)",0.167,2
"(51/1, 16/1)",0.17,2
"(46/1, 39/1)",0.177,2
"(59/1, 31/1)",0.181,2
"(58/1, 9/1)",0.185,2
"(39/1, 15/1)",0.186,2
"(52/1, 42/1)",0.19,2
"(10/1, 49/1)",0.193,2
"(47/1, 26/1)",0.198,2
"(36/1, 24/1)",0.198,2
"(24/1, 55/1)",0.208,2
"(39/1, 24/1)",0.212,2
"(13/1, 58/1)",0.218,2
"(34/1, 43/1)",0.219,2
"(47/1, 24/1)",0.243,2
"(42/1, 50/1)",0.246,2
"(42/1, 49/1)",0.256,2
"(20/1, 60/1)",0.261,2
"(52/1, 22/1)",0.265,2
"(5/1, 5/1, 60/1)",0.276,3
"(28/1, 54/1)",0.286,2
"(5/1, 6/1)",0.288,2
"(7/1, 19/1)",0.293,2
"(1/1, 32/1)",0.302,2
"(27/1, 5/1)",0.303,2
"(26/1, 52/1)",0.31,2
"(21/1, 33/1)",0.317,2
"(15/1, 12/1, 15/1)",0.333,3
"(50/1, 6/1)",0.336,2
"(19/1, 8/1)",0.348,2
"(26/1, 10/1)",0.35,2
"(59/1, 38/1)",0.353,2
"(30/1, 41/1)",0.365,2
"(18/1, 9/1)",0.378,2
"(9/1, 12/1)",0.379,2
"(46/1, 48/1)",0.384,2
"(23/1, 54/1)",0.403,2
"(47/1, 1/1)",0.412,2
"(18/1, 1/1)",0.421,2
"(59/1, 24/1)",0.426,2
"(15/1, 15/1, 21/1, 21/1)",0.431,4
"(1/1, 23/1)",0.443,2
"(32/1, 20/1)",0.445,2
"(11/1, 18/1)",0.448,2
"(45/1, 19/1)",0.453,2
"(27/1, 35/1)",0.488,2
"(12/1, 21/1)",0.49,2
"(48/1, 9/1)",0.491,2
"(1/1, 39/1)",0.493,2
"(2/1, 57/1)",0.495,2
"(42/1, 39/1)",0.514,2
"(49/1, 7/1)",0.517,2
"(34/1, 55/1)",0.519,2
"(58/1, 42/1)",0.541,2
"(1/1, 34/1)",0.542,2
"(54/1, 17/1)",0.543,2
"(22/1, 49/1)",0.551,2
"(3/1, 15/1)",0.553,2
"(51/1, 28/1)",0.558,2
"(10/1, 38/1)",0.573,2
"(6/1, 50/1)",0.577,2
"(50/1, 45/1)",0.578,2
"(20/1, 16/1)",0.583,2
"(8/1, 37/1)",0.597,2
"(10/1, 6/1)",0.602,2
"(8/1, 43/1)",0.603,2
"(14/1, 16/1)",0.604,2
"(28/1, 11/1)",0.608,2
"(49/1, 55/1)",0.61,2
"(37/1, 10/1)",0.612,2
"(18/1, 51/1)",0.618,2
"(31/1, 37/1)",0.634,2
"(6/1, 7/1)",0.636,2
"(32/1, 44/1)",0.643,2
"(17/1, 59/1)",0.653,2
"(47/1, 27/1)",0.658,2
"(44/1, 42/1)",0.665,2
"(5/1, 58/1)",0.681,2
"(43/1, 30/1)",0.684,2
"(26/1, 59/1)",0.684,2
"(14/1, 6/1)",0.699,2
"(19/1, 27/1)",0.718,2
"(22/1, 7/1)",0.738,2
"(10/1, 3/1, 10/1, 10/1)",0.74,4
"(58/1, 54/1, 58/1, 54/1)",0.743,4
"(44/1, 16/1)",0.746,2
"(38/1, 54/1)",0.752,2
"(32/1, 50/1)",0.762,2
"(25/1, 39/1)",0.765,2
"(8/1, 34/1)",0.797,2
"(48/1, 41/1)",0.801,2
"(46/1, 43/1)",0.802,2
"(22/1, 48/1)",0.805,2
"(32/1, 53/1)",0.807,2
"(14/1, 11/1)",0.809,2
"(25/1, 41/1)",0.832,2
"(16/1, 50/1)",0.837,2
"(57/1, 19/1)",0.845,2
"(31/1, 38/1)",0.859,2
"(52/1, 58/1)",0.861,2
"(58/1, 22/1)",0.872,2
"(4/1, 45/1)",0.875,2
"(26/1, 46/1)",0.876,2
"(25/1, 45/1)",0.891,2
"(30/1, 23/1)",0.894,2
"(33/1, 2/1)",0.899,2
"(24/1, 46/1)",0.905,2
"(4/1, 2/1)",0.925,2
"(27/1, 39/1)",0.929,2
"(17/1, 23/1)",0.933,2
"(50/1, 31/1)",0.94,2
"(51/1, 3/1)",0.943,2
"(51/1, 42/1)",0.956,2
"(42/1, 4/1)",0.962,2
"(24/1, 34/1)",0.968,2
"(16/1, 13/1)",0.978,2
"(46/1, 16/1)",0.987,2
"(41/1, 45/1)",0.992,2
"(2/1, 12/1)",0.993,2
"(38/1, 22/1)",0.997,2
"(51/1, 9/1)",1.0,2
"(1/1, 15/1)",1.004,2
"(30/1, 42/1)",1.012,2
"(52/1, 17/1)",1.026,2
"(5/1, 33/1)",1.027,2
"(51/1, 22/1)",1.028,2
"(30/1, 33/1)",1.032,2
"(34/1, 29/1)",1.054,2
"(45/1, 47/1)",1.075,2
"(59/1, 6/1)",1.076,2
"(11/1, 2/1)",1.078,2
"(13/1, 47/1)",1.079,2
"(14/1, 14/1, 9/1)",1.088,3
"(26/1, 43/1, 26/1)",1.103,3
"(39/1, 42/1)",1.138,2
"(21/1, 34/1)",1.196,2
"(59/1, 20/1)",1.198,2
"(44/1, 11/1)",1.205,2
"(53/1, 28/1)",1.215,2
"(10/1, 53/1)",1.261,2
"(7/1, 57/1)",1.281,2
"(1/1, 19/1)",1.284,2
"(31/1, 9/1)",1.325,2
"(15/1, 51/1)",1.35,2
"(35/1, 31/1)",1.352,2
"(21/1, 59/1)",1.379,2
"(6/1, 35/1)",1.403,2
"(42/1, 59/1)",1.404,2
"(18/1, 39/1)",1.426,2
"(51/1, 12/1)",1.465,2
"(2/1, 58/1)",1.502,2
"(16/1, 7/1)",1.523,2
"(58/1, 51/1)",1.564,2
"(38/1, 32/1)",1.574,2
"(23/1, 57/1)",1.582,2
"(16/1, 18/1)",1.592,2
"(16/1, 21/1)",1.6,2
"(49/1, 51/1)",1.611,2
"(36/1, 12/1)",1.619,2
"(33/1, 56/1)",1.639,2
"(21/1, 39/1)",1.65,2
"(44/1, 5/1)",1.666,2
"(55/1, 45/1, 55/1)",1.67,3
"(21/1, 37/1)",1.673,2
"(54/1, 4/1)",1.688,2
"(8/1, 1/1)",1.7,2
"(4/1, 4/1, 10/1)",1.7,3
"(29/1, 53/1)",1.701,2
"(42/1, 6/1)",1.71,2
"(57/1, 41/1)",1.713,2
"(7/1, 14/1)",1.734,2
"(52/1, 56/1)",1.747,2
"(57/1, 54/1)",1.768,2
"(17/1, 38/1)",1.78,2
"(25/1, 3/1)",1.787,2
"(26/1, 44/1)",1.808,2
"(44/1, 37/1)",1.809,2
"(25/1, 48/1)",1.814,2
"(16/1, 51/1)",1.815,2
"(44/1, 14/1)",1.821,2
"(5/1, 45/1)",1.829,2
"(6/1, 40/1)",1.838,2
"(56/1, 30/1)",1.877,2
"(46/1, 27/1)",1.887,2
"(57/1, 33/1)",1.9,2
"(27/1, 58/1)",1.907,2
"(31/1, 53/1)",1.917,2
"(37/1, 30/1)",1.92,2
"(25/1, 44/1)",1.923,2
"(14/1, 58/1)",1.924,2
"(11/1, 55/1)",1.936,2
"(55/1, 22/1)",1.962,2
"(46/1, 46/1, 2/1)",1.967,3
"(54/1, 19/1)",1.969,2
"(30/1, 56/1)",1.983,2
"(49/1, 50/1)",1.984,2
"(29/1, 11/1)",1.998,2
"(41/1, 52/1, 52/1)",2.004,3
"(47/1, 17/1)",2.006,2
"(20/1, 41/1)",2.024,2
"(20/1, 28/1)",2.028,2
"(1/1, 60/1)",2.031,2
"(37/1, 55/1)",2.098,2
"(53/1, 6/1)",2.116,2
"(35/1, 25/1)",2.121,2
"(47/1, 48/1)",2.128,2
"(28/1, 38/1)",2.133,2
"(33/1, 31/1)",2.136,2
"(32/1, 41/1)",2.142,2
"(27/1, 18/1)",2.147,2
"(5/1, 14/1)",2.163,2
"(37/1, 35/1)",2.172,2
"(23/1, 9/1)",2.191,2
"(26/1, 43/1)",2.197,2
"(18/1, 3/1)",2.198,2
"(42/1, 52/1)",2.213,2
"(9/1, 20/1)",2.215,2
"(29/1, 10/1)",2.216,2
"(28/1, 39/1)",2.223,2
"(49/1, 39/1)",2.225,2
"(24/1, 13/1)",2.23,2
"(47/1, 36/1)",2.257,2
"(10/1, 50/1)",2.29,2
"(30/1, 15/1)",2.293,2
"(17/1, 33/1)",2.305,2
"(12/1, 46/1)",2.31,2
"(1/1, 12/1)",2.318,2
"(54/1, 45/1)",2.342,2
"(4/1, 31/1)",2.343,2
"(12/1, 35/1)",2.345,2
"(17/1, 31/1)",2.347,2
"(41/1, 36/1)",2.351,2
"(35/1, 27/1)",2.352,2
"(26/1, 60/1)",2.358,2
"(48/1, 35/1)",2.374,2
"(11/1, 23/1)",2.404,2
"(10/1, 1/1)",2.412,2
"(25/1, 54/1)",2.415,2
"(48/1, 3/1)",2.418,2
"(8/1, 36/1)",2.419,2
"(31/1, 55/1)",2.434,2
"(37/1, 24/1, 37/1)",2.437,3
"(22/1, 46/1)",2.446,2
"(3/1, 8/1)",2.451,2
"(10/1, 45/1)",2.475,2
"(14/1, 45/1, 45/1)",2.498,3
"(60/1, 47/1)",2.501,2
"(34/1, 3/1)",2.504,2
"(57/1, 18/1)",2.52,2
"(59/1, 39/1)",2.531,2
"(6/1, 54/1)",2.535,2
"(14/1, 30/1)",2.54,2
"(60/1, 26/1)",2.541,2
"(39/1, 51/1)",2.542,2
"(59/1, 28/1)",2.557,2
"(12/1, 9/1)",2.56,2
"(44/1, 60/1)",2.583,2
"(1/1, 37/1)",2.59,2
"(6/1, 28/1)",2.597,2
"(60/1, 37/1)",2.629,2
"(12/1, 29/1)",2.63,2
