Adversarial Examples,Time(s),Length of Adversarial Examples
(),0.006,0
"(22.0, 6.0, 22.0)",0.094,3
"(40.0, 20.0, 40.0, 40.0)",0.333,4
"(37.0, 28.0, 48.0, 48.0)",0.334,4
"(22.0, 1.0, 22.0, 20.0)",0.345,4
"(19.0, 2.0, 19.0, 19.0)",0.346,4
"(58.0, 56.0, 56.0, 58.0)",0.357,4
"(9.0, 38.0, 12.0, 38.0, 9.0)",0.881,5
"(30.0, 3.0, 48.0, 58.0, 3.0)",0.883,5
"(59.0, 5.0, 20.0, 59.0, 7.0)",0.908,5
"(58.0, 46.0, 8.0, 58.0, 58.0)",0.909,5
"(51.0, 47.0, 0.0, 51.0, 0.0)",0.911,5
"(6.0, 61.0, 22.0, 61.0, 22.0)",0.936,5
"(17.0, 35.0, 29.0, 29.0, 17.0)",0.962,5
"(55.0, 1.0, 55.0, 43.0, 1.0)",1.523,5
"(29.0, 9.0, 29.0, 29.0, 52.0)",1.543,5
"(59.0, 43.0, 59.0, 59.0, 59.0)",1.544,5
"(39.0, 34.0, 39.0, 39.0, 34.0)",1.545,5
"(34.0, 46.0, 34.0, 46.0, 23.0)",1.569,5
"(2.0, 38.0, 2.0, 38.0, 2.0)",1.57,5
"(2.0, 40.0, 2.0, 2.0, 37.0, 2.0)",3.674,6
"(1.0, 46.0, 37.0, 1.0, 1.0, 37.0)",3.698,6
"(43.0, 7.0, 48.0, 43.0, 7.0, 36.0)",3.715,6
"(34.0, 15.0, 21.0, 34.0, 15.0, 34.0)",3.716,6
"(29.0, 59.0, 42.0, 29.0, 42.0, 29.0)",3.739,6
"(35.0, 15.0, 20.0, 15.0, 19.0, 35.0)",5.305,6
"(60.0, 29.0, 56.0, 29.0, 28.0, 56.0)",5.307,6
"(56.0, 38.0, 47.0, 38.0, 38.0, 56.0)",5.338,6
"(15.0, 44.0, 1.0, 44.0, 44.0, 1.0)",5.34,6
"(53.0, 52.0, 36.0, 53.0, 52.0, 3.0, 53.0)",9.421,7
"(23.0, 8.0, 4.0, 23.0, 8.0, 42.0, 42.0)",9.422,7
"(56.0, 19.0, 41.0, 56.0, 19.0, 20.0, 41.0)",9.424,7
"(25.0, 5.0, 29.0, 25.0, 5.0, 25.0, 5.0)",9.448,7
"(2.0, 19.0, 38.0, 2.0, 19.0, 19.0, 24.0)",9.466,7
"(61.0, 4.0, 0.0, 61.0, 4.0, 4.0, 61.0)",9.467,7
"(1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0)",9.469,7
"(59.0, 37.0, 32.0, 59.0, 37.0, 32.0, 59.0)",9.487,7
"(46.0, 40.0, 21.0, 46.0, 40.0, 21.0, 40.0)",9.488,7
"(44.0, 56.0, 10.0, 56.0, 10.0, 52.0, 44.0)",14.663,7
"(41.0, 51.0, 41.0, 51.0, 41.0, 41.0, 41.0)",14.718,7
"(17.0, 12.0, 27.0, 12.0, 27.0, 27.0, 27.0)",14.719,7
"(50.0, 4.0, 24.0, 50.0, 4.0, 16.0, 52.0, 0.0)",21.321,8
"(26.0, 56.0, 33.0, 26.0, 56.0, 47.0, 50.0, 26.0)",21.322,8
"(56.0, 16.0, 19.0, 56.0, 16.0, 29.0, 35.0, 29.0)",21.325,8
"(19.0, 39.0, 7.0, 19.0, 39.0, 0.0, 19.0, 2.0)",21.35,8
"(20.0, 2.0, 22.0, 20.0, 2.0, 3.0, 20.0, 3.0)",21.351,8
"(41.0, 30.0, 50.0, 41.0, 30.0, 35.0, 41.0, 30.0)",21.352,8
"(21.0, 7.0, 49.0, 21.0, 7.0, 59.0, 59.0, 13.0)",21.377,8
"(57.0, 53.0, 61.0, 57.0, 53.0, 20.0, 20.0, 57.0)",21.378,8
