Adversarial Examples,Time(s),Length of Adversarial Examples
"(46.0, 53.0, 1.0, 46.0, 53.0, 25.0, 53.0, 53.0)",21.403,8
"(41.0, 8.0, 45.0, 41.0, 8.0, 33.0, 45.0, 8.0)",21.431,8
"(56.0, 35.0, 9.0, 56.0, 35.0, 46.0, 61.0, 12.0, 56.0)",50.105,9
"(60.0, 5.0, 20.0, 60.0, 5.0, 55.0, 39.0, 60.0, 55.0)",50.14,9
"(31.0, 5.0, 48.0, 31.0, 5.0, 51.0, 9.0, 5.0, 48.0)",50.188,9
"(51.0, 17.0, 25.0, 51.0, 17.0, 25.0, 24.0, 25.0, 54.0)",50.212,9
"(53.0, 20.0, 34.0, 53.0, 20.0, 13.0, 22.0, 34.0, 53.0)",50.213,9
"(33.0, 25.0, 51.0, 33.0, 25.0, 11.0, 5.0, 11.0, 33.0)",50.244,9
"(57.0, 18.0, 48.0, 57.0, 18.0, 38.0, 57.0, 17.0, 57.0)",79.991,9
"(28.0, 37.0, 7.0, 28.0, 37.0, 43.0, 43.0, 33.0, 28.0)",115.462,9
"(16.0, 15.0, 2.0, 16.0, 15.0, 36.0, 36.0, 29.0, 15.0)",115.463,9
"(12.0, 58.0, 7.0, 12.0, 58.0, 5.0, 5.0, 23.0, 7.0)",115.464,9
"(13.0, 5.0, 55.0, 13.0, 5.0, 43.0, 43.0, 43.0, 13.0)",115.508,9
"(36.0, 23.0, 25.0, 36.0, 23.0, 12.0, 12.0, 23.0, 36.0)",115.531,9
"(7.0, 61.0, 58.0, 7.0, 61.0, 1.0, 1.0, 61.0, 58.0)",115.533,9
"(35.0, 30.0, 5.0, 35.0, 30.0, 10.0, 10.0, 5.0, 35.0)",115.554,9
"(54.0, 31.0, 6.0, 54.0, 31.0, 51.0, 51.0, 6.0, 51.0)",115.555,9
"(30.0, 1.0, 24.0, 30.0, 1.0, 6.0, 29.0, 24.0, 57.0, 19.0)",204.02,10
"(24.0, 32.0, 18.0, 24.0, 32.0, 7.0, 58.0, 18.0, 7.0, 24.0)",204.021,10
"(7.0, 10.0, 7.0, 7.0, 10.0, 2.0, 36.0, 7.0, 8.0, 10.0)",204.023,10
"(49.0, 0.0, 1.0, 49.0, 0.0, 59.0, 36.0, 1.0, 49.0, 41.0)",204.053,10
"(21.0, 47.0, 11.0, 21.0, 47.0, 5.0, 49.0, 11.0, 21.0, 21.0)",204.054,10
"(37.0, 1.0, 26.0, 37.0, 1.0, 38.0, 53.0, 26.0, 37.0, 53.0)",204.055,10
"(5.0, 50.0, 7.0, 5.0, 50.0, 47.0, 20.0, 7.0, 5.0, 7.0)",204.056,10
"(41.0, 7.0, 33.0, 41.0, 7.0, 47.0, 35.0, 33.0, 41.0, 47.0)",204.057,10
"(32.0, 11.0, 21.0, 32.0, 11.0, 57.0, 43.0, 21.0, 43.0, 55.0)",204.081,10
"(48.0, 0.0, 4.0, 48.0, 0.0, 34.0, 48.0, 4.0, 48.0, 48.0)",204.083,10
"(44.0, 12.0, 35.0, 44.0, 12.0, 36.0, 2.0, 35.0, 2.0, 36.0)",204.085,10
"(55.0, 12.0, 31.0, 55.0, 12.0, 13.0, 10.0, 31.0, 12.0, 45.0)",204.109,10
"(11.0, 52.0, 9.0, 11.0, 52.0, 3.0, 28.0, 9.0, 52.0, 11.0)",204.11,10
"(57.0, 21.0, 2.0, 57.0, 21.0, 12.0, 61.0, 2.0, 21.0, 61.0)",204.111,10
"(38.0, 18.0, 61.0, 38.0, 18.0, 61.0, 54.0, 61.0, 18.0, 18.0)",204.111,10
"(11.0, 51.0, 8.0, 11.0, 51.0, 34.0, 49.0, 8.0, 51.0, 8.0)",204.112,10
"(15.0, 42.0, 61.0, 15.0, 42.0, 26.0, 4.0, 61.0, 42.0, 26.0)",204.113,10
"(56.0, 25.0, 29.0, 56.0, 25.0, 4.0, 33.0, 29.0, 29.0, 56.0)",204.138,10
"(35.0, 31.0, 15.0, 35.0, 31.0, 21.0, 51.0, 15.0, 15.0, 31.0)",204.139,10
"(11.0, 57.0, 42.0, 11.0, 57.0, 50.0, 15.0, 42.0, 42.0, 50.0)",204.141,10
"(4.0, 17.0, 3.0, 4.0, 17.0, 21.0, 8.0, 3.0, 21.0, 21.0)",204.169,10
"(27.0, 8.0, 3.0, 27.0, 8.0, 53.0, 27.0, 22.0, 11.0, 18.0)",299.448,10
"(1.0, 37.0, 57.0, 1.0, 37.0, 20.0, 1.0, 3.0, 36.0, 37.0)",299.45,10
"(13.0, 53.0, 8.0, 13.0, 53.0, 14.0, 13.0, 53.0, 47.0, 8.0)",299.451,10
"(16.0, 57.0, 33.0, 16.0, 57.0, 18.0, 16.0, 15.0, 16.0, 16.0)",299.483,10
"(26.0, 58.0, 20.0, 26.0, 58.0, 24.0, 26.0, 8.0, 26.0, 58.0)",299.484,10
"(38.0, 6.0, 49.0, 38.0, 6.0, 25.0, 38.0, 17.0, 38.0, 49.0)",299.485,10
"(37.0, 7.0, 9.0, 37.0, 7.0, 45.0, 37.0, 31.0, 31.0, 37.0)",299.515,10
"(35.0, 38.0, 30.0, 35.0, 38.0, 55.0, 35.0, 9.0, 9.0, 30.0)",299.518,10
"(34.0, 27.0, 54.0, 34.0, 27.0, 61.0, 34.0, 7.0, 7.0, 61.0)",299.519,10
"(8.0, 31.0, 22.0, 8.0, 31.0, 14.0, 8.0, 0.0, 31.0, 3.0)",299.547,10
"(47.0, 18.0, 35.0, 47.0, 18.0, 18.0, 47.0, 26.0, 18.0, 47.0)",299.548,10
"(24.0, 52.0, 38.0, 24.0, 52.0, 13.0, 24.0, 60.0, 52.0, 13.0)",299.551,10
"(1.0, 22.0, 54.0, 1.0, 22.0, 50.0, 1.0, 37.0, 54.0, 1.0)",299.58,10
"(19.0, 6.0, 10.0, 19.0, 6.0, 42.0, 19.0, 47.0, 10.0, 42.0)",299.584,10
"(50.0, 49.0, 18.0, 50.0, 49.0, 29.0, 50.0, 3.0, 29.0, 50.0)",299.614,10
"(58.0, 33.0, 19.0, 58.0, 33.0, 24.0, 58.0, 58.0, 24.0, 58.0)",299.615,10
"(50.0, 16.0, 31.0, 50.0, 16.0, 44.0, 50.0, 1.0, 44.0, 31.0)",299.617,10
"(32.0, 33.0, 60.0, 32.0, 33.0, 53.0, 32.0, 8.0, 53.0, 53.0)",299.617,10
"(53.0, 0.0, 38.0, 53.0, 0.0, 4.0, 46.0, 38.0, 46.0, 37.0, 6.0)",647.645,11
"(12.0, 51.0, 5.0, 12.0, 51.0, 3.0, 26.0, 5.0, 29.0, 50.0, 5.0)",647.649,11
"(1.0, 48.0, 21.0, 1.0, 48.0, 3.0, 21.0, 21.0, 14.0, 50.0, 3.0)",647.65,11
"(39.0, 38.0, 52.0, 39.0, 38.0, 41.0, 33.0, 52.0, 28.0, 45.0, 28.0)",647.651,11
"(26.0, 27.0, 39.0, 26.0, 27.0, 52.0, 55.0, 39.0, 4.0, 26.0, 55.0)",647.693,11
"(5.0, 19.0, 42.0, 5.0, 19.0, 33.0, 40.0, 42.0, 20.0, 5.0, 19.0)",647.694,11
"(54.0, 22.0, 19.0, 54.0, 22.0, 4.0, 20.0, 19.0, 52.0, 54.0, 19.0)",647.695,11
"(47.0, 11.0, 16.0, 47.0, 11.0, 32.0, 59.0, 16.0, 53.0, 47.0, 32.0)",647.696,11
"(48.0, 18.0, 48.0, 48.0, 18.0, 29.0, 41.0, 48.0, 2.0, 41.0, 21.0)",647.733,11
"(5.0, 15.0, 46.0, 5.0, 15.0, 6.0, 31.0, 46.0, 11.0, 31.0, 5.0)",647.733,11
"(32.0, 31.0, 16.0, 32.0, 31.0, 7.0, 20.0, 16.0, 6.0, 20.0, 31.0)",647.735,11
"(44.0, 51.0, 35.0, 44.0, 51.0, 46.0, 59.0, 35.0, 61.0, 59.0, 35.0)",647.736,11
"(54.0, 42.0, 41.0, 54.0, 42.0, 1.0, 31.0, 41.0, 1.0, 31.0, 1.0)",647.738,11
"(49.0, 36.0, 17.0, 49.0, 36.0, 3.0, 43.0, 17.0, 7.0, 36.0, 22.0)",647.778,11
"(0.0, 60.0, 2.0, 0.0, 60.0, 28.0, 56.0, 2.0, 4.0, 60.0, 2.0)",647.781,11
"(34.0, 14.0, 16.0, 34.0, 14.0, 15.0, 21.0, 16.0, 1.0, 16.0, 15.0)",647.821,11
"(27.0, 7.0, 58.0, 27.0, 7.0, 33.0, 11.0, 58.0, 29.0, 33.0, 7.0)",647.858,11
"(3.0, 55.0, 23.0, 3.0, 55.0, 48.0, 56.0, 23.0, 56.0, 56.0, 3.0)",647.895,11
"(32.0, 26.0, 14.0, 32.0, 26.0, 36.0, 30.0, 14.0, 58.0, 58.0, 14.0)",647.897,11
"(45.0, 13.0, 31.0, 45.0, 13.0, 22.0, 60.0, 31.0, 13.0, 54.0, 31.0)",1051.63,11
"(56.0, 11.0, 32.0, 56.0, 11.0, 39.0, 57.0, 32.0, 11.0, 56.0, 35.0)",1051.662,11
"(33.0, 18.0, 12.0, 33.0, 18.0, 35.0, 53.0, 12.0, 18.0, 33.0, 18.0)",1051.665,11
"(39.0, 0.0, 40.0, 39.0, 0.0, 26.0, 3.0, 40.0, 0.0, 39.0, 40.0)",1051.666,11
"(3.0, 55.0, 33.0, 3.0, 55.0, 28.0, 32.0, 33.0, 55.0, 32.0, 9.0)",1051.697,11
"(33.0, 19.0, 45.0, 33.0, 19.0, 32.0, 23.0, 45.0, 19.0, 23.0, 33.0)",1051.698,11
"(57.0, 22.0, 46.0, 57.0, 22.0, 1.0, 24.0, 46.0, 22.0, 24.0, 46.0)",1051.701,11
"(20.0, 24.0, 36.0, 20.0, 24.0, 59.0, 1.0, 36.0, 24.0, 1.0, 59.0)",1051.702,11
"(50.0, 22.0, 60.0, 50.0, 22.0, 44.0, 44.0, 60.0, 22.0, 22.0, 8.0)",1051.733,11
"(47.0, 27.0, 8.0, 47.0, 27.0, 37.0, 18.0, 8.0, 27.0, 27.0, 8.0)",1051.736,11
"(29.0, 9.0, 56.0, 29.0, 9.0, 59.0, 41.0, 56.0, 9.0, 56.0, 59.0)",1051.771,11
"(38.0, 48.0, 39.0, 38.0, 48.0, 8.0, 23.0, 39.0, 39.0, 59.0, 33.0)",1475.902,11
"(34.0, 37.0, 5.0, 34.0, 37.0, 0.0, 30.0, 5.0, 5.0, 2.0, 34.0)",1475.903,11
"(50.0, 5.0, 47.0, 50.0, 5.0, 11.0, 10.0, 47.0, 47.0, 40.0, 5.0)",1475.905,11
"(51.0, 4.0, 0.0, 51.0, 4.0, 7.0, 31.0, 0.0, 0.0, 51.0, 31.0)",1475.943,11
"(33.0, 46.0, 26.0, 33.0, 46.0, 18.0, 22.0, 26.0, 26.0, 22.0, 46.0)",1475.975,11
"(6.0, 61.0, 51.0, 6.0, 61.0, 18.0, 19.0, 51.0, 51.0, 61.0, 19.0)",1476.012,11
"(27.0, 4.0, 49.0, 27.0, 4.0, 2.0, 27.0, 49.0, 49.0, 4.0, 27.0)",1476.013,11
"(46.0, 40.0, 22.0, 46.0, 40.0, 18.0, 25.0, 22.0, 22.0, 40.0, 18.0)",1476.016,11
"(43.0, 16.0, 3.0, 43.0, 16.0, 39.0, 52.0, 3.0, 3.0, 3.0, 41.0)",1476.046,11
"(43.0, 18.0, 12.0, 43.0, 18.0, 7.0, 18.0, 12.0, 12.0, 7.0, 43.0)",1476.087,11
"(33.0, 34.0, 1.0, 33.0, 34.0, 27.0, 32.0, 1.0, 1.0, 27.0, 1.0)",1476.09,11
"(28.0, 5.0, 33.0, 28.0, 5.0, 5.0, 28.0, 18.0, 5.0, 1.0, 28.0)",2304.505,11
"(29.0, 40.0, 11.0, 29.0, 40.0, 59.0, 29.0, 1.0, 59.0, 46.0, 1.0)",2304.506,11
"(53.0, 16.0, 10.0, 53.0, 16.0, 4.0, 53.0, 44.0, 4.0, 59.0, 16.0)",2304.507,11
"(12.0, 38.0, 59.0, 12.0, 38.0, 20.0, 12.0, 34.0, 20.0, 12.0, 59.0)",2304.547,11
"(4.0, 29.0, 38.0, 4.0, 29.0, 2.0, 4.0, 10.0, 2.0, 4.0, 38.0)",2304.55,11
"(28.0, 53.0, 11.0, 28.0, 53.0, 27.0, 28.0, 40.0, 27.0, 40.0, 5.0)",2304.588,11
"(37.0, 61.0, 41.0, 37.0, 61.0, 48.0, 37.0, 58.0, 48.0, 58.0, 37.0)",2304.589,11
"(9.0, 8.0, 37.0, 9.0, 8.0, 6.0, 9.0, 48.0, 6.0, 48.0, 37.0)",2304.592,11
"(20.0, 3.0, 40.0, 20.0, 3.0, 18.0, 20.0, 43.0, 18.0, 3.0, 46.0)",2304.625,11
"(3.0, 26.0, 42.0, 3.0, 26.0, 2.0, 3.0, 21.0, 2.0, 42.0, 40.0)",2304.667,11
"(57.0, 53.0, 60.0, 57.0, 53.0, 46.0, 57.0, 37.0, 46.0, 60.0, 46.0)",2304.671,11
"(32.0, 60.0, 13.0, 32.0, 60.0, 23.0, 32.0, 0.0, 23.0, 23.0, 32.0)",2304.709,11
"(27.0, 39.0, 21.0, 27.0, 39.0, 19.0, 27.0, 26.0, 19.0, 19.0, 26.0)",2304.71,11
"(34.0, 41.0, 26.0, 34.0, 41.0, 36.0, 47.0, 26.0, 7.0, 7.0, 34.0, 41.0)",4749.935,12
"(18.0, 29.0, 41.0, 18.0, 29.0, 59.0, 10.0, 41.0, 61.0, 31.0, 18.0, 61.0)",4749.938,12
"(3.0, 46.0, 4.0, 3.0, 46.0, 1.0, 52.0, 4.0, 50.0, 36.0, 52.0, 50.0)",4749.989,12
"(4.0, 52.0, 23.0, 4.0, 52.0, 44.0, 4.0, 23.0, 49.0, 7.0, 52.0, 4.0)",4750.035,12
"(10.0, 18.0, 39.0, 10.0, 18.0, 50.0, 48.0, 39.0, 38.0, 40.0, 18.0, 48.0)",4750.036,12
"(16.0, 58.0, 54.0, 16.0, 58.0, 4.0, 26.0, 54.0, 13.0, 7.0, 7.0, 58.0)",4750.087,12
"(13.0, 22.0, 47.0, 13.0, 22.0, 52.0, 24.0, 47.0, 44.0, 38.0, 47.0, 13.0)",4750.141,12
"(12.0, 32.0, 58.0, 12.0, 32.0, 53.0, 1.0, 58.0, 21.0, 45.0, 58.0, 53.0)",4750.147,12
"(50.0, 26.0, 17.0, 50.0, 26.0, 18.0, 37.0, 17.0, 29.0, 49.0, 18.0, 37.0)",4750.199,12
"(10.0, 8.0, 27.0, 10.0, 8.0, 59.0, 27.0, 27.0, 24.0, 60.0, 59.0, 24.0)",4750.204,12
"(47.0, 17.0, 22.0, 47.0, 17.0, 28.0, 23.0, 22.0, 60.0, 0.0, 60.0, 23.0)",4750.254,12
"(14.0, 44.0, 6.0, 14.0, 44.0, 4.0, 31.0, 6.0, 43.0, 40.0, 43.0, 6.0)",4750.257,12
"(7.0, 28.0, 14.0, 7.0, 28.0, 13.0, 33.0, 14.0, 57.0, 7.0, 48.0, 48.0)",7652.275,12
"(16.0, 52.0, 22.0, 16.0, 52.0, 58.0, 37.0, 22.0, 5.0, 16.0, 16.0, 58.0)",7652.315,12
"(21.0, 58.0, 7.0, 21.0, 58.0, 7.0, 21.0, 7.0, 21.0, 21.0, 21.0, 7.0)",7652.358,12
"(4.0, 53.0, 15.0, 4.0, 53.0, 59.0, 41.0, 15.0, 32.0, 4.0, 53.0, 42.0)",7652.398,12
"(1.0, 6.0, 51.0, 1.0, 6.0, 13.0, 39.0, 51.0, 47.0, 1.0, 6.0, 39.0)",7652.4,12
"(18.0, 17.0, 45.0, 18.0, 17.0, 16.0, 9.0, 45.0, 1.0, 18.0, 16.0, 45.0)",7652.488,12
"(8.0, 34.0, 8.0, 8.0, 34.0, 17.0, 24.0, 8.0, 54.0, 8.0, 54.0, 21.0)",7652.523,12
"(15.0, 6.0, 10.0, 15.0, 6.0, 48.0, 0.0, 10.0, 55.0, 15.0, 55.0, 10.0)",7652.526,12
"(32.0, 9.0, 3.0, 32.0, 9.0, 31.0, 10.0, 3.0, 55.0, 32.0, 55.0, 31.0)",7652.527,12
"(13.0, 5.0, 11.0, 13.0, 5.0, 11.0, 54.0, 11.0, 10.0, 54.0, 37.0, 13.0)",10916.641,12
"(23.0, 58.0, 55.0, 23.0, 58.0, 20.0, 1.0, 55.0, 14.0, 1.0, 11.0, 55.0)",10916.645,12
"(4.0, 6.0, 1.0, 4.0, 6.0, 58.0, 14.0, 1.0, 37.0, 14.0, 4.0, 37.0)",10916.695,12
"(42.0, 48.0, 16.0, 42.0, 48.0, 22.0, 26.0, 16.0, 43.0, 26.0, 26.0, 48.0)",10916.735,12
"(45.0, 30.0, 49.0, 45.0, 30.0, 53.0, 24.0, 49.0, 59.0, 24.0, 24.0, 49.0)",10916.736,12
"(4.0, 15.0, 15.0, 4.0, 15.0, 2.0, 25.0, 15.0, 41.0, 25.0, 25.0, 2.0)",10916.736,12
"(35.0, 8.0, 30.0, 35.0, 8.0, 17.0, 21.0, 30.0, 54.0, 21.0, 8.0, 35.0)",10916.781,12
"(8.0, 14.0, 55.0, 8.0, 14.0, 58.0, 10.0, 55.0, 46.0, 10.0, 14.0, 58.0)",10916.785,12
"(48.0, 7.0, 42.0, 48.0, 7.0, 37.0, 2.0, 42.0, 40.0, 2.0, 7.0, 40.0)",10916.786,12
"(10.0, 29.0, 36.0, 10.0, 29.0, 6.0, 12.0, 36.0, 38.0, 12.0, 36.0, 6.0)",10916.829,12
"(54.0, 23.0, 57.0, 54.0, 23.0, 41.0, 13.0, 57.0, 39.0, 13.0, 41.0, 54.0)",10916.865,12
"(12.0, 22.0, 5.0, 12.0, 22.0, 52.0, 47.0, 5.0, 29.0, 47.0, 52.0, 29.0)",10916.869,12
"(12.0, 44.0, 2.0, 12.0, 44.0, 54.0, 36.0, 2.0, 44.0, 44.0, 55.0, 44.0)",14584.284,12
"(26.0, 1.0, 16.0, 26.0, 1.0, 52.0, 33.0, 16.0, 58.0, 1.0, 15.0, 52.0)",14584.287,12
"(17.0, 21.0, 36.0, 17.0, 21.0, 33.0, 37.0, 36.0, 39.0, 21.0, 10.0, 39.0)",14584.288,12
"(33.0, 4.0, 37.0, 33.0, 4.0, 19.0, 42.0, 37.0, 15.0, 4.0, 42.0, 37.0)",14584.363,12
"(24.0, 17.0, 34.0, 24.0, 17.0, 49.0, 32.0, 34.0, 58.0, 17.0, 17.0, 32.0)",14584.403,12
"(17.0, 45.0, 12.0, 17.0, 45.0, 19.0, 5.0, 12.0, 60.0, 45.0, 45.0, 12.0)",14584.404,12
"(18.0, 10.0, 16.0, 18.0, 10.0, 45.0, 52.0, 16.0, 60.0, 10.0, 10.0, 45.0)",14584.405,12
"(3.0, 41.0, 20.0, 3.0, 41.0, 39.0, 10.0, 20.0, 10.0, 41.0, 39.0, 3.0)",14584.484,12
