Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(15.0, 15.0)",0.142,4,5,Y
"(24.0, 24.0, 24.0)",2.38,12,13,Y
"(4.0,)",4.36,35,74,N
"(57.0,)",6.644,35,144,N
"(1.0,)",8.712,35,174,N
"(3.0,)",12.575,35,269,N
"(2.0,)",19.44,35,379,N
"(59.0, 59.0)",21.514,35,433,N
"(9.0,)",25.884,35,583,N
"(10.0,)",31.582,35,637,N
"(32.0, 32.0, 31.0)",37.688,35,813,N
"(27.0, 27.0, 28.0, 27.0, 28.0)",37.9,47,825,Y
"(43.0, 43.0, 43.0, 43.0, 43.0, 47.0)",43.482,59,837,Y
"(15.0, 14.0, 14.0, 15.0, 15.0)",46.41,65,843,Y
"(41.0, 41.0, 49.0, 49.0, 49.0, 49.0)",46.631,93,871,Y
"(54.0, 54.0, 54.0, 50.0, 54.0, 54.0)",46.655,95,873,Y
"(11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.0)",55.625,124,902,Y
"(23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 19.0, 19.0)",55.645,125,903,Y
"(54.0, 54.0, 54.0, 54.0, 54.0, 13.0, 18.0, 18.0, 18.0)",61.34,130,908,Y
"(54.0, 54.0, 54.0, 54.0, 54.0, 55.0, 32.0, 55.0, 55.0)",61.342,132,910,Y
"(8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 46.0)",61.38,134,912,Y
"(40.0, 40.0, 40.0, 40.0, 40.0, 37.0, 40.0, 40.0, 40.0)",61.415,137,915,Y
"(51.0, 51.0, 51.0, 51.0, 51.0, 43.0, 43.0, 43.0, 43.0)",61.496,143,921,Y
"(50.0, 50.0, 50.0, 50.0, 50.0, 57.0, 57.0, 27.0, 50.0, 50.0)",69.891,149,927,Y
"(61.0, 61.0, 61.0, 61.0, 61.0, 49.0, 37.0, 49.0, 49.0, 49.0)",70.043,165,943,Y
"(9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 7.0, 7.0, 7.0)",89.209,197,975,Y
"(28.0, 28.0, 28.0, 28.0, 28.0, 24.0, 24.0, 24.0, 28.0)",89.319,204,982,Y
"(5.0, 5.0, 5.0, 5.0, 5.0, 2.0, 2.0, 2.0, 51.0, 51.0)",89.348,205,983,Y
"(9.0, 9.0, 9.0, 9.0, 9.0, 12.0, 12.0, 12.0, 9.0, 9.0)",89.349,206,984,Y
"(43.0, 43.0, 43.0, 43.0, 43.0, 59.0, 59.0, 59.0, 59.0, 59.0)",89.351,207,985,Y
"(31.0, 31.0, 31.0, 31.0, 31.0, 35.0, 39.0, 46.0, 42.0, 30.0, 30.0)",110.025,213,991,Y
"(54.0, 54.0, 54.0, 54.0, 54.0, 56.0, 28.0, 0.0, 61.0, 56.0, 56.0)",110.03,216,994,Y
"(29.0, 29.0, 29.0, 29.0, 29.0, 17.0, 25.0, 23.0, 23.0, 25.0)",110.193,231,1009,Y
"(1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 5.0, 26.0, 1.0)",138.626,256,1034,Y
"(31.0, 31.0, 31.0, 31.0, 31.0, 30.0, 30.0, 30.0, 41.0, 23.0, 23.0)",138.666,258,1036,Y
"(43.0, 43.0, 43.0, 43.0, 43.0, 38.0, 38.0, 38.0, 38.0, 44.0)",138.791,267,1045,Y
"(15.0, 15.0, 15.0, 15.0, 15.0, 13.0, 13.0, 13.0, 13.0, 15.0)",138.792,268,1046,Y
"(48.0, 48.0, 48.0, 48.0, 48.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0)",138.825,271,1049,Y
"(45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 17.0, 52.0, 55.0, 55.0, 55.0, 55.0)",241.294,303,1081,Y
"(46.0, 46.0, 46.0, 46.0, 46.0, 39.0, 39.0, 39.0, 31.0, 46.0, 39.0, 39.0)",367.305,354,1132,Y
"(37.0, 37.0, 37.0, 37.0, 37.0, 38.0, 38.0, 38.0, 45.0, 37.0, 45.0, 45.0)",367.307,355,1133,Y
