Details,+ve Membership Query,-ve Membership Query,Total Membership Query,+ve Equivalence Query,-ve Equivalence Query,Total Equivalence Query,Total count
No. of queries asked,2370.0,179708.0,182078.0,0,0,0,182078.0
No. of queries answered correctly,2370.0,0.0,2370.0,0,0,0,2370.0
No. of queries answered incorrectly,0.0,179708.0,179708.0,0,0,0,179708.0
Accuracy,1.0,0.0,0.013,0,0,0,0.013016399565021585
