Details,+ve Membership Query,-ve Membership Query,Total Membership Query,+ve Equivalence Query,-ve Equivalence Query,Total Equivalence Query,Total count
No. of queries asked,318579.0,691.0,319270.0,0,0,0,319270.0
No. of queries answered correctly,318134.0,686.0,318820.0,0,0,0,318820.0
No. of queries answered incorrectly,445.0,5.0,450.0,0,0,0,450.0
Accuracy,0.9986,0.9928,0.9986,0,0,0,0.9985905346571867
