Adversarial Examples,Time(s),Length of Adversarial Examples
"(37/1, 37/1)",0.026,2
"(4/1,)",0.061,1
"(9/1,)",0.063,1
"(51/1, 52/1, 50/1, 48/1)",0.116,4
"(38/1, 43/1, 46/1, 53/1)",0.13,4
"(3/1,)",0.195,1
"(4/1, 4/1)",0.256,2
"(10/1,)",0.31,1
"(57/1,)",0.36,1
"(1/1,)",0.554,1
"(2/1,)",0.662,1
"(53/1, 53/1)",1.359,2
"(18/1, 18/1)",1.529,2
"(10/1, 10/1)",1.735,2
"(9/1, 9/1)",1.8,2
"(7/1, 7/1)",1.873,2
"(8/1, 8/1)",1.93,2
"(21/1, 21/1)",2.922,2
"(36/1, 36/1)",3.008,2
"(14/1, 14/1)",3.813,2
"(12/1, 12/1)",3.861,2
"(21/1, 21/1, 22/1, 21/1, 18/1)",4.416,5
"(46/1, 44/1, 50/1, 51/1, 54/1)",4.861,5
"(30/1, 30/1)",5.292,2
"(19/1, 19/1, 19/1)",5.519,3
"(4/1, 2/1)",5.593,2
"(60/1, 60/1)",7.171,2
"(2/1, 1/1)",7.588,2
"(31/1, 31/1)",9.047,2
"(39/1, 39/1)",9.362,2
"(2/1, 2/1)",9.74,2
"(59/1, 59/1)",9.987,2
"(55/1, 55/1, 55/1, 57/1)",10.221,4
"(47/1, 50/1, 54/1, 59/1)",11.463,4
"(3/1, 1/1)",11.828,2
"(17/1, 17/1)",12.02,2
"(52/1, 52/1)",12.606,2
"(22/1, 22/1)",13.23,2
"(47/1, 47/1)",16.234,2
"(27/1, 28/1, 30/1, 31/1)",16.514,4
"(5/1, 5/1)",16.602,2
"(49/1, 49/1)",19.197,2
"(4/1, 1/1, 4/1, 8/1)",20.97,4
"(25/1, 25/1)",21.606,2
"(43/1, 43/1)",21.615,2
"(54/1, 54/1)",22.623,2
"(50/1, 50/1)",22.863,2
"(41/1, 41/1, 43/1)",24.894,3
"(42/1, 42/1)",26.418,2
"(24/1, 24/1)",27.662,2
"(15/1, 15/1)",27.723,2
"(38/1, 48/1, 48/1, 46/1, 46/1, 48/1)",29.73,6
"(55/1, 55/1)",30.989,2
"(26/1, 26/1)",31.858,2
"(33/1, 33/1)",31.925,2
"(27/1, 27/1)",34.937,2
"(48/1, 48/1)",35.123,2
"(23/1, 23/1)",36.004,2
"(19/1, 19/1)",36.077,2
"(20/1, 20/1)",36.942,2
"(44/1, 44/1)",38.731,2
"(38/1, 38/1)",39.784,2
"(6/1, 6/1)",42.234,2
"(59/1, 53/1, 52/1, 51/1, 54/1)",43.218,5
"(34/1, 34/1)",48.263,2
"(32/1, 33/1, 33/1)",48.893,3
"(46/1, 46/1)",48.996,2
"(40/1, 40/1)",50.964,2
"(4/1, 1/1)",51.007,2
"(17/1, 19/1, 22/1, 25/1)",54.883,4
