Adversarial Examples,Time(s),Length of Adversarial Examples
"(56/1, 56/1)",55.184,2
"(16/1, 16/1)",56.059,2
"(35/1, 35/1)",59.6,2
"(2/1, 3/1, 6/1, 5/1, 9/1)",60.436,5
"(3/1, 3/1)",61.719,2
"(22/1, 20/1, 18/1, 17/1)",67.967,4
"(13/1, 13/1)",68.525,2
"(11/1, 11/1, 12/1)",69.576,3
"(39/1, 39/1, 41/1)",72.189,3
"(41/1, 41/1)",73.346,2
"(33/1, 37/1, 34/1, 30/1, 29/1, 26/1, 27/1)",76.231,7
"(2/1, 1/1, 2/1)",77.714,3
"(7/1, 6/1, 4/1)",81.322,3
"(32/1, 32/1)",94.653,2
"(58/1, 58/1)",95.7,2
"(54/1, 55/1, 54/1, 50/1, 55/1, 57/1)",96.806,6
"(57/1, 57/1)",101.283,2
"(5/1, 1/1, 2/1)",101.659,3
"(51/1, 51/1)",105.29,2
"(44/1, 49/1, 55/1, 59/1)",109.8,4
"(32/1, 31/1, 29/1, 28/1)",111.729,4
"(45/1, 49/1, 48/1, 49/1)",111.771,4
"(29/1, 29/1)",113.018,2
"(32/1, 31/1, 31/1)",114.627,3
"(17/1, 19/1, 19/1, 17/1)",115.76,4
"(22/1, 28/1, 33/1, 39/1, 41/1)",118.066,5
"(55/1, 60/1, 57/1, 55/1)",119.737,4
"(46/1, 49/1, 53/1, 59/1)",127.816,4
"(16/1, 15/1, 12/1, 8/1)",128.839,4
"(56/1, 56/1, 56/1)",131.361,3
"(25/1, 24/1, 23/1)",142.919,3
"(56/1, 52/1, 51/1, 57/1, 59/1, 57/1, 51/1, 46/1)",145.075,8
"(44/1, 55/1, 55/1, 53/1, 53/1)",147.3,5
"(11/1, 10/1, 10/1)",148.277,3
"(10/1, 8/1, 6/1)",162.739,3
"(41/1, 46/1, 50/1, 54/1)",166.316,4
"(55/1, 55/1, 54/1, 56/1)",169.704,4
"(7/1, 4/1, 2/1)",183.663,3
"(7/1, 6/1, 5/1)",198.368,3
"(11/1, 11/1)",202.259,2
"(25/1, 26/1, 29/1, 31/1)",213.363,4
"(45/1, 45/1)",214.424,2
"(59/1, 57/1, 60/1, 60/1)",215.191,4
"(51/1, 51/1, 51/1)",235.657,3
"(21/1, 15/1, 13/1, 13/1, 13/1)",242.156,5
"(49/1, 49/1, 48/1, 50/1)",254.853,4
"(23/1, 26/1, 26/1, 25/1)",255.974,4
"(9/1, 8/1, 10/1)",270.318,3
"(16/1, 17/1, 18/1, 21/1)",270.324,4
"(42/1, 39/1, 41/1, 39/1)",278.322,4
"(28/1, 28/1)",279.587,2
"(29/1, 29/1, 28/1)",281.284,3
"(8/1, 6/1, 4/1)",284.971,3
"(7/1, 5/1, 5/1)",298.864,3
"(36/1, 34/1, 33/1)",301.076,3
"(4/1, 4/1, 2/1)",307.144,3
"(11/1, 10/1, 11/1, 13/1)",308.363,4
"(18/1, 19/1, 18/1, 15/1, 15/1)",317.878,5
"(58/1, 59/1, 57/1, 54/1)",318.434,4
"(38/1, 35/1, 32/1, 29/1)",334.699,4
"(34/1, 34/1, 33/1)",337.684,3
"(38/1, 36/1, 38/1, 38/1)",362.369,4
"(4/1, 3/1, 6/1)",366.658,3
"(27/1, 25/1, 23/1)",366.756,3
"(11/1, 11/1, 10/1)",369.149,3
"(24/1, 25/1, 24/1, 27/1, 29/1)",372.3,5
"(31/1, 30/1, 28/1)",376.402,3
"(13/1, 16/1, 23/1, 27/1)",380.414,4
"(40/1, 41/1, 47/1, 51/1)",383.836,4
"(51/1, 55/1, 55/1, 55/1)",388.581,4
"(44/1, 45/1, 45/1, 48/1)",389.771,4
"(45/1, 45/1, 45/1)",396.105,3
"(31/1, 35/1, 36/1, 36/1)",396.219,4
"(8/1, 9/1, 12/1, 16/1)",399.232,4
