Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
(),0.004,0,0,Y
"(37.0, 4.0, 7.0, 26.0)",0.047,1,7,N
"(28.0, 28.0)",0.084,5,11,Y
"(35.0, 45.0, 25.0, 35.0)",0.109,8,14,Y
"(1.0, 55.0, 27.0, 55.0)",0.119,9,15,Y
"(24.0, 17.0, 0.0, 16.0, 17.0)",0.151,14,20,Y
"(40.0, 60.0, 9.0, 41.0, 26.0, 27.0)",3.445,36,42,Y
"(16.0, 49.0, 31.0, 42.0, 9.0, 9.0)",3.447,38,44,Y
"(7.0, 31.0, 22.0, 18.0, 48.0, 31.0)",3.447,39,45,Y
"(60.0, 15.0, 5.0, 34.0, 31.0, 34.0)",3.449,41,47,Y
"(19.0, 49.0, 43.0, 31.0, 19.0, 31.0)",3.464,44,50,Y
"(0.0, 48.0, 31.0, 6.0, 0.0, 31.0)",3.465,46,52,Y
"(53.0, 21.0, 18.0, 27.0, 27.0, 45.0)",3.478,47,53,Y
"(18.0, 25.0, 28.0, 39.0, 39.0, 18.0)",3.479,48,54,Y
"(32.0, 9.0, 11.0, 27.0, 27.0, 27.0)",3.48,49,55,Y
"(49.0, 48.0, 55.0, 34.0, 55.0, 8.0)",3.506,57,63,Y
"(24.0, 17.0, 19.0, 20.0, 19.0, 24.0)",3.507,58,64,Y
"(36.0, 52.0, 48.0, 10.0, 48.0, 48.0)",3.509,61,67,Y
"(11.0, 7.0, 7.0, 11.0, 37.0, 52.0)",3.522,62,68,Y
"(39.0, 48.0, 46.0, 39.0, 38.0, 38.0)",3.524,64,70,Y
"(21.0, 35.0, 42.0, 21.0, 38.0, 35.0)",3.525,65,71,Y
"(49.0, 16.0, 31.0, 49.0, 4.0, 31.0)",3.526,66,72,Y
"(32.0, 21.0, 29.0, 32.0, 32.0, 21.0)",3.539,69,75,Y
"(52.0, 1.0, 30.0, 52.0, 1.0, 45.0)",3.551,71,77,Y
"(26.0, 48.0, 5.0, 26.0, 48.0, 48.0)",3.553,73,79,Y
"(51.0, 30.0, 23.0, 51.0, 30.0, 23.0)",3.554,74,80,Y
"(11.0, 19.0, 13.0, 11.0, 13.0, 11.0)",3.566,76,82,Y
"(37.0, 17.0, 54.0, 37.0, 54.0, 17.0)",3.567,77,83,Y
"(39.0, 16.0, 0.0, 37.0, 37.0, 39.0, 39.0)",43.61,118,124,Y
"(50.0, 9.0, 33.0, 27.0, 27.0, 7.0, 50.0, 50.0)",188.449,176,182,Y
"(45.0, 59.0, 2.0, 16.0, 16.0, 32.0, 45.0, 32.0)",188.45,177,183,Y
"(50.0, 5.0, 60.0, 48.0, 48.0, 24.0, 24.0, 24.0)",188.487,183,189,Y
"(58.0, 59.0, 3.0, 36.0, 36.0, 59.0, 59.0, 59.0)",188.488,184,190,Y
"(61.0, 16.0, 11.0, 26.0, 26.0, 51.0, 51.0, 26.0)",188.49,186,192,Y
"(47.0, 42.0, 41.0, 57.0, 57.0, 14.0, 42.0, 24.0)",188.517,187,193,Y
"(60.0, 31.0, 0.0, 41.0, 41.0, 10.0, 31.0, 0.0)",188.52,191,197,Y
"(48.0, 1.0, 38.0, 54.0, 54.0, 37.0, 1.0, 54.0)",188.521,192,198,Y
"(45.0, 40.0, 0.0, 52.0, 52.0, 11.0, 0.0, 35.0)",188.549,193,199,Y
"(57.0, 35.0, 51.0, 54.0, 54.0, 2.0, 51.0, 57.0)",188.55,194,200,Y
"(3.0, 43.0, 23.0, 32.0, 32.0, 5.0, 23.0, 5.0)",188.551,195,201,Y
"(52.0, 60.0, 60.0, 38.0, 38.0, 26.0, 60.0, 60.0)",188.552,196,202,Y
"(31.0, 34.0, 2.0, 30.0, 30.0, 58.0, 30.0, 23.0)",188.581,199,205,Y
"(17.0, 18.0, 17.0, 56.0, 56.0, 46.0, 56.0, 46.0)",188.583,201,207,Y
"(38.0, 39.0, 51.0, 17.0, 17.0, 52.0, 17.0, 17.0)",188.585,204,210,Y
"(17.0, 13.0, 0.0, 41.0, 41.0, 19.0, 19.0, 34.0, 61.0)",274.101,205,211,Y
"(21.0, 45.0, 22.0, 44.0, 44.0, 21.0, 45.0, 21.0, 0.0)",370.725,255,261,Y
"(22.0, 9.0, 56.0, 60.0, 60.0, 2.0, 2.0, 20.0, 5.0, 39.0)",724.172,279,285,Y
"(5.0, 17.0, 61.0, 43.0, 43.0, 47.0, 47.0, 20.0, 6.0, 6.0)",724.175,283,289,Y
"(59.0, 38.0, 47.0, 0.0, 0.0, 47.0, 47.0, 10.0, 59.0, 8.0)",724.21,287,293,Y
"(43.0, 19.0, 25.0, 10.0, 10.0, 4.0, 4.0, 16.0, 43.0, 43.0)",724.211,288,294,Y
"(8.0, 11.0, 30.0, 49.0, 49.0, 24.0, 24.0, 54.0, 8.0, 24.0)",724.212,289,295,Y
"(53.0, 26.0, 24.0, 22.0, 22.0, 9.0, 9.0, 23.0, 53.0, 22.0)",724.214,292,298,Y
"(17.0, 15.0, 0.0, 46.0, 46.0, 56.0, 56.0, 61.0, 56.0, 32.0)",724.248,294,300,Y
"(40.0, 37.0, 22.0, 12.0, 12.0, 41.0, 41.0, 25.0, 41.0, 40.0)",724.248,295,301,Y
"(3.0, 46.0, 32.0, 42.0, 42.0, 22.0, 22.0, 6.0, 22.0, 22.0)",724.249,296,302,Y
"(22.0, 3.0, 38.0, 43.0, 43.0, 12.0, 12.0, 48.0, 12.0, 43.0)",724.252,299,305,Y
"(16.0, 52.0, 55.0, 5.0, 5.0, 20.0, 20.0, 49.0, 20.0, 49.0)",724.253,300,306,Y
"(4.0, 44.0, 11.0, 49.0, 49.0, 29.0, 29.0, 25.0, 44.0, 32.0)",724.284,301,307,Y
"(44.0, 42.0, 28.0, 27.0, 27.0, 56.0, 56.0, 10.0, 42.0, 56.0)",724.285,303,309,Y
"(3.0, 37.0, 56.0, 5.0, 5.0, 19.0, 19.0, 18.0, 37.0, 37.0)",724.286,304,310,Y
"(6.0, 59.0, 35.0, 59.0, 59.0, 52.0, 52.0, 31.0, 59.0, 31.0)",724.288,307,313,Y
"(50.0, 35.0, 17.0, 5.0, 5.0, 13.0, 13.0, 22.0, 17.0, 50.0)",724.321,309,315,Y
"(2.0, 12.0, 29.0, 24.0, 24.0, 18.0, 18.0, 16.0, 29.0, 12.0)",724.322,311,317,Y
"(34.0, 35.0, 16.0, 46.0, 46.0, 57.0, 57.0, 56.0, 16.0, 46.0)",724.324,313,319,Y
"(0.0, 44.0, 41.0, 8.0, 8.0, 2.0, 2.0, 1.0, 8.0, 59.0)",724.356,315,321,Y
"(37.0, 61.0, 49.0, 10.0, 10.0, 23.0, 23.0, 48.0, 10.0, 61.0)",724.358,318,324,Y
"(43.0, 45.0, 53.0, 52.0, 52.0, 21.0, 21.0, 54.0, 52.0, 53.0)",724.359,319,325,Y
