Adversarial Examples,Time(s),Length of Adversarial Examples
"(49/1,)",0.007,1
"(1/1, 48/1, 5/1, 50/1, 26/1)",0.011,5
"(51/1,)",0.016,1
"(6/1, 12/1, 22/1)",0.022,3
"(8/1, 48/1, 49/1)",0.024,3
"(21/1, 44/1, 14/1, 32/1, 46/1)",0.033,5
"(41/1, 31/1, 26/1)",0.04,3
"(43/1, 16/1, 29/1, 25/1, 32/1)",0.049,5
"(17/1, 1/1, 10/1, 28/1, 26/1)",0.052,5
"(6/1, 35/1, 18/1)",0.054,3
"(43/1, 26/1, 32/1)",0.056,3
"(27/1, 43/1, 37/1)",0.071,3
"(17/1, 29/1, 4/1, 43/1, 23/1)",0.084,5
"(2/1, 12/1, 11/1)",0.107,3
"(26/1, 49/1, 37/1)",0.115,3
"(46/1, 24/1, 52/1, 13/1, 19/1)",0.117,5
"(59/1,)",0.119,1
"(37/1, 15/1, 17/1)",0.122,3
"(48/1,)",0.127,1
"(58/1, 35/1, 6/1, 8/1, 33/1)",0.129,5
"(47/1,)",0.142,1
"(8/1, 52/1, 57/1)",0.143,3
"(7/1, 48/1, 56/1)",0.144,3
"(18/1, 54/1, 35/1)",0.171,3
"(55/1,)",0.172,1
"(51/1, 32/1, 40/1, 31/1, 41/1)",0.186,5
"(8/1, 1/1, 7/1, 46/1, 59/1)",0.191,5
"(49/1, 16/1, 18/1)",0.197,3
"(52/1,)",0.199,1
"(1/1, 27/1, 13/1, 21/1, 22/1)",0.2,5
"(11/1, 18/1, 57/1)",0.203,3
"(28/1, 22/1, 28/1, 20/1, 15/1)",0.204,5
"(55/1, 14/1, 17/1)",0.205,3
"(32/1, 43/1, 57/1)",0.218,3
"(59/1, 58/1, 50/1, 34/1, 45/1)",0.231,5
"(21/1, 36/1, 23/1)",0.232,3
"(38/1, 55/1, 51/1, 4/1, 23/1)",0.234,5
"(56/1,)",0.237,1
"(60/1, 11/1, 28/1)",0.241,3
"(44/1, 48/1, 13/1, 58/1, 42/1)",0.248,5
"(50/1,)",0.251,1
"(11/1, 39/1, 38/1)",0.253,3
