Adversarial Examples,Time(s),Length of Adversarial Examples
"(1/1, 23/1, 6/1, 50/1, 57/1)",0.262,5
"(44/1, 15/1, 30/1)",0.265,3
"(41/1, 5/1, 24/1)",0.28,3
"(16/1, 27/1, 16/1, 6/1, 13/1)",0.286,5
"(53/1, 37/1, 28/1)",0.29,3
"(59/1, 39/1, 51/1)",0.312,3
"(48/1, 32/1, 45/1)",0.315,3
"(55/1, 27/1, 23/1, 35/1, 49/1)",0.317,5
"(51/1, 36/1, 40/1, 21/1, 30/1)",0.322,5
"(57/1,)",0.324,1
"(53/1,)",0.339,1
"(6/1, 43/1, 48/1)",0.348,3
"(27/1, 30/1, 41/1, 4/1, 8/1)",0.359,5
"(47/1, 35/1, 50/1)",0.365,3
"(60/1,)",0.372,1
"(38/1, 10/1, 8/1, 2/1, 7/1)",0.392,5
"(20/1, 6/1, 3/1)",0.398,3
"(20/1, 53/1, 25/1)",0.403,3
"(50/1, 10/1, 36/1)",0.409,3
"(5/1, 51/1, 53/1)",0.417,3
"(10/1, 1/1, 11/1, 50/1, 42/1)",0.418,5
"(41/1, 35/1, 9/1, 52/1, 56/1)",0.425,5
"(46/1, 58/1, 54/1, 58/1, 54/1)",0.44,5
"(1/1, 32/1, 21/1)",0.443,3
"(38/1, 43/1, 46/1)",0.449,3
"(28/1, 2/1, 2/1, 34/1, 36/1)",0.452,5
"(28/1, 23/1, 19/1, 45/1, 53/1)",0.463,5
"(11/1, 49/1, 20/1, 33/1, 47/1)",0.464,5
"(8/1, 41/1, 40/1, 38/1, 22/1)",0.476,5
"(41/1, 48/1, 45/1, 11/1, 3/1)",0.48,5
"(22/1, 46/1, 37/1, 14/1, 22/1)",0.481,5
"(21/1, 34/1, 44/1)",0.484,3
"(48/1, 4/1, 22/1)",0.485,3
"(40/1, 17/1, 26/1)",0.487,3
"(32/1, 52/1, 54/1)",0.496,3
"(32/1, 44/1, 41/1)",0.501,3
"(25/1, 47/1, 37/1, 40/1, 40/1)",0.517,5
"(8/1, 30/1, 49/1, 30/1, 16/1)",0.535,5
"(14/1, 22/1, 18/1)",0.538,3
"(32/1, 7/1, 10/1)",0.565,3
"(30/1, 10/1, 25/1, 21/1, 14/1)",0.576,5
"(12/1, 45/1, 54/1, 49/1, 37/1)",0.577,5
"(8/1, 20/1, 16/1, 48/1, 48/1)",0.585,5
"(58/1, 38/1, 55/1)",0.588,3
"(5/1, 25/1, 48/1)",0.601,3
"(6/1, 41/1, 44/1)",0.609,3
"(30/1, 9/1, 4/1, 33/1, 36/1)",0.61,5
"(21/1, 32/1, 50/1)",0.612,3
"(26/1, 47/1, 34/1)",0.626,3
"(43/1, 47/1, 36/1, 4/1, 44/1)",0.629,5
"(10/1, 28/1, 20/1)",0.636,3
"(52/1, 16/1, 45/1, 26/1, 33/1)",0.641,5
"(21/1, 43/1, 56/1)",0.657,3
"(54/1, 2/1, 42/1, 22/1, 9/1)",0.666,5
"(30/1, 53/1, 46/1)",0.667,3
"(52/1, 29/1, 30/1)",0.678,3
"(59/1, 22/1, 7/1, 13/1, 32/1)",0.71,5
"(26/1, 48/1, 50/1)",0.719,3
"(10/1, 46/1, 27/1)",0.741,3
"(49/1, 39/1, 37/1)",0.743,3
"(1/1, 49/1, 33/1)",0.75,3
"(33/1, 28/1, 19/1, 38/1, 35/1)",0.762,5
"(38/1, 55/1, 41/1)",0.769,3
"(17/1, 26/1, 55/1)",0.77,3
"(21/1, 3/1, 8/1, 33/1, 20/1)",0.774,5
"(57/1, 1/1, 2/1, 5/1, 17/1)",0.779,5
"(22/1, 52/1, 1/1, 49/1, 23/1)",0.781,5
"(18/1, 33/1, 38/1)",0.811,3
"(11/1, 30/1, 57/1)",0.815,3
"(33/1, 53/1, 43/1, 2/1, 8/1)",0.816,5
"(16/1, 51/1, 49/1)",0.822,3
"(11/1, 17/1, 51/1)",0.827,3
"(36/1, 51/1, 59/1, 18/1, 27/1)",0.828,5
"(8/1, 31/1, 55/1)",0.836,3
"(43/1, 1/1, 4/1)",0.841,3
"(3/1, 23/1, 15/1)",0.86,3
"(9/1, 28/1, 16/1, 38/1, 40/1)",0.872,5
"(16/1, 19/1, 12/1, 59/1, 28/1)",0.873,5
"(42/1, 59/1, 50/1, 58/1, 59/1)",0.879,5
"(1/1, 29/1, 22/1)",0.88,3
"(18/1, 36/1, 46/1)",0.884,3
"(38/1, 55/1, 47/1, 28/1, 44/1)",0.885,5
"(3/1, 9/1, 3/1, 40/1, 54/1)",0.893,5
"(18/1, 43/1, 48/1)",0.906,3
"(43/1, 43/1, 54/1, 26/1, 36/1)",0.914,5
"(29/1, 52/1, 37/1)",0.925,3
"(2/1, 18/1, 13/1)",0.929,3
"(44/1, 20/1, 31/1)",0.936,3
"(5/1, 15/1, 5/1, 33/1, 25/1)",0.937,5
"(14/1, 52/1, 35/1, 41/1, 34/1)",0.95,5
"(3/1, 31/1, 51/1)",0.952,3
"(41/1, 11/1, 4/1)",0.954,3
"(58/1,)",0.961,1
"(10/1, 25/1, 9/1, 16/1, 31/1)",0.969,5
"(35/1, 16/1, 20/1)",0.972,3
"(42/1, 36/1, 37/1, 44/1, 53/1)",0.976,5
"(25/1, 13/1, 1/1, 57/1, 3/1)",0.983,5
"(57/1, 28/1, 21/1, 24/1, 30/1)",1.004,5
"(3/1, 42/1, 43/1)",1.014,3
"(59/1, 20/1, 54/1)",1.02,3
"(54/1,)",1.025,1
"(57/1, 59/1, 57/1)",1.032,3
"(33/1, 12/1, 26/1)",1.049,3
"(24/1, 48/1, 45/1)",1.066,3
"(43/1, 18/1, 41/1)",1.076,3
"(40/1, 24/1, 32/1)",1.082,3
"(11/1, 13/1, 9/1, 41/1, 20/1)",1.091,5
"(9/1, 20/1, 36/1)",1.113,3
"(26/1, 8/1, 13/1)",1.118,3
"(58/1, 41/1, 21/1, 41/1, 34/1, 59/1, 53/1)",1.124,7
"(11/1, 35/1, 49/1, 2/1, 27/1)",1.127,5
"(44/1, 2/1, 9/1)",1.14,3
"(14/1, 49/1, 17/1, 50/1, 16/1, 53/1, 51/1)",1.144,7
"(43/1, 13/1, 23/1, 58/1, 38/1)",1.164,5
"(6/1, 15/1, 40/1, 16/1, 54/1, 45/1, 14/1, 48/1, 17/1)",1.169,9
"(4/1, 29/1, 17/1, 29/1, 12/1, 34/1, 39/1, 1/1)",1.191,8
"(3/1, 42/1, 6/1, 11/1, 42/1)",1.197,5
"(32/1, 58/1, 38/1, 22/1, 17/1)",1.206,5
"(42/1, 31/1, 26/1, 15/1, 46/1, 22/1, 18/1)",1.213,7
"(21/1, 56/1, 18/1, 49/1, 21/1, 57/1, 55/1)",1.215,7
"(50/1, 30/1, 48/1, 2/1, 9/1)",1.218,5
"(24/1, 10/1, 10/1, 28/1, 29/1, 53/1, 8/1, 38/1, 27/1)",1.23,9
"(39/1, 27/1, 36/1)",1.238,3
"(5/1, 13/1, 6/1, 55/1, 24/1, 28/1, 26/1)",1.247,7
"(41/1, 6/1, 17/1)",1.256,3
"(43/1, 31/1, 3/1, 27/1, 60/1, 28/1, 44/1, 2/1, 16/1)",1.257,9
"(43/1, 25/1, 54/1, 3/1, 4/1, 39/1, 34/1)",1.274,7
"(3/1, 38/1, 21/1, 27/1, 33/1)",1.287,5
"(16/1, 50/1, 3/1, 26/1, 34/1)",1.295,5
"(42/1, 13/1, 53/1, 37/1, 20/1, 49/1, 55/1)",1.313,7
"(22/1, 48/1, 42/1, 55/1, 41/1)",1.314,5
"(6/1, 55/1, 45/1)",1.316,3
"(3/1, 47/1, 28/1)",1.327,3
"(51/1, 32/1, 22/1, 9/1, 35/1)",1.342,5
"(14/1, 22/1, 23/1, 60/1, 46/1)",1.343,5
"(56/1, 19/1, 12/1)",1.363,3
"(15/1, 43/1, 52/1, 19/1, 17/1, 58/1, 21/1, 1/1, 12/1)",1.366,9
"(45/1, 24/1, 42/1)",1.368,3
"(13/1, 41/1, 42/1)",1.38,3
"(25/1, 47/1, 48/1)",1.388,3
"(15/1, 40/1, 15/1, 38/1, 19/1, 58/1, 14/1, 58/1, 23/1)",1.406,9
"(36/1, 36/1, 46/1, 31/1, 20/1)",1.414,5
"(37/1, 38/1, 31/1, 47/1, 28/1, 32/1, 46/1)",1.431,7
"(56/1, 14/1, 38/1)",1.461,3
"(25/1, 3/1, 12/1, 43/1, 47/1, 60/1, 4/1, 46/1, 45/1)",1.467,9
"(22/1, 44/1, 28/1, 21/1, 38/1, 50/1, 22/1, 27/1, 50/1)",1.473,9
"(47/1, 43/1, 39/1, 41/1, 26/1, 28/1, 60/1, 5/1, 1/1)",1.476,9
"(22/1, 42/1, 25/1, 43/1, 49/1)",1.494,5
"(53/1, 43/1, 8/1, 3/1, 19/1)",1.501,5
"(21/1, 4/1, 47/1, 32/1, 9/1, 19/1, 48/1)",1.504,7
"(17/1, 27/1, 36/1, 1/1, 21/1)",1.513,5
"(22/1, 52/1, 59/1)",1.516,3
"(11/1, 49/1, 6/1, 47/1, 1/1, 27/1, 35/1)",1.532,7
"(8/1, 22/1, 40/1, 36/1, 33/1, 46/1, 30/1)",1.54,7
"(60/1, 24/1, 57/1, 44/1, 45/1)",1.554,5
"(11/1, 33/1, 30/1)",1.555,3
"(36/1, 2/1, 8/1, 40/1, 45/1, 52/1, 18/1, 37/1, 55/1)",1.571,9
"(59/1, 15/1, 1/1, 37/1, 45/1, 57/1, 51/1)",1.572,7
"(24/1, 41/1, 31/1)",1.583,3
"(36/1, 30/1, 11/1, 52/1, 10/1, 49/1, 25/1, 25/1, 25/1)",1.588,9
"(31/1, 45/1, 34/1)",1.601,3
"(44/1, 45/1, 17/1, 30/1, 52/1, 21/1, 14/1, 12/1, 26/1)",1.618,9
"(50/1, 37/1, 14/1, 17/1, 56/1)",1.619,5
"(4/1, 26/1, 31/1)",1.62,3
"(58/1, 23/1, 18/1)",1.622,3
"(44/1, 60/1, 31/1, 10/1, 35/1)",1.628,5
"(17/1, 32/1, 11/1, 51/1, 40/1, 13/1, 17/1)",1.63,7
"(36/1, 26/1, 56/1, 50/1, 43/1, 23/1, 17/1)",1.633,7
"(23/1, 51/1, 34/1)",1.651,3
"(12/1, 39/1, 29/1)",1.663,3
"(42/1, 42/1, 2/1, 28/1, 37/1)",1.676,5
"(5/1, 14/1, 13/1)",1.68,3
"(46/1, 19/1, 49/1, 23/1, 52/1, 21/1, 13/1, 2/1, 50/1)",1.681,9
"(55/1, 8/1, 51/1, 25/1, 25/1)",1.697,5
"(12/1, 18/1, 15/1)",1.7,3
"(25/1, 15/1, 27/1, 42/1, 59/1, 2/1, 11/1)",1.703,7
"(12/1, 56/1, 35/1)",1.713,3
"(19/1, 45/1, 3/1, 41/1, 51/1)",1.743,5
"(56/1, 33/1, 12/1, 19/1, 51/1, 19/1, 19/1)",1.747,7
"(21/1, 19/1, 21/1, 33/1, 51/1)",1.76,5
"(39/1, 54/1, 53/1, 31/1, 46/1, 13/1, 19/1)",1.764,7
"(30/1, 41/1, 54/1, 59/1, 27/1, 55/1, 37/1)",1.768,7
"(34/1, 2/1, 15/1, 3/1, 49/1, 5/1, 2/1, 49/1, 52/1)",1.771,9
"(28/1, 60/1, 32/1)",1.781,3
"(39/1, 10/1, 12/1, 12/1, 54/1, 16/1, 16/1)",1.794,7
"(27/1, 19/1, 17/1, 28/1, 42/1)",1.796,5
"(15/1, 30/1, 10/1, 33/1, 41/1, 50/1, 43/1)",1.797,7
"(17/1, 45/1, 37/1, 39/1, 37/1, 40/1, 34/1, 58/1, 39/1)",1.808,9
"(59/1, 23/1, 16/1)",1.815,3
"(10/1, 53/1, 7/1, 41/1, 41/1, 48/1, 10/1, 45/1, 54/1)",1.818,9
"(17/1, 54/1, 31/1, 53/1, 6/1, 26/1, 14/1, 52/1, 36/1)",1.832,9
"(21/1, 38/1, 43/1)",1.842,3
"(9/1, 21/1, 25/1, 54/1, 51/1)",1.866,5
"(16/1, 43/1, 40/1, 11/1, 13/1, 47/1, 50/1)",1.879,7
"(39/1, 53/1, 16/1, 52/1, 50/1, 8/1, 24/1)",1.884,7
"(31/1, 43/1, 32/1, 15/1, 18/1)",1.885,5
"(20/1, 53/1, 60/1, 59/1, 28/1, 7/1, 29/1)",1.887,7
"(10/1, 54/1, 28/1)",1.895,3
"(1/1, 22/1, 57/1, 27/1, 1/1, 36/1, 56/1)",1.901,7
"(15/1, 51/1, 17/1, 25/1, 19/1, 43/1, 43/1, 12/1, 16/1)",1.918,9
"(59/1, 36/1, 15/1, 14/1, 20/1)",1.928,5
"(10/1, 33/1, 50/1, 47/1, 53/1, 59/1, 25/1, 47/1, 30/1)",1.939,9
"(24/1, 55/1, 30/1)",1.941,3
"(26/1, 19/1, 1/1, 31/1, 49/1, 49/1, 52/1, 54/1, 35/1)",1.946,9
"(50/1, 16/1, 47/1)",1.956,3
"(32/1, 43/1, 60/1)",1.977,3
"(20/1, 8/1, 36/1, 5/1, 33/1, 12/1, 7/1, 34/1, 36/1)",1.993,9
"(2/1, 33/1, 50/1)",2.01,3
"(48/1, 1/1, 50/1, 47/1, 4/1, 38/1, 58/1)",2.015,7
"(22/1, 49/1, 37/1)",2.018,3
"(59/1, 58/1, 51/1, 29/1, 53/1)",2.034,5
"(6/1, 58/1, 27/1)",2.035,3
"(8/1, 40/1, 44/1, 47/1, 4/1, 28/1, 41/1)",2.049,7
"(25/1, 58/1, 27/1, 32/1, 56/1)",2.064,5
"(51/1, 52/1, 60/1, 31/1, 44/1, 5/1, 46/1)",2.068,7
"(50/1, 12/1, 37/1, 23/1, 22/1)",2.07,5
"(25/1, 53/1, 57/1, 2/1, 5/1)",2.074,5
"(10/1, 31/1, 32/1)",2.077,3
"(7/1, 54/1, 41/1, 43/1, 17/1, 52/1, 22/1, 29/1, 42/1)",2.079,9
"(2/1, 55/1, 43/1)",2.082,3
"(4/1, 44/1, 21/1)",2.09,3
"(11/1, 8/1, 6/1, 27/1, 37/1, 60/1, 44/1)",2.092,7
"(20/1, 53/1, 1/1, 55/1, 12/1, 28/1, 45/1)",2.099,7
"(49/1, 24/1, 44/1)",2.105,3
"(53/1, 36/1, 4/1, 56/1, 15/1, 28/1, 1/1, 40/1, 59/1)",2.145,9
"(43/1, 43/1, 34/1, 38/1, 14/1, 34/1, 38/1, 23/1, 34/1)",2.147,9
"(49/1, 15/1, 11/1)",2.154,3
"(12/1, 34/1, 39/1)",2.157,3
"(12/1, 38/1, 25/1, 20/1, 44/1)",2.158,5
"(10/1, 38/1, 47/1, 42/1, 46/1, 45/1, 59/1)",2.166,7
"(58/1, 10/1, 34/1, 1/1)",2.174,4
"(48/1, 41/1, 46/1)",2.181,3
"(59/1, 13/1, 32/1)",2.185,3
"(24/1, 38/1, 48/1)",2.187,3
"(4/1, 37/1, 16/1, 32/1, 22/1)",2.207,5
"(22/1, 16/1, 10/1, 44/1, 24/1)",2.231,5
"(23/1, 20/1, 59/1, 56/1, 25/1, 59/1, 16/1, 26/1, 23/1)",2.234,9
"(8/1, 5/1, 5/1, 36/1, 19/1)",2.238,5
"(48/1, 33/1, 13/1, 33/1, 14/1, 56/1, 14/1, 60/1, 51/1)",2.243,9
"(43/1, 5/1, 2/1, 43/1, 37/1)",2.267,5
"(56/1, 19/1, 21/1, 4/1, 19/1)",2.271,5
"(1/1, 19/1, 14/1)",2.282,3
"(49/1, 46/1, 43/1, 20/1, 7/1, 51/1, 50/1)",2.292,7
"(51/1, 11/1, 57/1, 40/1, 5/1, 40/1, 56/1)",2.304,7
"(50/1, 49/1, 41/1, 22/1, 39/1, 36/1, 43/1)",2.326,7
"(11/1, 55/1, 10/1, 16/1, 55/1, 52/1, 29/1)",2.327,7
"(18/1, 29/1, 19/1, 36/1, 57/1)",2.335,5
"(7/1, 20/1, 15/1, 49/1, 31/1)",2.337,5
"(32/1, 28/1, 31/1, 58/1, 29/1)",2.344,5
"(44/1, 23/1, 21/1)",2.347,3
"(46/1, 59/1, 11/1, 2/1, 24/1, 13/1, 30/1)",2.349,7
"(35/1, 11/1, 19/1)",2.352,3
"(49/1, 54/1, 53/1, 60/1, 56/1, 50/1, 15/1, 51/1, 48/1)",2.362,9
"(31/1, 42/1, 16/1, 26/1, 30/1, 35/1, 44/1)",2.372,7
"(23/1, 1/1, 24/1, 21/1, 8/1, 37/1, 9/1, 40/1, 45/1, 1/1)",2.375,10
"(5/1, 30/1, 20/1, 16/1, 59/1, 2/1)",2.381,6
"(47/1, 28/1, 6/1, 6/1, 18/1, 51/1, 9/1, 46/1, 36/1)",2.383,9
"(29/1, 52/1, 53/1, 51/1, 26/1, 34/1, 42/1, 22/1, 8/1)",2.385,9
"(8/1, 24/1, 45/1)",2.389,3
"(2/1, 57/1, 46/1)",2.394,3
"(3/1, 21/1, 57/1, 46/1, 26/1)",2.396,5
"(7/1, 13/1, 59/1, 35/1, 18/1, 28/1, 18/1)",2.404,7
"(12/1, 43/1, 25/1)",2.419,3
"(59/1, 4/1, 23/1)",2.431,3
"(22/1, 50/1, 53/1, 47/1, 60/1)",2.435,5
"(46/1, 7/1, 51/1, 41/1, 5/1, 12/1, 2/1, 23/1, 56/1)",2.443,9
"(2/1, 20/1, 37/1, 53/1, 31/1)",2.444,5
"(28/1, 48/1, 54/1)",2.455,3
"(18/1, 42/1, 17/1, 56/1, 42/1)",2.472,5
"(26/1, 26/1, 23/1, 41/1, 28/1, 20/1, 7/1, 27/1, 45/1)",2.482,9
"(42/1, 28/1, 19/1, 31/1, 44/1, 14/1, 29/1)",2.489,7
"(56/1, 5/1, 27/1, 10/1, 11/1, 57/1, 18/1, 45/1, 45/1)",2.501,9
"(34/1, 9/1, 2/1, 54/1, 6/1, 22/1, 58/1)",2.506,7
"(22/1, 32/1, 22/1, 34/1, 36/1)",2.511,5
"(10/1, 49/1, 12/1, 52/1, 20/1, 14/1, 20/1)",2.517,7
"(11/1, 46/1, 11/1, 38/1, 42/1)",2.525,5
"(1/1, 37/1, 60/1)",2.528,3
"(36/1, 14/1, 29/1)",2.532,3
"(14/1, 51/1, 55/1, 53/1, 58/1)",2.535,5
"(5/1, 15/1, 3/1, 30/1, 29/1, 44/1, 57/1, 1/1, 42/1)",2.536,9
"(34/1, 11/1, 60/1, 46/1, 38/1, 43/1, 18/1, 60/1, 48/1)",2.548,9
"(13/1, 49/1, 56/1, 2/1, 43/1, 55/1, 17/1, 38/1, 49/1)",2.559,9
"(44/1, 6/1, 32/1)",2.562,3
"(35/1, 18/1, 42/1, 45/1, 49/1, 27/1, 2/1, 46/1, 37/1)",2.588,9
"(51/1, 19/1, 29/1, 35/1, 49/1, 11/1, 31/1, 16/1, 11/1)",2.607,9
"(1/1, 20/1, 4/1, 32/1, 16/1, 46/1, 21/1, 25/1, 46/1)",2.614,9
"(39/1, 11/1, 4/1, 12/1, 11/1, 54/1, 44/1, 1/1, 7/1)",2.617,9
"(10/1, 32/1, 47/1)",2.619,3
"(45/1, 7/1, 30/1)",2.622,3
"(11/1, 13/1, 51/1, 3/1, 13/1, 32/1, 18/1, 26/1, 48/1)",2.624,9
"(33/1, 10/1, 48/1, 2/1, 1/1, 10/1, 18/1, 22/1, 19/1)",2.634,9
"(9/1, 19/1, 42/1, 48/1, 43/1, 1/1, 1/1)",2.654,7
"(10/1, 2/1, 3/1, 15/1, 39/1, 40/1, 19/1, 18/1, 27/1)",2.656,9
"(23/1, 42/1, 34/1, 55/1, 4/1, 50/1, 58/1)",2.661,7
"(26/1, 52/1, 57/1, 48/1, 51/1)",2.663,5
"(14/1, 59/1, 16/1, 22/1, 24/1, 55/1, 34/1, 9/1, 11/1)",2.667,9
"(54/1, 13/1, 15/1, 29/1, 31/1)",2.669,5
"(19/1, 15/1, 12/1)",2.675,3
"(12/1, 37/1, 5/1, 60/1, 22/1)",2.682,5
"(41/1, 40/1, 55/1, 56/1, 58/1, 39/1, 18/1, 49/1, 45/1)",2.704,9
"(17/1, 32/1, 36/1)",2.713,3
"(9/1, 58/1, 54/1)",2.723,3
"(11/1, 53/1, 48/1, 21/1, 11/1, 43/1, 4/1, 60/1, 44/1)",2.726,9
"(57/1, 33/1, 23/1)",2.731,3
"(20/1, 30/1, 49/1)",2.742,3
"(9/1, 36/1, 37/1)",2.753,3
"(7/1, 60/1, 54/1)",2.758,3
"(40/1, 35/1, 39/1, 43/1, 45/1, 5/1, 14/1, 53/1, 44/1)",2.765,9
"(24/1, 1/1, 6/1, 38/1, 50/1, 51/1, 24/1)",2.769,7
"(36/1, 10/1, 39/1, 47/1, 34/1, 45/1, 18/1, 3/1, 30/1)",2.772,9
"(57/1, 43/1, 14/1, 60/1, 26/1, 20/1, 47/1, 3/1, 29/1)",2.78,9
"(46/1, 53/1, 14/1, 46/1, 40/1, 15/1, 43/1, 35/1, 33/1)",2.782,9
"(15/1, 53/1, 39/1, 54/1, 35/1)",2.789,5
"(3/1, 15/1, 12/1, 12/1, 52/1, 57/1, 32/1)",2.793,7
"(60/1, 39/1, 36/1)",2.797,3
"(14/1, 20/1, 24/1, 36/1, 20/1)",2.803,5
"(23/1, 57/1, 15/1, 47/1, 43/1, 30/1, 21/1, 45/1, 57/1)",2.811,9
"(17/1, 30/1, 52/1)",2.812,3
"(14/1, 42/1, 27/1, 21/1, 36/1)",2.828,5
"(51/1, 25/1, 44/1, 49/1, 50/1, 24/1, 19/1)",2.837,7
"(44/1, 16/1, 10/1)",2.845,3
"(18/1, 23/1, 40/1, 7/1, 21/1, 60/1, 25/1)",2.855,7
"(35/1, 12/1, 5/1)",2.861,3
"(47/1, 30/1, 9/1, 50/1, 42/1)",2.879,5
"(51/1, 13/1, 38/1, 38/1, 39/1, 45/1, 46/1, 15/1, 20/1, 1/1)",2.89,10
"(31/1, 43/1, 51/1)",2.895,3
"(46/1, 14/1, 12/1)",2.898,3
"(41/1, 55/1, 50/1, 4/1, 19/1)",2.899,5
"(41/1, 24/1, 41/1)",2.901,3
"(39/1, 53/1, 51/1)",2.905,3
"(40/1, 57/1, 38/1, 55/1, 51/1, 24/1, 14/1)",2.914,7
"(42/1, 37/1, 36/1, 13/1, 35/1)",2.939,5
"(16/1, 36/1, 55/1)",2.943,3
"(16/1, 2/1, 3/1)",2.951,3
"(43/1, 40/1, 11/1, 17/1, 48/1, 15/1, 2/1)",2.953,7
"(25/1, 32/1, 41/1)",2.954,3
"(1/1, 16/1, 33/1)",2.964,3
"(3/1, 48/1, 26/1, 52/1, 26/1, 21/1, 13/1, 60/1, 18/1)",2.973,9
"(51/1, 22/1, 27/1, 20/1, 5/1)",2.992,5
"(48/1, 18/1, 22/1, 38/1, 52/1, 19/1, 36/1, 1/1, 31/1)",3.002,9
"(53/1, 20/1, 28/1)",3.024,3
"(47/1, 44/1, 28/1, 56/1, 4/1, 12/1, 13/1, 35/1, 48/1)",3.025,9
"(6/1, 15/1, 31/1, 42/1, 58/1, 41/1, 20/1, 14/1, 21/1)",3.027,9
"(41/1, 35/1, 37/1)",3.032,3
"(2/1, 13/1, 25/1)",3.036,3
"(27/1, 47/1, 49/1, 12/1, 13/1, 9/1, 36/1)",3.038,7
"(4/1, 41/1, 9/1, 47/1, 23/1, 20/1, 10/1)",3.039,7
"(37/1, 38/1, 38/1, 23/1, 36/1)",3.044,5
"(3/1, 33/1, 44/1, 24/1, 12/1, 20/1, 19/1)",3.071,7
"(11/1, 5/1, 7/1, 1/1, 11/1, 36/1, 54/1)",3.072,7
"(6/1, 29/1, 60/1, 7/1, 13/1)",3.076,5
"(37/1, 22/1, 29/1, 38/1, 34/1)",3.077,5
"(17/1, 1/1, 5/1, 25/1, 40/1, 54/1, 39/1, 46/1, 35/1)",3.083,9
"(12/1, 29/1, 43/1, 39/1, 37/1)",3.087,5
"(28/1, 38/1, 48/1)",3.092,3
"(15/1, 8/1, 41/1, 8/1)",3.1,4
"(14/1, 33/1, 36/1)",3.107,3
"(19/1, 29/1, 10/1, 39/1, 32/1)",3.114,5
"(42/1, 23/1, 49/1, 41/1, 4/1, 40/1, 23/1, 45/1, 34/1)",3.119,9
"(21/1, 8/1, 58/1, 54/1, 21/1, 57/1, 59/1, 34/1, 22/1)",3.136,9
"(9/1, 48/1, 44/1, 57/1, 16/1, 57/1, 24/1, 17/1, 51/1)",3.14,9
"(48/1, 15/1, 56/1, 1/1, 11/1)",3.145,5
"(27/1, 58/1, 7/1, 56/1, 26/1, 36/1, 23/1, 45/1, 56/1)",3.155,9
"(24/1, 25/1, 4/1, 22/1, 39/1, 46/1, 30/1, 59/1, 36/1)",3.156,9
"(59/1, 3/1, 6/1)",3.164,3
"(13/1, 35/1, 46/1)",3.17,3
"(1/1, 5/1, 50/1, 21/1, 5/1, 12/1, 4/1, 11/1, 16/1)",3.187,9
"(30/1, 41/1, 54/1)",3.192,3
"(17/1, 9/1, 6/1, 53/1, 11/1)",3.195,5
"(36/1, 35/1, 48/1, 42/1, 3/1, 1/1, 22/1, 22/1, 22/1)",3.203,9
"(29/1, 9/1, 23/1, 35/1, 42/1, 14/1, 21/1)",3.204,7
"(18/1, 18/1, 11/1, 35/1, 45/1)",3.206,5
"(46/1, 43/1, 38/1, 9/1, 18/1)",3.235,5
"(16/1, 5/1, 6/1, 4/1, 2/1, 33/1, 7/1, 35/1, 34/1)",3.239,9
"(52/1, 36/1, 60/1, 47/1, 2/1, 34/1, 15/1, 1/1, 31/1)",3.24,9
"(3/1, 29/1, 1/1, 30/1, 31/1)",3.247,5
"(21/1, 52/1, 50/1)",3.256,3
"(49/1, 51/1, 56/1, 5/1, 27/1, 11/1, 58/1)",3.267,7
"(12/1, 57/1, 38/1, 58/1, 29/1)",3.272,5
"(49/1, 36/1, 30/1)",3.276,3
