Adversarial Examples,Time(s),Length of Adversarial Examples
"('(', ')', '(', '(')",0.222,4
"('(', ')', '(', '(', ')', '(')",0.356,6
"('(', ')', ')', ')')",1.069,4
"('(', ')', ')', '(')",1.07,4
"('(', ')', '(', '(', '(', ')')",1.222,6
"('(', ')', '(', '(', '(', '(')",1.224,6
"('(', '(', '(', ')')",2.933,4
"('(', '(', ')', '(')",2.968,4
"('(', '(', ')', ')', '(', ')', ')', ')', ')', '(')",13.956,10
"('(', '(', ')', ')', '(', '(')",14.022,6
"('(', '(', ')', ')', '(', ')', ')', ')')",14.065,8
"('(', '(', ')', ')', '(', ')', ')', '(')",14.067,8
"('(', '(', ')', ')', '(', ')', ')', ')', ')', ')')",14.114,10
"('(', '(', ')', ')', ')', ')')",14.382,6
"('(', '(', ')', ')', ')', '(')",14.383,6
"('(', '(', ')', ')', '(', ')', '(', '(')",14.616,8
"('(', '(', ')', ')', '(', ')', ')', ')', '(', ')')",14.782,10
"('(', '(', ')', ')', '(', ')', ')', ')', '(', '(')",14.784,10
"('(', '(', ')', ')', '(', ')', ')', ')', ')', '(', '(', ')')",14.965,12
"('(', '(', ')', ')', '(', ')', ')', ')', ')', '(', '(', '(')",14.968,12
"('(', '(', ')', ')', '(', ')', ')', ')', ')', '(', ')', ')')",15.018,12
"('(', '(', ')', ')', '(', ')', ')', ')', ')', '(', ')', '(')",15.02,12
"('(', '(', '(', ')', '(', ')', '(', ')', '(', '(')",40.055,10
"('(', ')', '(', ')', ')', ')', ')', '(', ')', '(')",40.064,10
"('(', ')', '(', ')', ')', ')')",40.103,6
"('(', ')', '(', ')', ')', '(')",40.105,6
"('(', ')', '(', ')', ')', ')', ')', ')')",40.146,8
"('(', ')', '(', ')', ')', ')', ')', '(')",40.147,8
"('(', ')', '(', ')', ')', ')', ')', '(', ')', ')')",40.19,10
"('(', ')', '(', ')', '(', '(')",40.463,6
"('(', ')', '(', ')', ')', ')', '(', ')')",40.639,8
"('(', ')', '(', ')', ')', ')', '(', '(')",40.641,8
"('(', ')', '(', ')', ')', ')', ')', '(', '(', ')')",40.881,10
"('(', ')', '(', ')', ')', ')', ')', '(', '(', '(')",40.883,10
"('(', ')', '(', ')', ')', ')', ')', '(', ')', '(', ')', ')')",41.068,12
"('(', ')', '(', ')', ')', ')', ')', '(', ')', '(', ')', '(')",41.07,12
"('(', ')', '(', ')', ')', ')', ')', '(', ')', '(', '(', ')')",41.116,12
"('(', ')', '(', ')', ')', ')', ')', '(', ')', '(', '(', '(')",41.118,12
"('(', ')', ')', ')', '(', '(', ')', '(', '(', '(')",88.373,10
"('(', ')', ')', ')', '(', ')')",88.434,6
"('(', ')', ')', ')', '(', '(')",88.436,6
"('(', ')', ')', ')', '(', '(', ')', ')')",88.477,8
"('(', ')', ')', ')', '(', '(', ')', '(')",88.479,8
"('(', ')', ')', ')', '(', '(', ')', '(', '(', ')')",88.523,10
"('(', ')', ')', ')', ')', ')')",89.017,6
"('(', ')', ')', ')', ')', '(')",89.018,6
"('(', ')', ')', ')', '(', '(', '(', ')')",89.18,8
"('(', ')', ')', ')', '(', '(', '(', '(')",89.182,8
"('(', ')', ')', ')', '(', '(', ')', '(', ')', ')')",89.405,10
"('(', ')', ')', ')', '(', '(', ')', '(', ')', '(')",89.407,10
"('(', ')', ')', ')', '(', '(', ')', '(', '(', '(', ')', ')')",89.568,12
"('(', ')', ')', ')', '(', '(', ')', '(', '(', '(', ')', '(')",89.57,12
"('(', ')', ')', ')', '(', '(', ')', '(', '(', '(', '(', ')')",89.654,12
"('(', ')', ')', ')', '(', '(', ')', '(', '(', '(', '(', '(')",89.657,12
"('(', ')', '(', ')', '(', '(', '(', '(', '(', ')')",173.631,10
"('(', ')', ')', ')', '(', ')', '(', '(', ')', ')')",173.641,10
"('(', '(', ')', '(', '(', ')', '(', ')', '(', '(')",173.652,10
"('(', '(', ')', '(', ')', '(')",173.709,6
"('(', '(', ')', '(', ')', '(', ')', '(')",173.753,8
"('(', '(', ')', '(', ')', '(', ')', ')', '(', '(')",173.799,10
"('(', '(', ')', '(', '(', ')')",174.283,6
"('(', '(', ')', '(', ')', '(', '(', ')')",174.471,8
"('(', '(', ')', '(', ')', '(', '(', '(')",174.473,8
"('(', '(', ')', '(', ')', '(', ')', ')', ')', ')')",174.684,10
"('(', '(', ')', '(', ')', '(', ')', ')', ')', '(')",174.686,10
"('(', '(', ')', '(', ')', '(', ')', ')', '(', ')', ')', ')')",174.933,12
"('(', '(', ')', '(', ')', '(', ')', ')', '(', ')', ')', '(')",174.935,12
"('(', '(', ')', '(', ')', '(', ')', ')', '(', ')', '(', '(')",174.985,12
"('(', ')', '(', '(', ')', ')', ')', ')')",202.97,8
"('(', ')', '(', '(', ')', ')', '(', '(')",202.972,8
"('(', ')', '(', '(', ')', '(', '(', '(')",203.023,8
"('(', '(', ')', ')', '(', '(', '(', '(')",203.238,8
"('(', '(', ')', ')', '(', ')', ')', '(', ')', ')')",203.465,10
"('(', '(', ')', ')', '(', ')', ')', '(', '(', '(')",203.467,10
"('(', '(', ')', ')', '(', ')', ')', ')', ')', ')', ')', ')')",203.625,12
"('(', '(', ')', ')', '(', ')', ')', ')', ')', ')', '(', '(')",203.627,12
"('(', ')', '(', ')', ')', '(', ')', ')')",203.844,8
"('(', ')', '(', ')', ')', '(', '(', '(')",203.846,8
"('(', ')', '(', ')', ')', ')', ')', ')', ')', ')')",204.029,10
"('(', ')', '(', ')', ')', ')', ')', ')', '(', '(')",204.031,10
"('(', ')', '(', ')', ')', ')', ')', '(', ')', ')', ')', ')')",204.207,12
"('(', ')', '(', ')', ')', ')', ')', '(', ')', ')', '(', '(')",204.209,12
"('(', ')', ')', '(', ')', ')')",204.419,6
"('(', ')', ')', '(', '(', '(')",204.421,6
"('(', ')', ')', ')', '(', ')', ')', ')')",204.522,8
"('(', ')', ')', ')', '(', ')', '(', '(')",204.524,8
"('(', ')', ')', ')', '(', '(', ')', ')', ')', ')')",204.766,10
"('(', ')', ')', ')', '(', '(', ')', ')', '(', '(')",204.768,10
"('(', ')', ')', ')', '(', '(', ')', '(', '(', ')', ')', ')')",204.933,12
"('(', ')', ')', ')', '(', '(', ')', '(', '(', ')', '(', '(')",204.936,12
"('(', '(', ')', '(', ')', ')', ')', ')')",205.17,8
"('(', '(', ')', '(', ')', ')', '(', '(')",205.172,8
"('(', '(', ')', '(', ')', '(', ')', '(', '(', '(')",205.366,10
"('(', '(', ')', '(', ')', '(', ')', ')', '(', '(', '(', '(')",205.539,12
"('(', '(', ')', '(', '(', ')', '(', '(')",205.747,8
"('(', '(', ')', '(', '(', '(', ')', ')')",205.782,8
"('(', '(', ')', '(', '(', '(', '(', ')')",381.582,8
"('(', '(', ')', '(', '(', '(', ')', '(')",381.706,8
