Adversarial Examples,Time(s),Length of Adversarial Examples
"(55.0, 25.0)",0.092,2
"(57.0, 58.0, 58.0)",0.176,3
"(47.0, 47.0, 55.0)",45.774,3
"(5.0, 9.0, 5.0, 5.0)",45.807,4
"(60.0, 44.0, 60.0, 44.0)",45.809,4
"(40.0, 14.0, 14.0, 40.0)",45.819,4
"(14.0, 22.0, 22.0, 14.0)",45.82,4
"(56.0, 5.0, 5.0, 5.0)",45.821,4
"(46.0, 36.0, 46.0, 46.0, 46.0)",55.848,5
"(10.0, 15.0, 10.0, 10.0, 15.0)",55.849,5
"(40.0, 53.0, 40.0, 53.0, 40.0)",55.868,5
"(30.0, 27.0, 30.0, 27.0, 27.0)",55.87,5
"(22.0, 27.0)",120.167,2
"(52.0, 27.0)",120.181,2
"(34.0, 42.0)",120.183,2
"(5.0, 3.0)",120.2,2
"(4.0, 37.0, 37.0)",120.202,3
"(60.0, 43.0)",120.206,2
"(42.0, 20.0)",120.223,2
"(59.0, 27.0)",120.229,2
"(14.0, 55.0)",120.233,2
"(26.0, 14.0)",120.256,2
"(59.0, 20.0)",120.273,2
"(4.0, 23.0)",120.286,2
"(1.0, 56.0)",120.294,2
"(21.0, 2.0)",120.298,2
"(14.0, 56.0)",120.332,2
"(12.0, 12.0, 45.0)",120.398,3
"(8.0, 41.0)",120.43,2
"(25.0, 36.0, 25.0)",120.491,3
"(21.0, 16.0)",137.827,2
"(22.0, 2.0)",137.85,2
"(9.0, 30.0)",137.852,2
"(56.0, 60.0)",137.864,2
"(33.0, 25.0)",137.866,2
"(20.0, 44.0)",137.871,2
"(59.0, 6.0)",137.916,2
"(9.0, 46.0)",137.949,2
"(14.0, 23.0)",137.998,2
"(59.0, 53.0)",138.0,2
"(51.0, 30.0)",138.004,2
"(60.0, 10.0)",138.047,2
"(44.0, 47.0)",138.073,2
"(41.0, 34.0)",138.09,2
"(41.0, 22.0)",138.104,2
"(37.0, 32.0)",138.127,2
"(24.0, 14.0)",138.138,2
"(3.0, 33.0)",138.14,2
"(50.0, 30.0)",138.194,2
"(42.0, 14.0)",138.2,2
"(7.0, 13.0)",138.249,2
"(9.0, 52.0)",138.253,2
"(60.0, 47.0)",138.256,2
"(50.0, 39.0)",138.268,2
"(20.0, 32.0)",138.345,2
"(9.0, 32.0)",138.347,2
"(13.0, 55.0)",138.35,2
"(14.0, 53.0)",138.379,2
"(18.0, 28.0)",138.391,2
"(8.0, 32.0)",138.409,2
"(8.0, 38.0)",138.412,2
"(31.0, 6.0)",138.459,2
"(1.0, 20.0)",138.482,2
