Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(24.0, 32.0, 18.0, 24.0, 32.0, 7.0, 58.0, 18.0, 7.0, 24.0)",204.021,230,237,Y
"(7.0, 10.0, 7.0, 7.0, 10.0, 2.0, 36.0, 7.0, 8.0, 10.0)",204.023,232,239,Y
"(49.0, 0.0, 1.0, 49.0, 0.0, 59.0, 36.0, 1.0, 49.0, 41.0)",204.053,236,243,Y
"(21.0, 47.0, 11.0, 21.0, 47.0, 5.0, 49.0, 11.0, 21.0, 21.0)",204.054,237,244,Y
"(37.0, 1.0, 26.0, 37.0, 1.0, 38.0, 53.0, 26.0, 37.0, 53.0)",204.055,238,245,Y
"(5.0, 50.0, 7.0, 5.0, 50.0, 47.0, 20.0, 7.0, 5.0, 7.0)",204.056,240,247,Y
"(41.0, 7.0, 33.0, 41.0, 7.0, 47.0, 35.0, 33.0, 41.0, 47.0)",204.057,241,248,Y
"(32.0, 11.0, 21.0, 32.0, 11.0, 57.0, 43.0, 21.0, 43.0, 55.0)",204.081,242,249,Y
"(48.0, 0.0, 4.0, 48.0, 0.0, 34.0, 48.0, 4.0, 48.0, 48.0)",204.083,244,251,Y
"(44.0, 12.0, 35.0, 44.0, 12.0, 36.0, 2.0, 35.0, 2.0, 36.0)",204.085,247,254,Y
"(55.0, 12.0, 31.0, 55.0, 12.0, 13.0, 10.0, 31.0, 12.0, 45.0)",204.109,248,255,Y
"(11.0, 52.0, 9.0, 11.0, 52.0, 3.0, 28.0, 9.0, 52.0, 11.0)",204.11,249,256,Y
"(57.0, 21.0, 2.0, 57.0, 21.0, 12.0, 61.0, 2.0, 21.0, 61.0)",204.111,250,257,Y
"(38.0, 18.0, 61.0, 38.0, 18.0, 61.0, 54.0, 61.0, 18.0, 18.0)",204.111,251,258,Y
"(11.0, 51.0, 8.0, 11.0, 51.0, 34.0, 49.0, 8.0, 51.0, 8.0)",204.112,252,259,Y
"(15.0, 42.0, 61.0, 15.0, 42.0, 26.0, 4.0, 61.0, 42.0, 26.0)",204.113,253,260,Y
"(56.0, 25.0, 29.0, 56.0, 25.0, 4.0, 33.0, 29.0, 29.0, 56.0)",204.138,255,262,Y
"(35.0, 31.0, 15.0, 35.0, 31.0, 21.0, 51.0, 15.0, 15.0, 31.0)",204.139,257,264,Y
"(11.0, 57.0, 42.0, 11.0, 57.0, 50.0, 15.0, 42.0, 42.0, 50.0)",204.141,259,266,Y
"(4.0, 17.0, 3.0, 4.0, 17.0, 21.0, 8.0, 3.0, 21.0, 21.0)",204.169,265,272,Y
"(27.0, 8.0, 3.0, 27.0, 8.0, 53.0, 27.0, 22.0, 11.0, 18.0)",299.448,266,273,Y
"(1.0, 37.0, 57.0, 1.0, 37.0, 20.0, 1.0, 3.0, 36.0, 37.0)",299.45,269,276,Y
"(13.0, 53.0, 8.0, 13.0, 53.0, 14.0, 13.0, 53.0, 47.0, 8.0)",299.451,270,277,Y
"(16.0, 57.0, 33.0, 16.0, 57.0, 18.0, 16.0, 15.0, 16.0, 16.0)",299.483,274,281,Y
"(26.0, 58.0, 20.0, 26.0, 58.0, 24.0, 26.0, 8.0, 26.0, 58.0)",299.484,276,283,Y
"(38.0, 6.0, 49.0, 38.0, 6.0, 25.0, 38.0, 17.0, 38.0, 49.0)",299.485,277,284,Y
"(37.0, 7.0, 9.0, 37.0, 7.0, 45.0, 37.0, 31.0, 31.0, 37.0)",299.515,280,287,Y
"(35.0, 38.0, 30.0, 35.0, 38.0, 55.0, 35.0, 9.0, 9.0, 30.0)",299.518,283,290,Y
"(34.0, 27.0, 54.0, 34.0, 27.0, 61.0, 34.0, 7.0, 7.0, 61.0)",299.519,284,291,Y
"(8.0, 31.0, 22.0, 8.0, 31.0, 14.0, 8.0, 0.0, 31.0, 3.0)",299.547,285,292,Y
"(47.0, 18.0, 35.0, 47.0, 18.0, 18.0, 47.0, 26.0, 18.0, 47.0)",299.548,286,293,Y
"(24.0, 52.0, 38.0, 24.0, 52.0, 13.0, 24.0, 60.0, 52.0, 13.0)",299.551,290,297,Y
"(1.0, 22.0, 54.0, 1.0, 22.0, 50.0, 1.0, 37.0, 54.0, 1.0)",299.58,292,299,Y
"(19.0, 6.0, 10.0, 19.0, 6.0, 42.0, 19.0, 47.0, 10.0, 42.0)",299.584,296,303,Y
"(50.0, 49.0, 18.0, 50.0, 49.0, 29.0, 50.0, 3.0, 29.0, 50.0)",299.614,298,305,Y
"(58.0, 33.0, 19.0, 58.0, 33.0, 24.0, 58.0, 58.0, 24.0, 58.0)",299.615,299,306,Y
"(50.0, 16.0, 31.0, 50.0, 16.0, 44.0, 50.0, 1.0, 44.0, 31.0)",299.617,301,308,Y
"(32.0, 33.0, 60.0, 32.0, 33.0, 53.0, 32.0, 8.0, 53.0, 53.0)",299.617,302,309,Y
"(53.0, 0.0, 38.0, 53.0, 0.0, 4.0, 46.0, 38.0, 46.0, 37.0, 6.0)",647.645,303,310,Y
"(12.0, 51.0, 5.0, 12.0, 51.0, 3.0, 26.0, 5.0, 29.0, 50.0, 5.0)",647.649,308,315,Y
"(1.0, 48.0, 21.0, 1.0, 48.0, 3.0, 21.0, 21.0, 14.0, 50.0, 3.0)",647.65,309,316,Y
"(39.0, 38.0, 52.0, 39.0, 38.0, 41.0, 33.0, 52.0, 28.0, 45.0, 28.0)",647.651,310,317,Y
"(26.0, 27.0, 39.0, 26.0, 27.0, 52.0, 55.0, 39.0, 4.0, 26.0, 55.0)",647.693,313,320,Y
"(5.0, 19.0, 42.0, 5.0, 19.0, 33.0, 40.0, 42.0, 20.0, 5.0, 19.0)",647.694,314,321,Y
"(54.0, 22.0, 19.0, 54.0, 22.0, 4.0, 20.0, 19.0, 52.0, 54.0, 19.0)",647.695,315,322,Y
"(47.0, 11.0, 16.0, 47.0, 11.0, 32.0, 59.0, 16.0, 53.0, 47.0, 32.0)",647.696,316,323,Y
"(48.0, 18.0, 48.0, 48.0, 18.0, 29.0, 41.0, 48.0, 2.0, 41.0, 21.0)",647.733,318,325,Y
"(5.0, 15.0, 46.0, 5.0, 15.0, 6.0, 31.0, 46.0, 11.0, 31.0, 5.0)",647.733,319,326,Y
"(32.0, 31.0, 16.0, 32.0, 31.0, 7.0, 20.0, 16.0, 6.0, 20.0, 31.0)",647.735,321,328,Y
"(44.0, 51.0, 35.0, 44.0, 51.0, 46.0, 59.0, 35.0, 61.0, 59.0, 35.0)",647.736,322,329,Y
