Adversarial Examples,Time(s),Length of Adversarial Examples
"(49.0, 49.0)",0.095,2
"(10.0, 10.0, 12.0, 10.0)",0.404,4
"(6.0, 18.0, 0.0)",2.203,3
"(17.0, 17.0, 17.0, 15.0)",2.294,4
"(10.0, 10.0, 10.0, 10.0)",2.295,4
"(47.0, 47.0, 47.0, 47.0, 44.0, 53.0)",13.135,6
"(46.0, 46.0, 46.0, 46.0, 46.0, 46.0)",22.945,6
"(61.0, 61.0, 61.0, 61.0, 52.0, 61.0, 52.0, 61.0)",29.627,8
"(54.0, 54.0, 54.0, 54.0, 51.0, 51.0, 51.0, 54.0)",29.71,8
"(49.0, 49.0, 49.0, 53.0, 56.0, 56.0, 49.0, 56.0)",67.847,8
"(11.0, 11.0, 10.0, 11.0, 10.0, 6.0, 10.0, 6.0)",67.985,8
"(28.0, 61.0, 28.0, 61.0, 27.0, 61.0)",68.167,6
"(50.0, 48.0, 48.0, 50.0, 43.0, 50.0)",68.204,6
"(61.0, 61.0, 57.0, 61.0, 46.0, 57.0, 46.0, 57.0)",68.368,8
"(30.0, 30.0, 30.0, 30.0, 31.0, 30.0, 30.0, 30.0, 31.0, 30.0)",68.813,10
"(27.0, 27.0, 27.0, 27.0, 46.0, 27.0, 46.0, 21.0, 46.0, 21.0)",68.863,10
"(8.0, 15.0, 8.0, 21.0, 8.0, 27.0)",128.503,6
"(22.0, 13.0, 22.0, 13.0, 22.0, 9.0)",128.757,6
"(10.0, 5.0, 5.0, 5.0, 5.0, 10.0)",158.294,6
"(3.0, 3.0, 3.0, 3.0, 2.0, 3.0, 2.0, 8.0, 2.0, 3.0)",200.275,10
"(58.0, 45.0, 58.0, 56.0, 61.0, 58.0, 56.0, 58.0)",290.736,8
"(48.0, 19.0, 48.0, 15.0, 48.0, 19.0, 48.0, 19.0)",290.913,8
"(36.0, 60.0, 36.0, 60.0, 36.0, 60.0, 45.0, 60.0)",290.923,8
"(27.0, 27.0, 27.0, 30.0, 27.0, 30.0, 27.0, 30.0)",290.933,8
"(9.0, 11.0, 9.0, 34.0, 11.0, 34.0, 11.0, 34.0)",291.108,8
"(36.0, 14.0, 36.0, 14.0, 33.0, 14.0, 33.0, 14.0)",340.212,8
"(55.0, 59.0, 55.0, 59.0, 55.0, 55.0)",340.255,6
"(36.0, 54.0, 36.0, 54.0, 36.0, 48.0, 32.0, 48.0)",340.331,8
"(1.0, 13.0, 1.0, 13.0, 1.0, 1.0, 3.0, 1.0)",340.338,8
"(46.0, 10.0, 46.0, 10.0, 46.0, 10.0, 39.0, 10.0)",340.341,8
"(3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0)",340.343,8
"(55.0, 52.0, 55.0, 52.0, 52.0, 52.0)",340.384,6
"(9.0, 11.0, 11.0, 9.0, 11.0, 9.0, 0.0)",394.824,7
"(13.0, 13.0, 13.0, 13.0, 9.0, 13.0, 9.0, 11.0, 28.0, 13.0, 28.0, 13.0)",454.746,12
"(2.0, 2.0, 2.0, 2.0, 5.0, 2.0, 5.0, 5.0, 2.0, 5.0, 2.0, 5.0)",454.986,12
"(57.0, 53.0, 57.0, 53.0, 57.0, 57.0, 57.0, 53.0)",695.897,8
"(42.0, 45.0, 42.0, 45.0, 42.0, 45.0, 42.0, 58.0)",696.036,8
"(8.0, 12.0, 8.0, 7.0, 8.0, 4.0, 8.0, 12.0, 8.0, 12.0)",1022.742,10
