Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(51/1, 6/1, 48/1, 5/1)",0.051,46,46,Y
"(34/1, 34/1)",0.141,136,136,Y
"(54/1, 45/1, 53/1, 47/1)",0.23,226,226,Y
"(12/1, 12/1)",0.355,353,353,Y
"(31/1, 48/1, 32/1, 49/1)",0.924,925,925,Y
"(3/1, 3/1)",1.006,1005,1005,Y
"(41/1, 41/1)",1.256,1228,1228,Y
"(8/1, 8/1)",2.483,2403,2403,Y
"(29/1, 29/1)",2.562,2485,2485,Y
"(5/1, 5/1)",2.873,2797,2797,Y
"(48/1, 50/1, 46/1, 49/1)",5.413,3885,3885,Y
"(10/1, 10/1)",6.059,4409,4409,Y
"(32/1, 25/1, 36/1, 28/1)",7.722,5665,5665,Y
"(1/1, 1/1)",8.559,6460,6460,Y
"(54/1, 54/1)",9.837,7597,7597,Y
"(15/1, 47/1, 15/1, 46/1)",10.384,8042,8042,Y
"(52/1, 32/1, 51/1, 28/1)",11.73,9314,9314,Y
"(50/1, 50/1)",11.913,9481,9481,Y
"(52/1, 4/1, 49/1, 4/1, 51/1, 1/1)",12.295,9864,9864,Y
"(4/1, 20/1, 2/1, 21/1)",12.992,10463,10463,Y
"(50/1, 10/1, 52/1, 12/1)",15.995,13372,13372,Y
"(59/1, 5/1, 58/1, 5/1)",16.02,13399,13399,Y
"(17/1, 17/1)",16.655,14031,14031,Y
"(55/1, 55/1)",20.115,17444,17444,Y
"(14/1, 14/1)",20.43,17750,17750,Y
"(44/1, 44/1)",21.24,18461,18461,Y
"(36/1, 36/1)",22.091,19269,19269,Y
"(43/1, 43/1)",24.597,21734,21734,Y
"(34/1, 53/1, 36/1, 57/1)",25.663,22784,22784,Y
"(20/1, 35/1, 18/1, 32/1, 15/1, 31/1)",25.82,22936,22936,Y
"(47/1, 47/1)",26.254,23344,23344,Y
"(52/1, 17/1, 60/1, 17/1)",26.289,23379,23379,Y
"(7/1, 55/1, 9/1, 56/1)",27.393,24451,24451,Y
"(50/1, 11/1, 56/1, 9/1)",28.98,26015,26015,Y
"(28/1, 20/1, 29/1, 21/1)",29.167,26205,26205,Y
"(57/1, 57/1)",29.319,26358,26358,Y
"(42/1, 42/1)",30.303,27255,27255,Y
"(24/1, 18/1, 27/1, 20/1)",30.727,27667,27667,Y
"(57/1, 37/1, 54/1, 36/1)",32.08,28994,28994,Y
"(34/1, 15/1, 35/1, 17/1)",32.953,29858,29858,Y
"(37/1, 55/1, 43/1, 59/1)",33.28,30171,30171,Y
"(49/1, 48/1, 47/1, 49/1)",33.597,30471,30471,Y
"(60/1, 23/1, 57/1, 24/1)",33.767,30631,30631,Y
"(18/1, 18/1)",33.93,30791,30791,Y
"(42/1, 23/1, 45/1, 25/1)",34.369,31217,31217,Y
"(53/1, 48/1, 57/1, 45/1)",34.386,31238,31238,Y
"(21/1, 21/1)",34.462,31309,31309,Y
"(13/1, 6/1, 16/1, 3/1)",36.238,33068,33068,Y
"(51/1, 51/1)",36.754,33580,33580,Y
"(22/1, 42/1, 21/1, 41/1)",38.061,34865,34865,Y
"(53/1, 27/1, 57/1, 24/1)",38.968,35749,35749,Y
"(49/1, 49/1)",40.345,37087,37087,Y
"(39/1, 34/1, 44/1, 36/1)",41.119,37835,37835,Y
"(47/1, 44/1, 44/1, 43/1)",41.922,38608,38608,Y
"(51/1, 31/1, 56/1, 33/1)",43.013,39554,39554,Y
"(60/1, 27/1, 55/1, 28/1)",43.329,39860,39860,Y
"(54/1, 11/1, 53/1, 9/1)",43.486,40012,40012,Y
"(13/1, 13/1)",43.6,40118,40118,Y
"(53/1, 17/1, 58/1, 14/1)",44.476,40955,40955,Y
"(35/1, 35/1)",44.982,41436,41436,Y
"(10/1, 50/1, 10/1, 57/1)",45.824,42238,42238,Y
"(33/1, 33/1)",46.505,42901,42901,Y
"(39/1, 39/1)",48.111,44439,44439,Y
"(29/1, 29/1, 27/1, 31/1)",49.324,45588,45588,Y
"(40/1, 40/1)",49.469,45724,45724,Y
"(6/1, 6/1, 6/1, 7/1)",50.197,46427,46427,Y
"(53/1, 49/1, 50/1, 51/1)",51.911,48084,48084,Y
"(20/1, 20/1)",52.988,49150,49150,Y
"(28/1, 28/1)",52.996,49154,49154,Y
"(26/1, 38/1, 26/1, 42/1)",53.063,49222,49222,Y
"(49/1, 37/1, 55/1, 36/1)",53.48,49635,49635,Y
"(15/1, 6/1, 17/1, 3/1)",53.693,49846,49846,Y
"(27/1, 52/1, 32/1, 59/1)",53.827,49981,49981,Y
"(56/1, 56/1)",54.724,50865,50865,Y
"(4/1, 4/1)",55.277,51402,51402,Y
"(49/1, 14/1, 45/1, 12/1, 51/1, 11/1)",55.507,51621,51621,Y
"(2/1, 5/1, 5/1, 7/1)",55.846,51945,51945,Y
"(10/1, 36/1, 10/1, 35/1)",56.176,52249,52249,Y
"(36/1, 59/1, 38/1, 58/1)",56.667,52727,52727,Y
"(22/1, 22/1)",57.214,53248,53248,Y
"(58/1, 58/1)",57.821,53722,53722,Y
"(42/1, 23/1, 37/1, 22/1, 31/1, 22/1)",57.825,53727,53727,Y
"(5/1, 42/1, 5/1, 41/1)",58.572,54434,54434,Y
"(15/1, 15/1)",58.701,54557,54557,Y
"(31/1, 21/1, 29/1, 22/1)",61.374,57091,57091,Y
"(25/1, 25/1)",62.009,57686,57686,Y
"(51/1, 35/1, 60/1, 36/1)",63.078,58691,58691,Y
"(13/1, 48/1, 13/1, 50/1)",63.091,58703,58703,Y
"(45/1, 2/1, 55/1, 2/1)",63.117,58726,58726,Y
"(23/1, 23/1)",63.247,58849,58849,Y
"(40/1, 48/1, 40/1, 50/1)",64.546,60070,60070,Y
"(38/1, 38/1)",65.058,60551,60551,Y
"(54/1, 51/1, 50/1, 47/1)",66.215,61624,61624,Y
"(54/1, 25/1, 57/1, 22/1)",66.718,62102,62102,Y
"(16/1, 16/1)",67.277,62621,62621,Y
"(35/1, 26/1, 37/1, 24/1)",69.388,64573,64573,Y
"(31/1, 31/1)",69.983,65119,65119,Y
"(52/1, 52/1)",70.032,65169,65169,Y
"(1/1, 28/1, 4/1, 29/1)",70.262,65378,65378,Y
"(11/1, 11/1)",70.629,65717,65717,Y
"(13/1, 3/1, 16/1, 1/1)",71.112,66162,66162,Y
"(14/1, 41/1, 16/1, 42/1)",75.5,70314,70314,Y
"(29/1, 29/1, 30/1, 29/1)",75.712,70506,70506,Y
"(53/1, 53/1)",76.093,70845,70845,Y
"(52/1, 24/1, 56/1, 22/1)",77.558,72045,72045,Y
"(26/1, 39/1, 25/1, 43/1)",78.727,73129,73129,Y
"(43/1, 55/1, 47/1, 55/1)",79.718,74019,74019,Y
"(46/1, 41/1, 48/1, 41/1)",81.315,75452,75452,Y
"(37/1, 13/1, 38/1, 11/1)",82.136,76186,76186,Y
"(8/1, 8/1, 11/1, 11/1)",82.41,76442,76442,Y
"(47/1, 40/1, 47/1, 42/1)",82.524,76547,76547,Y
"(14/1, 56/1, 11/1, 55/1)",82.797,76801,76801,Y
"(41/1, 16/1, 42/1, 13/1)",83.147,77120,77120,Y
"(47/1, 52/1, 52/1, 57/1)",83.685,77619,77619,Y
"(5/1, 15/1, 3/1, 15/1)",85.844,79603,79603,Y
"(52/1, 49/1, 46/1, 49/1)",87.868,81478,81478,Y
"(4/1, 36/1, 3/1, 32/1)",88.657,82234,82234,Y
"(7/1, 2/1, 10/1, 2/1)",90.538,83973,83973,Y
"(14/1, 24/1, 15/1, 23/1)",90.992,84397,84397,Y
"(2/1, 2/1)",91.666,85027,85027,Y
"(15/1, 11/1, 15/1, 10/1)",93.127,86370,86370,Y
"(19/1, 19/1)",94.829,87908,87908,Y
"(9/1, 8/1, 6/1, 4/1)",96.158,89097,89097,Y
"(33/1, 34/1, 32/1, 32/1)",96.382,89294,89294,Y
"(42/1, 46/1, 45/1, 50/1)",97.811,90593,90593,Y
"(49/1, 32/1, 49/1, 30/1)",99.304,91948,91948,Y
"(18/1, 31/1, 16/1, 29/1)",105.735,97673,97673,Y
"(54/1, 53/1, 48/1, 51/1)",108.508,100242,100242,Y
"(32/1, 32/1)",108.793,100499,100499,Y
"(60/1, 60/1)",109.655,101288,101288,Y
"(42/1, 43/1, 43/1, 42/1)",111.298,102762,102762,Y
"(50/1, 21/1, 55/1, 19/1)",112.127,103482,103482,Y
"(52/1, 22/1, 49/1, 19/1)",113.26,104468,104468,Y
"(54/1, 14/1, 59/1, 10/1)",114.26,105351,105351,Y
"(9/1, 9/1)",118.68,109223,109223,Y
"(8/1, 4/1, 5/1, 2/1)",119.657,110094,110094,Y
"(23/1, 57/1, 26/1, 59/1)",119.89,110300,110300,Y
"(40/1, 1/1, 45/1, 1/1)",120.138,110522,110522,Y
"(40/1, 52/1, 47/1, 59/1)",122.791,112860,112860,Y
"(46/1, 46/1)",123.687,113644,113644,Y
"(42/1, 12/1, 43/1, 11/1)",125.088,114870,114870,Y
"(17/1, 15/1, 17/1, 16/1)",125.703,115402,115402,Y
"(6/1, 6/1, 9/1, 4/1)",127.246,116776,116776,Y
"(51/1, 8/1, 48/1, 9/1)",127.286,116812,116812,Y
"(57/1, 33/1, 54/1, 29/1)",128.887,118259,118259,Y
"(37/1, 45/1, 37/1, 47/1)",129.84,119133,119133,Y
"(7/1, 12/1, 9/1, 12/1)",131.312,120450,120450,Y
"(9/1, 2/1, 8/1, 4/1)",131.425,120551,120551,Y
"(37/1, 46/1, 36/1, 53/1, 40/1, 59/1)",131.626,120728,120728,Y
"(49/1, 47/1, 49/1, 43/1)",132.577,121580,121580,Y
"(27/1, 38/1, 28/1, 43/1)",133.527,122432,122432,Y
"(43/1, 44/1, 39/1, 43/1)",135.559,124073,124073,Y
"(59/1, 58/1, 57/1, 58/1)",136.671,125042,125042,Y
"(24/1, 18/1, 24/1, 16/1)",136.991,125328,125328,Y
"(50/1, 41/1, 51/1, 42/1)",137.935,126180,126180,Y
"(54/1, 42/1, 54/1, 44/1)",140.183,128183,128183,Y
"(35/1, 60/1, 38/1, 59/1)",140.289,128277,128277,Y
"(29/1, 20/1, 33/1, 21/1)",143.193,130785,130785,Y
"(28/1, 23/1, 27/1, 27/1)",145.053,132399,132399,Y
"(48/1, 30/1, 47/1, 25/1)",145.799,133060,133060,Y
"(36/1, 52/1, 40/1, 57/1)",146.876,134015,134015,Y
"(45/1, 59/1, 49/1, 58/1)",147.154,134263,134263,Y
"(36/1, 24/1, 33/1, 24/1)",147.272,134368,134368,Y
"(55/1, 58/1, 56/1, 57/1)",148.344,135322,135322,Y
"(5/1, 60/1, 7/1, 59/1)",148.656,135600,135600,Y
"(33/1, 30/1, 31/1, 28/1)",149.718,136522,136522,Y
"(48/1, 3/1, 47/1, 5/1)",150.421,137131,137131,Y
"(37/1, 52/1, 35/1, 55/1)",150.731,137399,137399,Y
"(6/1, 6/1)",150.787,137446,137446,Y
"(1/1, 57/1, 2/1, 55/1)",154.716,140655,140655,Y
"(52/1, 13/1, 58/1, 12/1)",156.513,141939,141939,Y
"(54/1, 27/1, 58/1, 24/1)",157.329,142641,142641,Y
"(17/1, 30/1, 14/1, 28/1)",158.084,143262,143262,Y
"(35/1, 2/1, 41/1, 3/1)",158.126,143291,143291,Y
"(60/1, 25/1, 58/1, 23/1)",158.669,143705,143705,Y
"(30/1, 30/1)",161.172,145037,145037,Y
"(43/1, 7/1, 46/1, 5/1)",163.817,146854,146854,Y
"(53/1, 27/1, 50/1, 25/1)",164.188,147161,147161,Y
"(7/1, 36/1, 6/1, 34/1)",164.867,147730,147730,Y
"(54/1, 39/1, 59/1, 38/1)",169.102,151289,151289,Y
"(6/1, 9/1, 6/1, 7/1)",169.116,151298,151298,Y
"(38/1, 20/1, 36/1, 19/1)",170.622,152617,152617,Y
"(26/1, 37/1, 29/1, 40/1)",174.055,155310,155310,Y
"(7/1, 7/1)",176.761,157605,157605,Y
"(37/1, 18/1, 36/1, 20/1)",176.827,157662,157662,Y
"(26/1, 26/1)",177.365,158123,158123,Y
"(47/1, 12/1, 49/1, 11/1)",179.537,159780,159780,Y
"(4/1, 22/1, 8/1, 26/1, 9/1, 25/1)",181.203,161179,161179,Y
"(6/1, 15/1, 5/1, 11/1)",181.685,161579,161579,Y
"(30/1, 52/1, 29/1, 56/1)",187.762,166510,166510,Y
"(24/1, 24/1)",188.227,166883,166883,Y
"(7/1, 8/1, 8/1, 5/1)",195.939,173427,173427,Y
"(58/1, 39/1, 55/1, 40/1)",197.299,174598,174598,Y
"(33/1, 10/1, 37/1, 11/1)",199.182,176157,176157,Y
"(34/1, 7/1, 37/1, 5/1)",201.585,178149,178149,Y
"(48/1, 48/1)",203.605,179869,179869,Y
"(59/1, 59/1)",204.4,180531,180531,Y
"(51/1, 50/1, 54/1, 53/1)",205.672,181576,181576,Y
"(26/1, 29/1, 27/1, 31/1)",206.765,182487,182487,Y
"(22/1, 42/1, 22/1, 47/1)",208.114,183638,183638,Y
"(27/1, 27/1)",208.98,184390,184390,Y
"(52/1, 50/1, 56/1, 53/1)",209.452,184805,184805,Y
"(25/1, 9/1, 22/1, 7/1)",210.481,185689,185689,Y
"(53/1, 13/1, 49/1, 10/1)",213.132,187961,187961,Y
"(37/1, 37/1)",213.904,188631,188631,Y
"(39/1, 39/1, 39/1, 40/1)",214.017,188727,188727,Y
"(1/1, 37/1, 2/1, 30/1)",214.14,188834,188834,Y
"(41/1, 48/1, 43/1, 47/1)",215.468,189959,189959,Y
"(21/1, 54/1, 21/1, 60/1)",215.988,190403,190403,Y
"(44/1, 21/1, 45/1, 24/1)",216.242,190624,190624,Y
"(21/1, 58/1, 18/1, 59/1)",217.617,191807,191807,Y
"(49/1, 26/1, 48/1, 28/1)",220.058,193856,193856,Y
"(18/1, 13/1, 21/1, 13/1)",222.16,195639,195639,Y
"(55/1, 32/1, 56/1, 31/1)",223.1,196444,196444,Y
"(51/1, 26/1, 50/1, 23/1)",223.95,197180,197180,Y
"(45/1, 17/1, 44/1, 16/1)",224.891,197975,197975,Y
"(27/1, 42/1, 29/1, 46/1)",225.42,198426,198426,Y
"(12/1, 23/1, 11/1, 21/1)",228.175,200745,200745,Y
"(46/1, 55/1, 47/1, 60/1)",234.503,205826,205826,Y
"(48/1, 13/1, 47/1, 13/1)",235.982,207087,207087,Y
"(37/1, 11/1, 40/1, 13/1)",236.638,207632,207632,Y
"(45/1, 34/1, 48/1, 33/1)",237.259,208155,208155,Y
"(51/1, 21/1, 51/1, 20/1)",237.932,208712,208712,Y
"(58/1, 35/1, 58/1, 37/1)",246.382,215857,215857,Y
"(45/1, 45/1)",247.627,216912,216912,Y
"(46/1, 13/1, 48/1, 14/1)",249.311,218360,218360,Y
"(58/1, 41/1, 53/1, 41/1)",252.635,221194,221194,Y
"(7/1, 8/1, 9/1, 10/1)",253.296,221745,221745,Y
"(18/1, 28/1, 16/1, 28/1)",253.416,221846,221846,Y
"(24/1, 36/1, 23/1, 40/1)",254.236,222531,222531,Y
"(45/1, 53/1, 41/1, 53/1)",255.022,223195,223195,Y
"(46/1, 50/1, 44/1, 55/1)",255.397,223510,223510,Y
"(8/1, 46/1, 7/1, 49/1)",258.685,226280,226280,Y
"(16/1, 51/1, 13/1, 49/1)",260.246,227604,227604,Y
"(32/1, 28/1, 33/1, 29/1)",266.011,232471,232471,Y
"(52/1, 49/1, 52/1, 52/1)",267.054,233355,233355,Y
"(4/1, 60/1, 3/1, 58/1)",270.207,236037,236037,Y
"(49/1, 59/1, 48/1, 59/1)",270.993,236697,236697,Y
"(29/1, 30/1, 30/1, 28/1)",271.004,236708,236708,Y
"(26/1, 43/1, 27/1, 43/1)",273.777,239015,239015,Y
"(3/1, 58/1, 1/1, 57/1)",276.831,241572,241572,Y
"(42/1, 55/1, 45/1, 55/1)",276.86,241595,241595,Y
"(13/1, 4/1, 7/1, 2/1)",279.032,243451,243451,Y
"(34/1, 34/1, 36/1, 34/1)",280.976,245110,245110,Y
"(4/1, 42/1, 5/1, 46/1, 11/1, 48/1)",281.355,245430,245430,Y
"(4/1, 7/1, 8/1, 7/1, 12/1, 8/1)",283.139,246908,246908,Y
"(42/1, 6/1, 39/1, 6/1)",283.164,246928,246928,Y
"(40/1, 50/1, 41/1, 56/1)",284.104,247712,247712,Y
"(42/1, 33/1, 41/1, 35/1)",287.357,250469,250469,Y
"(20/1, 40/1, 19/1, 43/1)",287.822,250864,250864,Y
"(35/1, 52/1, 32/1, 51/1)",291.32,253826,253826,Y
"(23/1, 14/1, 23/1, 11/1)",293.136,255370,255370,Y
"(9/1, 57/1, 11/1, 56/1)",294.764,256745,256745,Y
"(22/1, 17/1, 24/1, 16/1)",296.223,257992,257992,Y
"(15/1, 13/1, 18/1, 11/1, 16/1, 11/1, 13/1, 7/1)",297.328,258937,258937,Y
"(28/1, 9/1, 27/1, 8/1, 37/1, 8/1, 45/1, 8/1)",302.712,263156,263156,Y
"(39/1, 29/1, 37/1, 28/1)",307.991,267500,267500,Y
"(10/1, 53/1, 11/1, 60/1)",308.137,267618,267618,Y
"(58/1, 7/1, 54/1, 7/1)",312.164,270866,270866,Y
"(38/1, 42/1, 40/1, 41/1)",312.288,270970,270970,Y
"(35/1, 4/1, 40/1, 5/1)",314.289,272608,272608,Y
"(56/1, 24/1, 50/1, 23/1)",314.794,273015,273015,Y
"(47/1, 57/1, 50/1, 59/1)",315.692,273743,273743,Y
"(53/1, 31/1, 56/1, 31/1)",318.558,276122,276122,Y
"(51/1, 45/1, 51/1, 43/1)",318.753,276277,276277,Y
"(35/1, 60/1, 36/1, 60/1)",318.78,276297,276297,Y
"(11/1, 16/1, 11/1, 13/1)",320.921,278040,278040,Y
"(40/1, 6/1, 38/1, 6/1)",321.575,278563,278563,Y
"(8/1, 49/1, 7/1, 51/1)",321.849,278787,278787,Y
"(4/1, 32/1, 6/1, 34/1)",322.093,278986,278986,Y
"(16/1, 50/1, 14/1, 54/1)",324.118,280592,280592,Y
"(50/1, 23/1, 53/1, 23/1)",325.6,281793,281793,Y
"(2/1, 3/1, 4/1, 5/1)",326.008,282129,282129,Y
"(3/1, 31/1, 5/1, 30/1)",330.621,285933,285933,Y
"(37/1, 31/1, 41/1, 34/1)",330.795,286081,286081,Y
"(34/1, 52/1, 38/1, 53/1)",332.753,287783,287783,Y
"(26/1, 37/1, 25/1, 39/1)",342.039,295789,295789,Y
"(16/1, 13/1, 17/1, 9/1)",342.906,296546,296546,Y
"(46/1, 6/1, 52/1, 7/1)",343.493,297047,297047,Y
"(6/1, 15/1, 5/1, 18/1)",344.413,297847,297847,Y
"(33/1, 35/1, 35/1, 38/1)",344.938,298290,298290,Y
"(49/1, 31/1, 58/1, 32/1)",350.128,302696,302696,Y
"(8/1, 22/1, 7/1, 23/1)",351.78,304086,304086,Y
"(33/1, 49/1, 31/1, 49/1)",352.26,304487,304487,Y
"(35/1, 27/1, 32/1, 26/1)",354.152,306066,306066,Y
"(44/1, 52/1, 47/1, 60/1)",356.565,308069,308069,Y
"(44/1, 15/1, 44/1, 11/1)",356.722,308199,308199,Y
"(51/1, 29/1, 47/1, 29/1)",357.231,308617,308617,Y
"(60/1, 57/1, 48/1, 56/1)",357.33,308700,308700,Y
"(49/1, 12/1, 56/1, 9/1)",358.683,309827,309827,Y
"(6/1, 56/1, 5/1, 55/1)",359.373,310403,310403,Y
"(7/1, 31/1, 8/1, 29/1)",364.645,314828,314828,Y
"(15/1, 47/1, 16/1, 50/1, 17/1, 44/1)",366.988,316772,316772,Y
"(52/1, 47/1, 54/1, 49/1)",368.982,318440,318440,Y
"(55/1, 32/1, 57/1, 28/1)",371.915,320973,320973,Y
"(32/1, 24/1, 32/1, 25/1)",374.492,323207,323207,Y
"(55/1, 53/1, 47/1, 52/1)",376.125,324585,324585,Y
"(24/1, 14/1, 27/1, 13/1)",376.837,325185,325185,Y
"(41/1, 42/1, 39/1, 42/1)",384.651,331484,331484,Y
"(20/1, 38/1, 19/1, 40/1)",388.315,334798,334798,Y
"(42/1, 14/1, 41/1, 11/1)",388.853,335295,335295,Y
"(6/1, 54/1, 8/1, 54/1)",390.759,337034,337034,Y
"(51/1, 47/1, 50/1, 44/1)",392.111,338251,338251,Y
"(49/1, 20/1, 50/1, 20/1)",394.112,340075,340075,Y
"(46/1, 48/1, 41/1, 47/1)",396.441,342205,342205,Y
"(50/1, 12/1, 50/1, 10/1)",396.618,342370,342370,Y
"(4/1, 48/1, 3/1, 45/1)",396.869,342596,342596,Y
"(12/1, 11/1, 16/1, 10/1)",397.429,343104,343104,Y
"(22/1, 30/1, 24/1, 31/1)",397.881,343520,343520,Y
"(15/1, 36/1, 12/1, 37/1, 10/1, 40/1)",399.884,345348,345348,Y
